Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
996icu,1428,https://github.com/996icu,User,False,2154,1,1,0,1,8352,270266,False
ChangedenCZD,49,https://github.com/ChangedenCZD,User,False,3754,30,30,19,30,25,5,False
Z-fly,28,https://github.com/Z-fly,User,False,3690,30,29,30,30,91,37,False
xianfengting,23,https://github.com/xianfengting,User,False,3008,30,30,13,30,9,24,False
CPdogson,20,https://github.com/CPdogson,User,False,2146,30,30,7,6,73,1958,False
githubmll,17,https://github.com/githubmll,User,False,3261,28,18,23,7,6,37,False
Tedko,14,https://github.com/Tedko,User,False,4019,30,30,30,30,372,74,False
uDp30Z4w,14,https://github.com/uDp30Z4w,User,False,2152,20,11,0,2,2,6,False
zombie110year,14,https://github.com/zombie110year,User,False,2557,30,29,30,30,28,74,False
Chaoqun-Guo,13,https://github.com/Chaoqun-Guo,User,False,2757,9,4,4,26,14,0,False
ImgBotApp,12,https://github.com/ImgBotApp,User,False,2728,0,0,0,30,1583,42,False
pi0,12,https://github.com/pi0,User,False,4214,30,30,30,30,4405,55,False
gaoyaoxin,12,https://github.com/gaoyaoxin,User,False,3125,30,30,25,30,42,3,False
KyleBing,11,https://github.com/KyleBing,User,False,3577,22,11,30,30,201,194,False
jwchan1996,10,https://github.com/jwchan1996,User,False,2918,15,11,30,30,77,27,False
tootemilk,10,https://github.com/tootemilk,User,False,2440,2,1,0,3,3,1,False
sinomoe,10,https://github.com/sinomoe,User,False,3235,30,30,21,30,32,17,False
simon300000,10,https://github.com/simon300000,User,False,3551,30,30,30,30,248,352,False
EZKAYOTWJPRKXWCUYEEB,10,https://github.com/EZKAYOTWJPRKXWCUYEEB,User,False,2530,30,30,4,14,16,2,False
ileego,10,https://github.com/ileego,User,False,4064,5,5,0,30,8,3,False
enyucao,10,https://github.com/enyucao,User,False,2693,3,3,2,25,4,0,False
acid-chicken,9,https://github.com/acid-chicken,User,False,3126,0,0,0,30,329,5,False
fuckcomtop,9,https://github.com/fuckcomtop,User,False,2138,1,1,0,1,1,0,False
nlchjian,9,https://github.com/nlchjian,User,False,2999,3,2,0,1,2,0,False
qiankunpingtai,9,https://github.com/qiankunpingtai,User,False,2230,8,6,2,30,1,0,False
ujmkiolp,9,https://github.com/ujmkiolp,User,False,2139,9,2,0,1,1,0,False
stupid1t,8,https://github.com/stupid1t,User,False,2811,7,4,6,30,1,20,False
scxkd2016,8,https://github.com/scxkd2016,User,False,3007,2,2,10,1,2,0,False
boomerciyuan,8,https://github.com/boomerciyuan,User,False,2146,1,1,0,2,1,11,False
binarywang,8,https://github.com/binarywang,User,False,4778,30,30,30,30,3288,6120,False
BruceWangNo1,8,https://github.com/BruceWangNo1,User,False,3881,30,30,28,30,61,46,False
pilym,8,https://github.com/pilym,User,False,3056,30,30,11,21,0,0,False
xiaozhuang-code,7,https://github.com/xiaozhuang-code,User,False,3287,0,0,0,8,0,0,False
kawashiro-ryofu,7,https://github.com/kawashiro-ryofu,User,False,2025,0,0,0,24,25,7,False
wangw469,7,https://github.com/wangw469,User,False,4401,28,18,30,30,41,1,False
whtiehack,7,https://github.com/whtiehack,User,False,3545,30,28,30,30,81,26,False
PsChina,7,https://github.com/PsChina,User,False,3224,12,8,7,30,139,165,False
idealclover,7,https://github.com/idealclover,User,False,2993,30,30,30,30,763,2299,False
ZeppLu,7,https://github.com/ZeppLu,User,False,3303,22,15,30,30,5,2,False
VitalyAnkh,7,https://github.com/VitalyAnkh,User,False,2989,30,30,30,30,155,12,False
kattgu7,7,https://github.com/kattgu7,User,False,3073,10,9,4,4,185,1253,False
JKetelaar,7,https://github.com/JKetelaar,User,False,4375,30,30,30,30,59,22,False
mela93,6,https://github.com/mela93,User,False,3267,6,5,21,30,7,0,False
alexddhuang,6,https://github.com/alexddhuang,User,False,2078,13,7,9,17,15,64,False
mumalisa,6,https://github.com/mumalisa,User,False,2137,0,0,0,2,0,0,False
gulaug,6,https://github.com/gulaug,User,False,2134,1,1,0,1,0,0,False
chixinzei,6,https://github.com/chixinzei,User,False,3282,2,2,4,11,0,0,False
yahtnif,6,https://github.com/yahtnif,User,False,3983,20,17,1,22,29,38,False
TommyLemon,6,https://github.com/TommyLemon,User,False,4136,30,30,30,30,953,7631,False
OmarAssadi,6,https://github.com/OmarAssadi,User,False,3028,25,23,25,23,62,75,False
kevinkassimo,6,https://github.com/kevinkassimo,User,False,3420,30,30,30,30,562,22,False
FrankP1026,6,https://github.com/FrankP1026,User,False,3872,4,4,0,8,0,0,False
camilosm,6,https://github.com/camilosm,User,False,3625,6,4,0,8,13,1,False
ZsgsDesign,6,https://github.com/ZsgsDesign,User,False,3193,30,30,30,30,131,40,False
njzjz,5,https://github.com/njzjz,User,False,3760,30,30,30,30,397,45,False
JeffongTan,5,https://github.com/JeffongTan,User,False,2151,0,0,0,2,1,2,False
iBreaker,5,https://github.com/iBreaker,User,False,4397,0,0,26,30,300,1568,False
Just-Maybe,5,https://github.com/Just-Maybe,User,False,3502,4,1,1,22,7,8,False
black-bean-ai,5,https://github.com/black-bean-ai,User,False,3339,5,4,3,10,1,1,False
lxlxw,5,https://github.com/lxlxw,User,False,3344,11,7,2,30,77,1114,False
xiend,5,https://github.com/xiend,User,False,2019,1,1,0,1,0,0,False
vipwzw,5,https://github.com/vipwzw,User,False,4699,30,30,30,30,9,5,False
PerrySong,5,https://github.com/PerrySong,User,False,2873,4,3,17,30,21,16,False
heavensts,5,https://github.com/heavensts,User,False,1287,1,1,0,1,0,0,False
iF2007,5,https://github.com/iF2007,User,False,4292,9,7,14,27,5,6,False
NooooWorries,5,https://github.com/NooooWorries,User,False,3383,1,1,3,30,16,0,False
cjim8889,5,https://github.com/cjim8889,User,False,2337,30,30,0,30,16,16,False
asdqwq114442,5,https://github.com/asdqwq114442,User,False,2504,0,0,0,1,0,0,False
edoardopigaiani,4,https://github.com/edoardopigaiani,User,False,4284,5,5,1,6,18,30,False
deepgrace,4,https://github.com/deepgrace,User,False,3136,8,3,7,16,63,341,False
fengT-T,4,https://github.com/fengT-T,User,False,3160,9,7,9,29,73,895,False
724423586,4,https://github.com/724423586,User,False,1591,0,0,0,1,0,0,False
Zhongsheshejijituan,4,https://github.com/Zhongsheshejijituan,User,False,2139,7,1,0,2,0,0,False
liuchuzhang,4,https://github.com/liuchuzhang,User,False,2521,30,30,14,26,30,31,False
maguowei,4,https://github.com/maguowei,User,False,3899,30,30,30,29,264,4331,False
g7rhythm,4,https://github.com/g7rhythm,User,False,3696,11,7,9,20,0,10,False
showeryhe,4,https://github.com/showeryhe,User,False,3675,4,3,0,21,1,1,False
loveincode,4,https://github.com/loveincode,User,False,2815,14,9,11,30,196,422,False
OnlyMoon,4,https://github.com/OnlyMoon,User,False,3364,0,0,0,10,0,0,False
Abjust,4,https://github.com/Abjust,User,False,2125,0,0,0,8,10,4,False
panjf2000,4,https://github.com/panjf2000,User,False,3939,0,30,30,30,3337,23837,False
AtagoAoi,4,https://github.com/AtagoAoi,User,False,2144,4,2,0,2,0,0,False
996icuapp,4,https://github.com/996icuapp,User,False,2138,3,1,0,2,10,39,False
balloonio,4,https://github.com/balloonio,User,False,4352,25,22,3,30,9,19,False
gixxi,4,https://github.com/gixxi,User,False,4407,5,5,10,24,20,47,False
DemocracyAnony,4,https://github.com/DemocracyAnony,User,False,1805,2,2,0,1,1,0,False
EmilyMew,4,https://github.com/EmilyMew,User,False,2881,9,9,0,6,5,1,False
wanwenli,4,https://github.com/wanwenli,User,False,4761,26,17,4,23,43,9,False
victor647,4,https://github.com/victor647,User,False,2904,6,6,1,8,8,6,False
yushouling,4,https://github.com/yushouling,User,False,3154,3,3,8,30,4,0,False
lostmaniac,4,https://github.com/lostmaniac,User,False,4098,30,0,0,30,46,3,False
henrysher,4,https://github.com/henrysher,User,False,5812,0,0,0,30,90,52,False
HenryQW,4,https://github.com/HenryQW,User,False,4117,0,0,30,30,285,2759,False
swuecho,4,https://github.com/swuecho,User,False,5089,30,30,30,30,353,541,False
EricWebsmith,4,https://github.com/EricWebsmith,User,False,5325,20,15,23,30,73,535,False
hongseshenying,3,https://github.com/hongseshenying,User,False,2136,1,1,0,1,0,0,False
program-spiritual,3,https://github.com/program-spiritual,User,False,3804,25,21,30,30,127,744,False
infinnie,3,https://github.com/infinnie,User,False,3869,30,30,30,30,138,13,False
fasiondog,3,https://github.com/fasiondog,User,False,4866,30,30,30,28,115,2378,False
coaxhappy,3,https://github.com/coaxhappy,User,False,4587,3,2,0,9,0,2,False
LuckyCX,3,https://github.com/LuckyCX,User,False,3802,5,1,1,3,2,0,False
qdxlqy2001,3,https://github.com/qdxlqy2001,User,False,4478,12,8,1,3,2,0,False
996ICU-issuebot,3,https://github.com/996ICU-issuebot,User,False,2152,0,0,0,0,0,0,False
ScottWan,3,https://github.com/ScottWan,User,False,3409,0,0,0,5,0,0,False
skyhublol,3,https://github.com/skyhublol,User,False,2969,1,1,0,1,0,0,False
soultipsy,3,https://github.com/soultipsy,User,False,2438,4,4,14,17,0,0,False
wangjin926454,3,https://github.com/wangjin926454,User,False,2818,1,1,0,9,0,1,False
xiaopeng996icu,3,https://github.com/xiaopeng996icu,User,False,2127,2,2,0,1,0,0,False
LinXueyuanStdio,3,https://github.com/LinXueyuanStdio,User,False,3028,30,27,30,30,297,310,False
StarSky1,3,https://github.com/StarSky1,User,False,2736,3,1,30,27,11,4,False
zha-tech-0617,3,https://github.com/zha-tech-0617,User,False,4357,2,1,0,2,4,0,False
ztygalaxy,3,https://github.com/ztygalaxy,User,False,2599,19,17,22,9,51,711,False
likuankuan,3,https://github.com/likuankuan,User,False,2592,4,2,1,4,0,1,False
