pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
26145,17,80,0,0,0.0,open,False,False
26144,370,0,0,0,0.0,closed,False,False
26143,1,1,1,0,0.0,open,False,False
26142,1,0,0,0,0.0,open,False,False
26141,1,0,1,0,0.0,open,False,False
26139,19,0,0,0,0.0,closed,False,False
26138,18,0,0,0,0.0,closed,False,False
26137,26,0,0,0,0.0,closed,False,False
26136,17,0,0,0,0.0,closed,False,False
26135,24,21,2,0,0.0,closed,True,True
26134,3,0,1,0,0.0,closed,False,False
26133,3,0,3,0,0.0,closed,False,False
26132,1,1,4,0,0.0,closed,False,False
26131,3,0,1,0,0.0,closed,False,False
26124,1,0,7,0,0.0,closed,False,False
26123,113,0,1,0,0.0,closed,False,False
26122,1,0,0,0,0.0,closed,False,False
26121,5,5,0,0,0.0,closed,True,True
26120,3,3,0,0,0.0,closed,False,False
26119,3,3,0,0,0.0,closed,False,False
26118,4,1,1,0,0.0,closed,False,False
26117,1,1,0,0,0.0,closed,False,False
26116,2,0,0,0,0.0,closed,False,False
26115,0,0,11,0,0.0,closed,False,False
26114,1,1,4,0,0.0,closed,True,True
26113,2,1,6,0,0.0,closed,True,True
26112,1,1,3,0,0.0,closed,True,True
26111,32,0,10,0,0.0,closed,False,False
26110,14,0,12,0,0.0,closed,False,False
26109,1,0,1,0,0.0,closed,False,False
26108,1,1,37,0,0.0,closed,False,False
26107,5,0,0,0,0.0,closed,False,False
26106,0,1,35,0,0.0,closed,False,False
26105,1,1,38,0,0.0,closed,False,False
26104,8,0,7,0,0.0,closed,False,False
26103,1,1,4,0,0.0,closed,False,False
26102,1,1,4,0,0.0,closed,False,False
26101,1,1,369,0,0.0,closed,False,False
26100,1,0,0,0,0.0,closed,False,False
26099,2,0,4,0,0.0,closed,False,False
26098,2,0,0,0,0.0,closed,False,False
26097,4,0,3,0,0.0,closed,False,False
26096,1,0,3,0,0.0,closed,False,False
26095,10,0,0,0,0.0,closed,False,False
26094,1,0,1,0,0.0,closed,False,False
26093,0,0,0,0,0.0,closed,False,False
26092,1,0,5,0,0.0,closed,False,False
26091,1,0,1,0,0.0,closed,False,False
26090,1,0,0,0,0.0,closed,False,False
26089,1,0,0,0,0.0,closed,False,False
26088,1,0,0,0,0.0,closed,False,False
26087,9,10,0,0,0.0,closed,False,False
26086,2,0,1,0,0.0,closed,False,False
26085,2,0,4,0,0.0,closed,False,False
26084,2,0,0,0,0.0,closed,False,False
26083,3,0,0,0,0.0,closed,False,False
26082,1,0,0,0,0.0,closed,False,False
26081,2,0,0,0,0.0,closed,False,False
26080,1,0,0,0,0.0,closed,False,False
26079,1,0,9,1,1.0,closed,False,False
26078,48,4,1,0,0.0,closed,False,False
26077,6,6,1,0,0.0,closed,False,False
26076,6,6,0,0,0.0,closed,False,False
26075,21,21,0,0,0.0,closed,False,False
26074,53,53,0,0,0.0,closed,False,False
26073,406,406,0,0,0.0,closed,False,False
26072,7,5,0,0,0.0,closed,False,False
26071,70,69,7,0,0.0,closed,False,False
26069,1,1,0,0,0.0,closed,False,False
26068,1,0,4,3,1.0,closed,False,False
26067,1,0,8,0,0.0,closed,False,False
26066,24,25,1,0,0.0,closed,True,True
26065,1,1,0,0,0.0,closed,True,True
26064,7,7,0,0,0.0,closed,True,True
26063,102,0,0,0,0.0,closed,True,True
26062,5,0,9,0,0.0,closed,False,False
26061,13,0,0,0,0.0,closed,False,False
26060,1,0,1,0,0.0,closed,False,False
26059,1,0,0,0,0.0,closed,False,False
26058,1,0,0,0,0.0,closed,False,False
26057,2,2,0,0,0.0,closed,True,True
26056,1,0,0,0,0.0,closed,False,False
26055,5,5,0,0,0.0,closed,True,True
26054,0,0,0,0,0.0,closed,False,False
26053,1,1,2,0,0.0,closed,False,False
26052,2,2,0,0,0.0,closed,True,True
26051,1,0,0,0,0.0,closed,True,True
26050,2,0,17,0,0.0,closed,True,True
26049,1,0,1,0,0.0,closed,False,False
26048,1,0,1,0,0.0,closed,True,True
26047,1,0,1,0,0.0,closed,False,False
26046,1,1,52,0,0.0,closed,False,False
26045,1,0,1,0,0.0,closed,True,True
26044,1,1,50,0,0.0,closed,False,False
26043,2,2,2,0,0.0,closed,False,False
26042,1,1,1,0,0.0,closed,False,False
26041,1,0,0,0,0.0,closed,False,False
26040,1,0,1,0,0.0,closed,True,True
26039,1,0,0,0,0.0,closed,False,False
26038,4,0,0,0,0.0,closed,False,False
26037,1,1,8,0,0.0,closed,False,False
26035,1,0,1,0,0.0,closed,False,False
26034,6,0,3,0,0.0,closed,False,False
26033,1,0,0,0,0.0,closed,True,True
26032,5,0,0,0,0.0,closed,False,False
26031,3,0,9,0,0.0,closed,False,False
26029,0,2,20,0,0.0,closed,False,False
26028,1,0,0,0,0.0,closed,False,False
26027,1,0,0,0,0.0,closed,True,True
26026,1,1,4,0,0.0,closed,False,False
26025,1,0,1,0,0.0,closed,False,False
26024,0,1,18,0,0.0,closed,False,False
26023,1,0,23,0,0.0,closed,False,False
26022,1,0,6,0,0.0,closed,False,False
26021,0,1,2,0,0.0,closed,True,True
26020,1,0,0,0,0.0,closed,True,True
26019,1,0,12,0,0.0,closed,True,True
26018,0,0,4,0,0.0,closed,False,False
