Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
59770,closed,VS Code Not Initializing Angular Language Features in Angular 19,2621823232,atscott,2025-01-29T14:33:09Z,Can you provide a reproduction? Many people are using v19 with the language service so the problem must be environment/project-specific. 
59770,closed,VS Code Not Initializing Angular Language Features in Angular 19,2636453652,aashif-sajah,2025-02-05T11:20:16Z,"> Can you provide a reproduction? Many people are using v19 with the language service so the problem must be environment/project-specific.

Thanks for your response. Here are the details of my environment:

Angular CLI: 19.1.5
Angular Version: 19.1.4
Node.js Version: 22.11.0
NPM Version: 10.9.1
TypeScript Version: 5.7.3
OS: Windows 10/11 x64

Steps to reproduce:

Created a new Angular 19 project using ng new my-app --standalone.
Opened the project in VS Code.
Installed Angular Language Service Extention.
Restarted VS Code.
Issue: TypeScript configuration (tsconfig.json) did not initialize properly, and Angular language features like IntelliSense and autocompletion are missing."
59770,closed,VS Code Not Initializing Angular Language Features in Angular 19,2654672351,atscott,2025-02-12T19:35:53Z,"I'm sorry but we can't reproduce the problem you are reporting. We require that reported issues have a minimal reproduction that showcases the problem.

If the problem still exists in your application, please [open a new issue](https://github.com/angular/angular/issues/new/choose) and follow the instructions in the issue template that include info on how to create a reproduction using our template.

Reproduction was attempted with the latest VSCode, extension, and an `ng new` app."
59770,closed,VS Code Not Initializing Angular Language Features in Angular 19,2663405895,aashif-sajah,2025-02-17T15:12:50Z,"Hey @atscott ,

Thanks for your time! It turned out to be a permission issue related to the Angular cache. I resolved it by manually deleting the .angular folder and clearing the cache with:

```npx ng cache clean
npm cache clean --force
```

Then, I reinstalled dependencies and restarted the project. Everything is working fine now. 

I appreciate the help, and thanks for your support! 🙌

"
59568,closed,docs(router): Fix small grammatical errors,2599235519,AndrewKushnir,2025-01-17T21:19:37Z,"**Caretaker note**: no presubmit required, docs-only change."
59568,closed,docs(router): Fix small grammatical errors,2599237840,AndrewKushnir,2025-01-17T21:21:29Z,"This PR was merged into the repository by commit 16b08853bcd3719aec1781949e8adcf0e558a033.

The changes were merged into the following branches: main, 19.1.x"
59568,closed,docs(router): Fix small grammatical errors,2661695517,angular-automatic-lock-bot[bot],2025-02-17T00:12:13Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59598,closed,fix(core): cleanup stash listener when app is destroyed,2598905296,AndrewKushnir,2025-01-17T18:00:59Z,"This PR was merged into the repository by commit 14791f3e1200f3673aca772cede07338c8b05780.

The changes were merged into the following branches: main, 19.1.x"
59598,closed,fix(core): cleanup stash listener when app is destroyed,2661695507,angular-automatic-lock-bot[bot],2025-02-17T00:12:12Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59572,closed,refactor(core): reuse setupStaticAttributes in ComponentRef,2598518022,pkozlowski-opensource,2025-01-17T14:42:17Z,"caretaker note: I've got a ""green"" [TGP](https://fusion2.corp.google.com/presubmit/716573679/OCL:716573679:BASE:716636436:1737121936673:e31a73a;groups=PossiblyNewlyFailing/targets) for this one."
59572,closed,refactor(core): reuse setupStaticAttributes in ComponentRef,2598903722,AndrewKushnir,2025-01-17T18:00:02Z,"This PR was merged into the repository by commit 35e5bbb0dcc07563717617dc0d552884c88d515f.

The changes were merged into the following branches: main, 19.1.x"
59572,closed,refactor(core): reuse setupStaticAttributes in ComponentRef,2661695494,angular-automatic-lock-bot[bot],2025-02-17T00:12:11Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59583,closed,Update installation.md,2597458521,google-cla[bot],2025-01-17T05:22:39Z,"Thanks for your pull request! It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).

View this [failed invocation](https://github.com/angular/angular/pull/59583/checks?check_run_id=35757353198) of the CLA check for more information.

For the most up to date status, view the checks section at the bottom of the pull request."
59583,closed,Update installation.md,2598598910,kirjs,2025-01-17T15:21:52Z,"hello, thanks for contributing, I don't understand this change, and there's no description, so I'm closing this, feel free to reopen and update those"
59583,closed,Update installation.md,2661695484,angular-automatic-lock-bot[bot],2025-02-17T00:12:09Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59579,closed,test(platform-server): fix flaky hydration test,2597804560,pkozlowski-opensource,2025-01-17T09:30:54Z,"This PR was merged into the repository by commit 8ea691a9d8af85ab03cc8a3039feaad3ed679889.

The changes were merged into the following branches: main, 19.1.x"
59579,closed,test(platform-server): fix flaky hydration test,2661695470,angular-automatic-lock-bot[bot],2025-02-17T00:12:08Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59555,closed,Add linkedSignalWithChanges for easier linkedSignal previous to current changes reaction,2595279290,pkozlowski-opensource,2025-01-16T11:32:09Z,"Thnx for opening the issue @Harpush - I can definitively see your use-case but I'm not sure the API change is warranted here. More specifically ""Source will be array of signals (and not a reactive function)"" would make things more complicated for a (common) case of depending on one source.

TBH I think that your initial code is _fine_ "
59555,closed,Add linkedSignalWithChanges for easier linkedSignal previous to current changes reaction,2596849644,alxhub,2025-01-16T20:41:26Z,"+1 to the initial code being reasonable. I would probably write this as:

```ts
checkedItems = linkedSignal({
  source: this.data,
  computation: (data, previous) => {
    if (!previous || data !== previous.source) {
      return [];
    }

    return previous.value.filter((checkedItem) => this.filteredData().includes(checkedItem));
  },
});
```

"
59555,closed,Add linkedSignalWithChanges for easier linkedSignal previous to current changes reaction,2597131910,Harpush,2025-01-16T23:43:03Z,"@pkozlowski-opensource @alxhub Thanks for answering. I guess I will use the linked signal as it is or wrap it myself if it becomes too much.
I wasn't sure doing ""change detection"" is the correct way but as I understand from your answers there is nothing wrong with it."
59555,closed,Add linkedSignalWithChanges for easier linkedSignal previous to current changes reaction,2598402233,Harpush,2025-01-17T13:45:57Z,"> +1 to the initial code being reasonable. I would probably write this as:
> 
> checkedItems = linkedSignal({
>   source: this.data,
>   computation: (data, previous) => {
>     if (!previous || data !== previous.source) {
>       return [];
>     }
> 
>     return previous.value.filter((checkedItem) => this.filteredData().includes(checkedItem));
>   },
> });

@alxhub  I might be wrong here but I think that won't work... At the first time filteredData won't be accessed so any changes to it won't invoke the signal. That's why I used an array as source to begin with.
Edit: [stackblitz](https://stackblitz.com/edit/stackblitz-starters-aqp9lmyf?file=src%2Fmain.ts)"
59555,closed,Add linkedSignalWithChanges for easier linkedSignal previous to current changes reaction,2661695456,angular-automatic-lock-bot[bot],2025-02-17T00:12:07Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59593,closed,fix(core): preserve dependencies when replacing metadata,2661695443,angular-automatic-lock-bot[bot],2025-02-17T00:12:06Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59591,closed,fix(compiler-cli): preserve all HMR dependencies,2661695430,angular-automatic-lock-bot[bot],2025-02-17T00:12:05Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59584,closed,test(platform-server): fix flaky incremental hydration test,2597834350,pkozlowski-opensource,2025-01-17T09:45:39Z,"This PR was merged into the repository by commit 4e6017a9f5cda389c5fbf4f2c1519ce1bba23e11.

The changes were merged into the following branches: main, 19.1.x"
59584,closed,test(platform-server): fix flaky incremental hydration test,2661695419,angular-automatic-lock-bot[bot],2025-02-17T00:12:04Z,"This issue has been automatically locked due to inactivity.
Please file a new issue if you are encountering a similar or related problem.

Read more about our [automatic conversation locking policy](https://github.com/angular/angular/blob/f0fbced1c55bc8b8ed9df01cea99df42f3e7eae3/contributing-docs/auto-issue-locking.md).

<sub>_This action has been performed automatically by a bot._</sub>"
59586,closed,"Why HttpFeature interface fields starting with ""ɵ"" symbol?",2597594184,JoostK,2025-01-17T07:23:33Z,This is Angular's convention to indicate a private name that should not be used in user code directly. In the case of feature providers it's done to ensure that the relevant feature provider functions are used instead of fabricating the feature object manually.
