Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
gkalpak,1928,https://github.com/gkalpak,User,False,3822,30,30,30,30,839,45,False
petebacondarwin,1771,https://github.com/petebacondarwin,User,False,6074,30,30,30,30,1534,223,False
devversion,1396,https://github.com/devversion,User,False,4238,30,30,30,30,663,18,False
alxhub,1017,https://github.com/alxhub,User,False,4324,30,30,30,30,1148,116,False
crisbeto,992,https://github.com/crisbeto,User,False,4294,30,30,30,30,704,779,False
atscott,972,https://github.com/atscott,User,False,5209,30,30,30,30,197,0,False
IgorMinar,964,https://github.com/IgorMinar,User,False,5462,30,30,30,30,3288,79,False
vsavkin,952,https://github.com/vsavkin,User,False,5930,30,30,30,30,2496,377,False
vicb,916,https://github.com/vicb,User,False,5415,30,30,30,30,708,141,False
AndrewKushnir,899,https://github.com/AndrewKushnir,User,False,2337,30,30,30,15,325,7,False
josephperrott,859,https://github.com/josephperrott,User,False,3664,0,0,0,30,256,1,False
pkozlowski-opensource,809,https://github.com/pkozlowski-opensource,User,False,4938,0,0,0,30,1120,231,False
tbosch,789,https://github.com/tbosch,User,False,5077,0,0,0,30,589,451,False
mhevery,752,https://github.com/mhevery,User,False,5675,0,0,0,30,6169,537,False
alan-agius4,736,https://github.com/alan-agius4,User,False,3274,0,0,0,30,587,7,False
JeanMeche,632,https://github.com/JeanMeche,User,False,4793,0,0,30,30,327,60,False
angular-robot,598,https://github.com/angular-robot,User,False,1264,30,30,8,8,38,20,False
alexeagle,562,https://github.com/alexeagle,User,False,5874,30,30,30,30,925,33,False
kara,536,https://github.com/kara,User,False,4356,30,30,30,30,1983,130,False
renovate-bot,535,https://github.com/renovate-bot,User,False,2952,30,30,30,30,1831,6,False
matsko,480,https://github.com/matsko,User,False,5732,30,30,30,30,1582,528,False
JoostK,435,https://github.com/JoostK,User,False,5643,30,30,30,30,191,5,False
mgechev,353,https://github.com/mgechev,User,False,5227,30,30,30,30,10003,4639,False
dylhunn,338,https://github.com/dylhunn,User,False,3973,30,30,13,24,166,95,False
chuckjaz,336,https://github.com/chuckjaz,User,False,5293,30,30,30,30,292,10,False
marclaval,310,https://github.com/marclaval,User,False,4542,30,30,0,30,186,246,False
AleksanderBodurri,310,https://github.com/AleksanderBodurri,User,False,2470,0,0,0,30,103,6,False
gregmagolan,301,https://github.com/gregmagolan,User,False,5179,0,0,0,30,98,24,False
thePunderWoman,295,https://github.com/thePunderWoman,User,False,4704,0,0,0,20,226,25,False
ocombe,192,https://github.com/ocombe,User,False,5401,0,0,0,30,719,33,False
jbogarthyde,192,https://github.com/jbogarthyde,User,False,2714,0,0,0,14,18,0,False
jasonaden,191,https://github.com/jasonaden,User,False,5183,30,30,30,30,184,85,False
JiaLiPassion,189,https://github.com/JiaLiPassion,User,False,4749,30,30,30,30,198,25,False
dario-piotrowicz,177,https://github.com/dario-piotrowicz,User,False,1814,30,30,30,30,103,2,False
kapunahelewong,176,https://github.com/kapunahelewong,User,False,4330,30,30,30,30,200,6,False
cexbrayat,164,https://github.com/cexbrayat,User,False,5261,30,30,30,30,587,353,False
wardbell,158,https://github.com/wardbell,User,False,5629,30,30,30,30,773,335,False
brandonroberts,154,https://github.com/brandonroberts,User,False,5899,30,30,30,30,2067,63,False
btford,152,https://github.com/btford,User,False,5213,30,30,30,30,3380,3430,False
yjbanov,145,https://github.com/yjbanov,User,False,5469,30,30,30,30,409,192,False
filipesilva,137,https://github.com/filipesilva,User,False,4324,30,30,30,30,1146,914,False
dgp1130,131,https://github.com/dgp1130,User,False,3655,0,0,0,30,115,8,False
mprobst,123,https://github.com/mprobst,User,False,6152,0,0,0,30,161,20,False
mmalerba,123,https://github.com/mmalerba,User,False,3435,0,0,0,22,138,2,False
rkirov,123,https://github.com/rkirov,User,False,5725,0,0,0,30,166,111,False
arturovt,120,https://github.com/arturovt,User,False,3957,30,30,24,18,208,26,False
jeffbcross,118,https://github.com/jeffbcross,User,False,5220,30,30,30,30,1048,144,False
jelbourn,115,https://github.com/jelbourn,User,False,5002,30,30,30,30,1084,702,False
benlesh,113,https://github.com/benlesh,User,False,4721,30,30,30,30,2881,153,False
sjtrimble,113,https://github.com/sjtrimble,User,False,4457,30,30,30,30,83,7,False
sonukapoor,106,https://github.com/sonukapoor,User,False,5829,30,30,30,30,74,22,False
clydin,106,https://github.com/clydin,User,False,3188,30,30,22,26,179,5,False
renovate[bot],105,https://github.com/apps/renovate,Bot,False,2816,30,30,0,0,0,0,False
kyliau,104,https://github.com/kyliau,User,False,4460,0,0,0,30,169,6,False
sumitarora,101,https://github.com/sumitarora,User,False,5489,0,0,0,30,120,16,False
pmvald,94,https://github.com/pmvald,User,False,2731,0,0,0,4,18,1,False
kormide,93,https://github.com/kormide,User,False,4244,0,0,0,25,13,9,False
ayazhafiz,92,https://github.com/ayazhafiz,User,False,3123,0,0,0,30,175,13,False
bampakoa,88,https://github.com/bampakoa,User,False,3971,0,0,0,10,210,204,False
Foxandxss,85,https://github.com/Foxandxss,User,False,4890,0,0,0,30,759,1351,False
vikerman,80,https://github.com/vikerman,User,False,5756,0,0,0,30,203,187,False
juliemr,79,https://github.com/juliemr,User,False,4581,0,0,0,30,2702,70,False
robwormald,75,https://github.com/robwormald,User,False,5169,0,0,0,30,1517,171,False
ajitsinghkaler,74,https://github.com/ajitsinghkaler,User,False,2470,0,0,0,30,35,44,False
PatrickJS,73,https://github.com/PatrickJS,User,False,4918,0,0,0,30,2971,24,False
trekladyone,61,https://github.com/trekladyone,User,False,1277,0,0,0,1,1,0,False
DzmitryShylovich,52,https://github.com/DzmitryShylovich,User,False,3771,0,0,0,3,202,2,False
josmar-crwdstffng,47,https://github.com/josmar-crwdstffng,User,False,1307,0,0,0,2,1,0,False
ivanwonder,45,https://github.com/ivanwonder,User,False,3384,0,0,0,18,24,3,False
trotyl,45,https://github.com/trotyl,User,False,4098,0,0,0,30,406,67,False
bencodezen,44,https://github.com/bencodezen,User,False,4253,0,0,0,30,2142,291,False
bjarkler,43,https://github.com/bjarkler,User,False,1724,0,0,0,16,9,0,False
twerske,43,https://github.com/twerske,User,False,3417,0,0,0,30,405,64,False
kevmoo,43,https://github.com/kevmoo,User,False,6061,0,0,0,30,2232,302,False
sasidharansd,42,https://github.com/sasidharansd,User,False,2183,0,0,0,30,7,7,False
naomiblack,42,https://github.com/naomiblack,User,False,4547,0,0,0,24,170,1,False
jteplitz,40,https://github.com/jteplitz,User,False,5495,0,0,0,30,107,17,False
TeriGlover,39,https://github.com/TeriGlover,User,False,1545,0,0,0,3,0,0,False
santoshyadavdev,38,https://github.com/santoshyadavdev,User,False,3597,0,0,0,30,1701,194,False
