Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
Auto-GPT-Bot,1076,https://github.com/Auto-GPT-Bot,User,False,640,30,22,0,0,184,0,False
Pwuts,714,https://github.com/Pwuts,User,False,3580,30,30,30,30,343,31,False
waynehamadi,457,https://github.com/waynehamadi,User,False,3752,30,30,30,30,203,52,False
Torantulino,438,https://github.com/Torantulino,User,False,3041,30,30,30,18,3510,1048,False
Swiftyos,379,https://github.com/Swiftyos,User,False,3697,30,30,30,22,84,14,False
hunteraraujo,283,https://github.com/hunteraraujo,User,False,2829,28,27,0,4,25,3,False
richbeales,243,https://github.com/richbeales,User,False,4732,30,30,10,27,261,57,False
majdyz,182,https://github.com/majdyz,User,False,1504,30,30,1,17,22,11,False
aarushik93,174,https://github.com/aarushik93,User,False,2106,30,30,30,30,38,2,False
ntindle,155,https://github.com/ntindle,User,False,3802,30,30,30,30,202,12,False
BillSchumacher,151,https://github.com/BillSchumacher,User,False,2634,30,30,30,30,184,294,False
SilenNaihin,148,https://github.com/SilenNaihin,User,False,2318,30,30,2,30,46,24,False
dependabot[bot],90,https://github.com/apps/dependabot,Bot,False,2133,30,30,0,0,0,0,False
Bentlybro,85,https://github.com/Bentlybro,User,False,2855,0,0,0,30,69,54,False
kcze,81,https://github.com/kcze,User,False,2609,0,0,0,9,31,2,False
lc0rp,49,https://github.com/lc0rp,User,False,4502,0,0,0,28,38,172,False
collijk,47,https://github.com/collijk,User,False,4062,0,0,0,30,67,4,False
AndresCdo,47,https://github.com/AndresCdo,User,False,1578,0,0,0,30,90,8,False
p-i-,45,https://github.com/p-i-,User,False,5075,0,0,0,30,68,137,False
sadmuphin,38,https://github.com/sadmuphin,User,False,2468,0,0,0,14,23,2,False
maiko,36,https://github.com/maiko,User,False,5493,0,0,0,13,42,2,False
drikusroor,32,https://github.com/drikusroor,User,False,3865,0,0,0,30,57,3,False
Abhi1992002,30,https://github.com/Abhi1992002,User,False,774,0,0,0,30,9,9,False
erik-megarad,29,https://github.com/erik-megarad,User,False,6156,0,30,15,10,56,796,False
Wladastic,28,https://github.com/Wladastic,User,False,3593,30,30,30,30,49,108,False
coditamar,24,https://github.com/coditamar,User,False,958,20,16,2,9,55,1,False
k-boikov,20,https://github.com/k-boikov,User,False,1759,30,25,5,7,41,2,False
