Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
1269,closed,Add flat badges to gh-pages branch,1030709811,0566616453,2022-02-05T22:41:40Z,Leave a comment 
1269,closed,Add flat badges to gh-pages branch,1097583756,nassarjjjj,2022-04-13T05:47:08Z,السلام 
1269,closed,Add flat badges to gh-pages branch,1541010739,Porpasad,2023-05-09T23:21:55Z,awesome.re
1269,closed,Add flat badges to gh-pages branch,2561649852,30031987Ya,2024-12-25T06:23:56Z,"> Related to #1268

"
1269,closed,Add flat badges to gh-pages branch,2561658487,Tester1234537,2024-12-25T06:43:11Z,"Nao.. is what the men intehliveru en the bak.and pss the
 Visión is esy.. O we an the kill


El mié, 25 dic 2024, 1:31 a. m., 30031987Ya ***@***.***>
escribió:

> Related to #1268 <https://github.com/sindresorhus/awesome/pull/1268>
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/sindresorhus/awesome/pull/1269#issuecomment-2561649852>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/A7TCOKOUUO52CVS3RPMI4VL2HJGNNAVCNFSM6AAAAABRWO4PUOVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMZDKNRRGY2DSOBVGI>
> .
> You are receiving this because you are subscribed to this thread.Message
> ID: ***@***.***>
>
"
1269,closed,Add flat badges to gh-pages branch,2645842050,AngSolids,2025-02-08T16:54:08Z,Solid project
878,closed,Add No-Login Web Apps,277684554,sindresorhus,2017-02-06T13:44:22Z,"> It is a curated list of awesome web apps that work without requesting you to create an account. This list will help users to do common tasks without having to download a software or create web accounts.

What problem does it solve though? I honestly rather create an account in a great web app then use a crappy one without login (Not saying this is the case every time, but very often)."
878,closed,Add No-Login Web Apps,277698447,aviaryan,2017-02-06T14:31:24Z,"The main motivation for this is like suppose you want to do a certain task, let's say plot a graph for a function to see its behaviour. You come to no-login-web-apps repo, look up the index and quickly find something that works for you, out of the box. No logins, no registrations. Of course, if you will be doing this too often, you might want to create an account on that site.

> I honestly rather create an account in a great web app then use a crappy one without login

**From README:** Most of the apps mentioned here do provide some kind of a user account feature to save history and progress. But as already stated before, a user account is not necessary to use the main features of these apps.

Maybe I should add a marker for sites that allow logins ?

----

Considering the above explanation, I think my PR is suitable for this project. @sindresorhus What do you think? "
878,closed,Add No-Login Web Apps,277723395,jedahan,2017-02-06T15:51:06Z,"I also see this list as a great resource on finding applications that have the potential to be easily distributed, offline first, generally (though not always) small codebase... "
878,closed,Add No-Login Web Apps,280865698,sindresorhus,2017-02-18T18:36:27Z,"> @sindresorhus What do you think?

:+1:

> only has awesome items with descriptions

Noticed a few items are missing description.

> Each link description starts with an uppercase character and ends with a period.

Not followed.

> Drop all the A / An prefixes in the descriptions.

Not followed.

> Consistent naming. For example, Node.js, not NodeJS or node.js.

For example, I see both `Youtube` and `youtube` used, but neither are correct. It's `YouTube`."
878,closed,Add No-Login Web Apps,280991022,aviaryan,2017-02-20T05:24:38Z,@sindresorhus I have updated the list with the improvements you suggested. Can you please have a look. Thanks 😊
878,closed,Add No-Login Web Apps,2645840067,AngSolids,2025-02-08T16:49:47Z,Can you forget to stroger you're talking bullet
3019,closed,Meta tweaks,2105632784,OR3Omimi,2024-05-11T08:26:32Z,"> <!-- Congrats on creating an Awesome list! 🎉 -->
> 
> <!-- Please fill in the below placeholders -->
> 
> ### By submitting this pull request I confirm I've read and complied with the below requirements 🖖
> 
> This is a typo fix pull request, which is not related to the awesome list itself. :-)

前排队等服务是否要在这个角色总动员们看过来# 看到这里了**快来买贵族和我们要****~~民国~~"
3312,closed,Add Large Language Model,2558267710,sindresorhus,2024-12-21T23:32:07Z,"Thanks for making an Awesome list! 🙌

It looks like you didn't read the [guidelines](https://github.com/sindresorhus/awesome/blob/master/pull_request_template.md) closely enough. I noticed multiple things that are not followed. Try going through the list point for point to ensure you follow it. I spent a lot of time creating the guidelines so I wouldn't have to comment on common mistakes, and rather spend my time improving Awesome."
3312,closed,Add Large Language Model,2558865577,donBarbos,2024-12-23T04:04:35Z,"hi @zhiyuan8, your list is really awesome but it doesn't meet any of the requirements :disappointed:

first of all I would advise you to start with a linter (it showed me 210 errors):
`npx awesome-lint https://github.com/NexaAI/Awesome-LLMs-on-device`
your list is almost entirely made up of different tables, although the guidelines says that the list should look like this:
`- [Item](link) - Description.`
I think this is the main thing you should start with.

**and of course read all the requirements!**"
3312,closed,Add Large Language Model,2558916560,NewAlexandria,2024-12-23T05:05:18Z,"@zhiyuan8 , I hope you'll revise it.  This looks like a great list. "
1354,closed,"Would anyone be interested: ""Awesome list of hardware for Kali Linux""?",405025738,ghost,2018-07-14T14:04:45Z,Also idk how to add labels to issues in this tracker. Can someone add the `list request` and `help wanted` labels for me?
1354,closed,"Would anyone be interested: ""Awesome list of hardware for Kali Linux""?",408619551,sindresorhus,2018-07-28T16:33:24Z,"The requirements for a list is listed here: https://github.com/sindresorhus/awesome/blob/master/pull_request_template.md

Usually, you start a list when you know a topic very well and want to share the resources and knowledge you have gathered. It doesn't really work to create an empty list and hope that people will come by and help out.

Instead, try to find some people in the Kali Linux community to start the list with."
1354,closed,"Would anyone be interested: ""Awesome list of hardware for Kali Linux""?",408679763,ghost,2018-07-29T14:00:53Z," >  It doesn't really work to create an empty list and hope that people will come by and help out.

Okay yeah that makes sense, and I am in full agreement with the point. I have neither the experience nor expert knowledge to contribute to my own list meaningfully so I guess I will delete the repo for now. Thank you."
1354,closed,"Would anyone be interested: ""Awesome list of hardware for Kali Linux""?",2626200967,Jrmufunwa,2025-01-31T03:03:34Z,How do I install Kali Linux on Samsung A05s..?
3151,closed,Add Japanese list,2290001694,sindresorhus,2024-08-14T22:06:38Z,https://github.com/sindresorhus/awesome/blob/main/create-list.md
3151,closed,Add Japanese list,2614160774,CiCi2019-cu,2025-01-26T01:15:08Z,Delete
3154,closed,Add Machine Learning section,2325394682,oguzhan18,2024-09-03T00:00:08Z,This is an automated response to help you with this issue. Please let us know if you need further assistance.
3154,closed,Add Machine Learning section,2327568358,ghost,2024-09-03T22:45:24Z,"I’m sorry. Is this how you treat?
I have no clue on coding and I don’t have any interests on it! Government
forced me to die and my google map record got changed by somebody. I don’t
seriously like the way your company supervised at all! I’m dying through
these 2 months.
The world is full of miserable. Why should I live?

Oğuzhan ÇART ***@***.***>於 2024年9月3日 週二，08:07寫道：

> This is an automated response to help you with this issue. Please let us
> know if you need further assistance.
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/sindresorhus/awesome/issues/3154#issuecomment-2325394682>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/ASM7JGOTEEAB65PUBRORGA3ZUT4TJAVCNFSM6AAAAABMUEBPC2VHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMZDGMRVGM4TINRYGI>
> .
> You are receiving this because you are subscribed to this thread.Message
> ID: ***@***.***>
>
"
3154,closed,Add Machine Learning section,2614160621,CiCi2019-cu,2025-01-26T01:14:20Z,Delete 
3216,closed,create-list.md not clear about license and contributing in footernote,2614160294,CiCi2019-cu,2025-01-26T01:12:52Z,"Delete 
"
3241,closed,Awesome Windows link is dead,2455808441,ForNeVeR,2024-11-04T22:13:33Z,This is being addressed by #3227.
3241,closed,Awesome Windows link is dead,2463231224,msbegee,2024-11-07T21:16:54Z,diable
3241,closed,Awesome Windows link is dead,2495680189,0PandaDEV,2024-11-23T22:57:32Z,"Finally, after 2 months #3227 was merged and with this the windows link is fixed. This issue can be closed now @abhy-kumar "
3241,closed,Awesome Windows link is dead,2614160051,CiCi2019-cu,2025-01-26T01:11:41Z,Close and delete 
3266,closed,Handbrake Web is listed twice,2466451502,RonnyAL,2024-11-09T20:32:01Z,Accidentally opened issue in wrong repo!
3266,closed,Handbrake Web is listed twice,2614159737,CiCi2019-cu,2025-01-26T01:10:16Z,Close 
3302,closed,What Are the Criteria for “No Blockchain-Related Lists” in Pull Request Guidelines?,2532931084,sindresorhus,2024-12-10T21:29:44Z,"There are too many blockchain projects that are pure scam and I don't want to spend a lot of time investigation whether the submissions are such projects.

---

> There are already some “blockchain-related” items on the existing awesome list

The work was already done with those."
3302,closed,What Are the Criteria for “No Blockchain-Related Lists” in Pull Request Guidelines?,2614159603,CiCi2019-cu,2025-01-26T01:09:35Z,Clear all
3282,closed,Add PostgreSQL hacking,2495512845,sindresorhus,2024-11-23T15:23:44Z,"Thanks for making an Awesome list! 🙌

It looks like you didn't read the [guidelines](https://github.com/sindresorhus/awesome/blob/master/pull_request_template.md) closely enough. I noticed multiple things that are not followed. Try going through the list point for point to ensure you follow it. I spent a lot of time creating the guidelines so I wouldn't have to comment on common mistakes, and rather spend my time improving Awesome."
3282,closed,Add PostgreSQL hacking,2498088581,zhjwpku,2024-11-25T13:55:38Z,"> Thanks for making an Awesome list! 🙌
> 
> It looks like you didn't read the [guidelines](https://github.com/sindresorhus/awesome/blob/master/pull_request_template.md) closely enough. I noticed multiple things that are not followed. Try going through the list point for point to ensure you follow it. I spent a lot of time creating the guidelines so I wouldn't have to comment on common mistakes, and rather spend my time improving Awesome.

I've edit the repo conform to awesome-lint, there is one requirement that not satisfied,
since I am adding an entry related to Postgres, I think it will be better that this
entry be listed below the Postgres entry."
3282,closed,Add PostgreSQL hacking,2499495157,zhjwpku,2024-11-26T02:14:27Z,"> There is no issue with `npx awesome-lint https://github.com/pghacking/awesome-postgres-hacking`; it is now `✅ Linting` successfully.
> 
> It would be better to add it to the README.md file of the Awesome repository as follows because other projects have added it this way.
> 
> * [PostgreSQL](https://github.com/dhamaniasad/awesome-postgres#readme) - Object-relational database.
>   
>   * [Hacking](https://github.com/pghacking/awesome-postgres-hacking#readme) - PostgreSQL hacking resources.
> 
> There is also a description of “PostgreSQL hacking resources.” It should not start with the title.

Changed as a subentry.
Non english native speaker, what do you mean by saying ""It should not start with the title""?
Can you be specific which part should be changed?"
3282,closed,Add PostgreSQL hacking,2500317668,bozaci,2024-11-26T11:05:19Z,"Your Description: **PostgreSQL hacking resources.**
PostgreSQL, present at the beginning of the description, should not be at the beginning. It would be best if you corrected the description accordingly, other pull requests are requested this way.

Example:

- [PostgreSQL](https://github.com/dhamaniasad/awesome-postgres#readme) - Object-relational database.
  - [Hacking](https://github.com/pghacking/awesome-postgres-hacking#readme) - Resources for PostgreSQL hacking."
3282,closed,Add PostgreSQL hacking,2500554974,zhjwpku,2024-11-26T12:05:43Z,"> Your Description: **PostgreSQL hacking resources.** PostgreSQL, present at the beginning of the description, should not be at the beginning. It would be best if you corrected the description accordingly, other pull requests are requested this way.
> 
> Example:
> 
> * [PostgreSQL](https://github.com/dhamaniasad/awesome-postgres#readme) - Object-relational database.
>   
>   * [Hacking](https://github.com/pghacking/awesome-postgres-hacking#readme) - Resources for PostgreSQL hacking.

Changed accordingly, thanks"
3282,closed,Add PostgreSQL hacking,2502684393,zhjwpku,2024-11-27T04:12:02Z,"> Finally, as far as I can see you have added a pull request review, but no ‘approved’, ‘request changes’ or any comments.

I don't remember I add a pull request review, I just do quote reply. I had re-requested your review after I did some change, I'm not sure if mean that."
3282,closed,Add PostgreSQL hacking,2503613896,bozaci,2024-11-27T11:20:06Z,"**The one you added**: You should review at least 2 other [open pull requests](https://github.com/sindresorhus/awesome/pulls?q=is%3Apr+is%3Aopen).
I have reviewed https://github.com/sindresorhus/awesome/pull/3247 and https://github.com/sindresorhus/awesome/pull/3256

**Checklist request**: You should review at least 2 other [open pull requests](https://github.com/sindresorhus/awesome/pulls?q=is%3Apr+is%3Aopen).
Try to prioritise unreviewed PRs, but you can also add more comments to reviewed PRs. Review the following list when reviewing. This requirement is to help the Awesome project become self-sustaining. Leave a comment here about which PRs you have reviewed. You are expected to make a good effort and be thorough. Look at previous PR reviews for inspiration. Just commenting ‘looks good’ or just marking the pull request as approved doesn't count! You really need to point out errors or suggestions for improvement. Comments pointing out a lint violation are allowed, but do not count as a review.

---

I think there has been a slight misunderstanding here. It is not enough to say ‘I have reviewed these PRs’. The checklist expects you to do a detailed review and share any shortcomings or suggestions for improvement. For example, you can look at previous reviews and get inspired. So it would be best if you made a more in-depth evaluation."
3282,closed,Add PostgreSQL hacking,2503684813,zhjwpku,2024-11-27T11:55:10Z,"> **The one you added**: You should review at least 2 other [open pull requests](https://github.com/sindresorhus/awesome/pulls?q=is%3Apr+is%3Aopen). I have reviewed #3247 and #3256
> 
> **Checklist request**: You should review at least 2 other [open pull requests](https://github.com/sindresorhus/awesome/pulls?q=is%3Apr+is%3Aopen). Try to prioritise unreviewed PRs, but you can also add more comments to reviewed PRs. Review the following list when reviewing. This requirement is to help the Awesome project become self-sustaining. Leave a comment here about which PRs you have reviewed. You are expected to make a good effort and be thorough. Look at previous PR reviews for inspiration. Just commenting ‘looks good’ or just marking the pull request as approved doesn't count! You really need to point out errors or suggestions for improvement. Comments pointing out a lint violation are allowed, but do not count as a review.
> 
> I think there has been a slight misunderstanding here. It is not enough to say ‘I have reviewed these PRs’. The checklist expects you to do a detailed review and share any shortcomings or suggestions for improvement. For example, you can look at previous reviews and get inspired. So it would be best if you made a more in-depth evaluation.

OK, I just reviewed #3283 and #3247 and left a LGTM approve message."
3282,closed,Add PostgreSQL hacking,2506297605,zhjwpku,2024-11-28T14:51:35Z,"> Thanks for creating the list!
> 
> Please note in the guidelines:
> 
> > Entries have a description, unless the title is descriptive enough by itself. It rarely is though.
> 
> In your list, most of the entries have none. Only the books, the first two mailing lists, and the tools have them.
> 
TBH, I think the titles are descriptive enough by themselves.

> Also, there's an empty section ""Parser"".

I just add for entry for parser section.
"
3282,closed,Add PostgreSQL hacking,2608127718,DanailMinchev,2025-01-22T19:48:03Z,"Please have a look at these linting errors, mainly missing dots:
<img width=""715"" alt=""image"" src=""https://github.com/user-attachments/assets/0f08b6d5-0757-4adb-b274-f085aa6189dc"" />
"
3341,closed,Add missing period for consistency in the Code-of-Conduct.md section,2609191815,sindresorhus,2025-01-23T08:49:34Z,You have to fix the source if so: https://www.contributor-covenant.org/version/1/4/code-of-conduct/
3110,closed,Add Xiangqi,2229468457,lucaferranti,2024-07-15T21:25:21Z,unicorn
3110,closed,Add Xiangqi,2236179760,lucaferranti,2024-07-18T10:36:22Z,@TupleType can you elaborate what you mean?
3110,closed,Add Xiangqi,2236189457,TupleType,2024-07-18T10:42:07Z,"> @TupleType can you elaborate what you mean?

Includes a succinct description of the project/theme at the top of the readme. [(Example)](https://github.com/willempienaar/awesome-quantified-self)
✅ Mobile operating system for Apple phones and tablets.
✅ Prototyping interactive UI designs.
❌ Resources and tools for iOS development.
❌ Awesome Framer packages and tools.

"
3110,closed,Add Xiangqi,2236194892,lucaferranti,2024-07-18T10:45:30Z,"@TupleType I think the sentence I have

> Xiangqi, also known as Chinese chess, is a two-players abstract strategy board-game from China, with a long history of tradition, theory and tactics.

is a pretty succint description of what xiangqi is.

Could you clarify why you think it does not fit the guidelines? If you have a better wording in mind, of course happy to receive feedback :)
"
3110,closed,Add Xiangqi,2236198960,TupleType,2024-07-18T10:47:48Z,I mean the first line of the readme should be second
