Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
sindresorhus,349,https://github.com/sindresorhus,User,False,5536,30,30,30,30,71324,10993,False
davisonio,27,https://github.com/davisonio,User,False,4189,30,30,30,15,827,1669,False
RichardLitt,14,https://github.com/RichardLitt,User,False,4968,30,30,30,30,2604,32,False
arthurvr,7,https://github.com/arthurvr,User,False,4102,30,30,30,30,1222,18,False
kdeldycke,6,https://github.com/kdeldycke,User,False,5557,30,30,30,30,1426,30589,False
AllThingsSmitty,6,https://github.com/AllThingsSmitty,User,False,4679,30,30,30,30,2247,45305,False
PatrickJS,5,https://github.com/PatrickJS,User,False,4918,30,30,30,30,2970,24,False
johnjago,4,https://github.com/johnjago,User,False,3173,30,30,30,30,118,3007,False
RayBB,4,https://github.com/RayBB,User,False,4963,30,30,30,30,185,202,False
stevestock,4,https://github.com/stevestock,User,False,4216,25,21,18,24,47,4,False
egeerardyn,3,https://github.com/egeerardyn,User,False,5520,30,30,30,30,78,1498,False
willianjusten,3,https://github.com/willianjusten,User,False,4343,30,30,30,30,7287,10207,False
YerkoPalma,3,https://github.com/YerkoPalma,User,False,4221,30,30,30,30,120,201,False
z00rat,3,https://github.com/z00rat,User,False,1468,18,14,17,25,48,15,False
aliesbelik,3,https://github.com/aliesbelik,User,False,4657,30,30,16,30,121,1257,False
fabacab,3,https://github.com/fabacab,User,False,6047,30,30,29,30,1071,6733,False
arslanbilal,3,https://github.com/arslanbilal,User,False,4152,30,30,30,16,451,7111,False
joshwiens,3,https://github.com/joshwiens,User,False,3842,30,30,30,30,513,189,False
karlhorky,3,https://github.com/karlhorky,User,False,4607,30,30,30,30,822,820,False
leoruhland,3,https://github.com/leoruhland,User,False,4647,30,30,6,30,150,9,False
mischah,3,https://github.com/mischah,User,False,5238,30,30,30,30,405,6,False
maehr,3,https://github.com/maehr,User,False,3435,30,30,30,30,146,585,False
petk,3,https://github.com/petk,User,False,4700,30,30,30,30,1116,1053,False
sfischer13,3,https://github.com/sfischer13,User,False,4885,22,19,22,30,51,562,False
Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
sindresorhus,349,https://github.com/sindresorhus,User,False,5536,30,30,30,30,71324,10993,False
davisonio,27,https://github.com/davisonio,User,False,4189,30,30,30,15,827,1669,False
