Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
obscuren,3951,https://github.com/obscuren,User,False,4062,30,30,30,30,1722,152,False
karalabe,2681,https://github.com/karalabe,User,False,5618,30,30,30,30,2871,865,True
fjl,1461,https://github.com/fjl,User,False,6146,30,30,30,30,1035,31,False
holiman,821,https://github.com/holiman,User,False,5589,30,30,30,30,1172,144,False
tgerring,569,https://github.com/tgerring,User,False,5048,30,30,30,30,550,38,False
rjl493456442,465,https://github.com/rjl493456442,User,False,4101,30,30,30,30,576,8,True
zelig,377,https://github.com/zelig,User,False,5028,30,30,30,25,283,7,False
MariusVanDerWijden,262,https://github.com/MariusVanDerWijden,User,False,3315,30,30,30,30,415,15,True
CJentzsch,226,https://github.com/CJentzsch,User,False,3830,30,30,30,25,318,4,False
debris,212,https://github.com/debris,User,False,4492,30,30,30,30,689,57,False
gballet,207,https://github.com/gballet,User,False,4407,0,0,0,30,469,10,True
zsfelfoldi,189,https://github.com/zsfelfoldi,User,False,3732,0,0,0,10,142,114,False
s1na,141,https://github.com/s1na,User,False,4697,0,0,0,30,231,16,False
jsvisa,117,https://github.com/jsvisa,User,False,4372,0,0,0,30,146,6,False
ucwong,114,https://github.com/ucwong,User,False,3062,0,0,0,30,53,8,False
lightclient,98,https://github.com/lightclient,User,False,3452,0,0,0,30,826,76,True
nonsense,95,https://github.com/nonsense,User,False,5853,30,30,30,30,276,46,True
janos,81,https://github.com/janos,User,False,5766,30,30,30,30,124,44,False
jwasinger,60,https://github.com/jwasinger,User,False,4393,30,30,30,30,303,0,False
gluk256,53,https://github.com/gluk256,User,False,3729,30,30,1,17,45,43,False
acud,53,https://github.com/acud,User,False,3520,30,30,30,30,166,3,True
renaynay,47,https://github.com/renaynay,User,False,2383,30,30,30,30,159,10,False
gavofyork,44,https://github.com/gavofyork,User,False,5598,30,30,30,30,4247,405,False
Arachnid,42,https://github.com/Arachnid,User,False,6045,30,30,30,30,1691,652,False
aaronbuchwald,38,https://github.com/aaronbuchwald,User,False,2971,30,30,30,30,77,2,False
vbuterin,34,https://github.com/vbuterin,User,False,4547,30,30,30,30,12575,1012,False
sandakersmann,33,https://github.com/sandakersmann,User,False,4082,0,0,0,30,71,3,False
holisticode,33,https://github.com/holisticode,User,False,5738,0,0,0,30,37,4,False
s7v7nislands,33,https://github.com/s7v7nislands,User,False,5440,0,0,0,30,58,0,False
cubedro,32,https://github.com/cubedro,User,False,4085,0,0,0,30,506,1207,True
ligi,31,https://github.com/ligi,User,False,5667,0,0,0,30,2334,132,True
nolash,29,https://github.com/nolash,User,False,3731,0,0,0,30,67,77,False
matthalp,29,https://github.com/matthalp,User,False,1009,0,0,0,1,2,0,False
meowsbits,28,https://github.com/meowsbits,User,False,2257,30,30,30,30,53,3,False
zhiqiangxu,28,https://github.com/zhiqiangxu,User,False,4804,30,30,30,30,220,28,False
jpeletier,26,https://github.com/jpeletier,User,False,3612,30,30,30,18,22,7,False
cuiweixie,25,https://github.com/cuiweixie,User,False,4701,30,30,30,30,120,1,False
frncmx,24,https://github.com/frncmx,User,False,4653,30,30,30,5,126,0,False
dbadoy,24,https://github.com/dbadoy,User,False,1576,30,30,18,30,17,13,False
kielbarry,23,https://github.com/kielbarry,User,False,3309,0,0,0,30,0,0,False
darioush,22,https://github.com/darioush,User,False,4271,30,30,30,30,35,4,False
chfast,22,https://github.com/chfast,User,False,5133,30,30,30,30,885,151,True
AaronChen0,21,https://github.com/AaronChen0,User,False,3223,30,30,19,25,34,8,False
mask-pp,21,https://github.com/mask-pp,User,False,2672,0,0,0,30,97,17,False
n1charlie,19,https://github.com/n1charlie,User,False,1644,0,0,0,30,73,3,False
kurkomisi,19,https://github.com/kurkomisi,User,False,3111,0,0,0,4,9,2,False
egonelbre,19,https://github.com/egonelbre,User,False,5487,0,0,0,30,571,167,False
ryanschneider,18,https://github.com/ryanschneider,User,False,5841,0,0,0,30,63,5,False
lmars,17,https://github.com/lmars,User,False,5195,0,0,0,30,117,34,False
islishude,16,https://github.com/islishude,User,False,2969,0,0,0,30,65,239,False
mrFranklin,15,https://github.com/mrFranklin,User,False,4195,25,19,17,30,68,2,False
estensen,14,https://github.com/estensen,User,False,3773,30,30,30,30,71,1,False
ethers,14,https://github.com/ethers,User,False,3985,30,30,30,30,477,60,True
SamuelMarks,14,https://github.com/SamuelMarks,User,False,5009,30,30,30,30,149,13,False
hadv,13,https://github.com/hadv,User,False,4945,30,30,30,30,78,1,False
winsvega,13,https://github.com/winsvega,User,False,4280,30,30,30,30,81,36,False
hackmod,12,https://github.com/hackmod,User,False,2691,30,30,30,30,69,10,False
lmittmann,12,https://github.com/lmittmann,User,False,4388,30,30,30,17,71,1156,False
jimenezrick,12,https://github.com/jimenezrick,User,False,5297,30,30,30,30,102,25,False
eltociear,12,https://github.com/eltociear,User,False,3048,0,0,0,30,0,14,False
ebuchman,11,https://github.com/ebuchman,User,False,4536,0,0,0,30,634,64,False
adamschmideg,11,https://github.com/adamschmideg,User,False,5464,0,0,0,30,35,82,False
markya0616,11,https://github.com/markya0616,User,False,4206,0,0,0,30,47,2,False
CoreyLin,10,https://github.com/CoreyLin,User,False,3540,0,0,0,30,19,5,False
Evolution404,10,https://github.com/Evolution404,User,False,2592,0,0,0,27,0,41,False
jeremyschlatter,10,https://github.com/jeremyschlatter,User,False,4127,0,0,0,30,107,35,False
mcdee,10,https://github.com/mcdee,User,False,5178,30,30,30,30,245,65,False
joohhnnn,10,https://github.com/joohhnnn,User,False,1657,30,30,27,30,53,3,False
roberto-bayardo,10,https://github.com/roberto-bayardo,User,False,3700,30,30,16,30,110,21,False
ferhatelmas,10,https://github.com/ferhatelmas,User,False,5091,30,30,30,30,266,35,False
caktux,9,https://github.com/caktux,User,False,6083,30,30,30,30,170,43,False
robert-zaremba,9,https://github.com/robert-zaremba,User,False,5007,30,30,30,30,211,31,False
marioevz,9,https://github.com/marioevz,User,False,3602,30,30,30,30,117,45,True
kobigurk,9,https://github.com/kobigurk,User,False,4381,30,30,30,30,604,56,False
ziogaschr,9,https://github.com/ziogaschr,User,False,5011,30,30,30,30,68,15,False
shazow,9,https://github.com/shazow,User,False,6147,30,30,30,30,1179,238,False
axic,9,https://github.com/axic,User,False,6024,0,0,0,30,1846,81,True
Halimao,8,https://github.com/Halimao,User,False,2939,0,0,0,30,23,2,False
weiihann,8,https://github.com/weiihann,User,False,2203,0,0,0,30,22,14,False
stevemilk,8,https://github.com/stevemilk,User,False,3300,0,0,0,9,4,1,False
stevenroose,8,https://github.com/stevenroose,User,False,4986,0,0,0,30,445,8,False
buddh0,7,https://github.com/buddh0,User,False,3880,0,0,0,15,34,19,False
baptiste-b-pegasys,7,https://github.com/baptiste-b-pegasys,User,False,1348,30,30,8,26,6,0,False
b00ris,7,https://github.com/b00ris,User,False,4236,30,30,30,30,25,1,False
rociiu,7,https://github.com/rociiu,User,False,5995,30,30,6,30,130,138,False
jtraglia,7,https://github.com/jtraglia,User,False,1162,30,30,30,30,136,5,True
protolambda,7,https://github.com/protolambda,User,False,3181,30,30,30,30,1253,250,False
cdetrio,7,https://github.com/cdetrio,User,False,4918,30,30,30,30,354,9,True
gbalint,7,https://github.com/gbalint,User,False,5624,30,30,30,11,16,0,False
ajsutton,7,https://github.com/ajsutton,User,False,5782,30,30,30,30,294,244,False
bnovil,6,https://github.com/bnovil,User,False,3040,18,13,1,28,1,17,False
phenix3443,6,https://github.com/phenix3443,User,False,4658,30,30,30,30,65,18,False
hydai,6,https://github.com/hydai,User,False,4471,0,0,0,30,320,2,False
gitglorythegreat,6,https://github.com/gitglorythegreat,User,False,270,0,0,0,4,0,1,False
SheldonZhong,6,https://github.com/SheldonZhong,User,False,3563,0,0,0,20,22,35,False
suriyaa,6,https://github.com/suriyaa,User,False,4218,0,0,0,30,1040,265,False
colinlyguo,6,https://github.com/colinlyguo,User,False,1051,0,0,0,20,83,61,False
mansaj,6,https://github.com/mansaj,User,False,2366,0,0,0,30,22,1,False
hteevoli,6,https://github.com/hteevoli,User,False,279,0,0,0,6,0,0,False
tmelhao,6,https://github.com/tmelhao,User,False,2067,0,0,0,15,5,3,False
erobit,6,https://github.com/erobit,User,False,5342,0,3,9,27,23,45,False
reductionista,6,https://github.com/reductionista,User,False,4489,30,30,5,26,14,3,False
arboreum,6,https://github.com/arboreum,User,False,3584,2,2,0,2,1,0,False
gumb0,6,https://github.com/gumb0,User,False,4617,30,30,30,30,382,14,True
LefterisJP,5,https://github.com/LefterisJP,User,False,4678,30,30,30,30,646,3,False
xcthulhu,5,https://github.com/xcthulhu,User,False,5532,30,30,30,30,293,20,False
VoR0220,5,https://github.com/VoR0220,User,False,3905,30,30,30,30,118,5,True
skylenet,5,https://github.com/skylenet,User,False,4723,30,30,30,30,169,11,True
wuestholz,5,https://github.com/wuestholz,User,False,5849,30,30,30,17,76,1,False
bodhi-crypo,5,https://github.com/bodhi-crypo,User,False,434,30,30,4,30,5,2,False
georgehao,5,https://github.com/georgehao,User,False,3984,30,0,0,30,123,73,False
hero5512,5,https://github.com/hero5512,User,False,3692,0,0,0,30,39,1,False
hyunchel,5,https://github.com/hyunchel,User,False,4407,0,0,0,30,35,1,False
minh-bq,5,https://github.com/minh-bq,User,False,1129,0,0,0,14,5,0,False
ceyonur,5,https://github.com/ceyonur,User,False,3226,0,0,0,30,85,15,False
frewsxcv,5,https://github.com/frewsxcv,User,False,5248,0,0,0,30,532,282,False
Dexaran,5,https://github.com/Dexaran,User,False,2900,0,0,0,30,432,14,False
Exca-DK,5,https://github.com/Exca-DK,User,False,1333,30,30,10,19,3,14,False
GagziW,5,https://github.com/GagziW,User,False,3316,9,8,0,16,14,0,False
Neurone,5,https://github.com/Neurone,User,False,5139,30,30,30,30,103,34,False
gurukamath,5,https://github.com/gurukamath,User,False,2168,30,30,30,30,29,2,False
heikoheiko,5,https://github.com/heikoheiko,User,False,4468,30,29,30,23,466,135,True
jakub-freebit,5,https://github.com/jakub-freebit,User,False,2125,7,7,2,5,0,0,False
0xc1c4da,5,https://github.com/0xc1c4da,User,False,4480,0,0,0,30,0,31,False
jmank88,5,https://github.com/jmank88,User,False,4834,30,30,30,30,81,39,False
undefinedor,4,https://github.com/undefinedor,User,False,3836,19,10,21,30,37,55,False
tbocek,4,https://github.com/tbocek,User,False,4795,30,30,30,30,85,119,False
stephenfire,4,https://github.com/stephenfire,User,False,3281,0,0,0,30,1,2,False
sorin,4,https://github.com/sorin,User,False,5819,0,0,0,18,13,5,False
SjonHortensius,4,https://github.com/SjonHortensius,User,False,4670,0,0,0,30,57,85,False
pengin7384,4,https://github.com/pengin7384,User,False,2672,0,0,0,22,61,0,False
sdboyer,4,https://github.com/sdboyer,User,False,6013,0,0,0,30,656,32,False
hiddentao,4,https://github.com/hiddentao,User,False,5392,0,0,0,30,327,181,False
ngotchac,4,https://github.com/ngotchac,User,False,4460,0,0,0,30,72,26,False
nebojsa94,4,https://github.com/nebojsa94,User,False,3370,0,0,0,16,51,8,False
NathanBSC,4,https://github.com/NathanBSC,User,False,758,0,0,0,9,20,1,False
5chdn,4,https://github.com/5chdn,User,False,3379,30,30,30,30,344,49,False
vieyang,4,https://github.com/vieyang,User,False,3606,30,30,29,30,24,0,False
wuxiangzhou2010,4,https://github.com/wuxiangzhou2010,User,False,4349,30,28,8,30,18,1,False
yondonfu,4,https://github.com/yondonfu,User,False,4104,30,30,30,30,108,93,False
jmozah,4,https://github.com/jmozah,User,False,4945,30,30,30,30,77,38,False
niuzhenguo,4,https://github.com/niuzhenguo,User,False,4351,30,30,30,30,72,12,False
bugmaker9371,4,https://github.com/bugmaker9371,User,False,294,6,4,0,1,0,0,False
dependabot[bot],4,https://github.com/apps/dependabot,Bot,False,2124,30,30,0,0,0,0,False
int88,4,https://github.com/int88,User,False,988,0,0,0,6,16,1,False
piersy,4,https://github.com/piersy,User,False,4216,0,0,0,30,43,74,False
terasum,4,https://github.com/terasum,User,False,3155,0,0,0,30,72,0,False
eval-exec,4,https://github.com/eval-exec,User,False,2226,0,0,0,30,62,4,False
levisyin,4,https://github.com/levisyin,User,False,459,0,0,0,30,6,2,False
AlexeyAkhunov,4,https://github.com/AlexeyAkhunov,User,False,3473,0,0,0,24,264,82,False
0xbstn,4,https://github.com/0xbstn,User,False,4081,0,0,0,14,3,0,False
songzhibin97,4,https://github.com/songzhibin97,User,False,2142,0,0,0,30,138,24,False
caesarchad,4,https://github.com/caesarchad,User,False,3256,0,0,0,30,46,2,False
dshulyak,4,https://github.com/dshulyak,User,False,4593,0,0,0,30,74,32,False
roveneliah,4,https://github.com/roveneliah,User,False,3224,0,0,0,30,21,1,False
enriquefynn,4,https://github.com/enriquefynn,User,False,5381,0,0,0,30,63,20,False
evgen-povt,4,https://github.com/evgen-povt,User,False,5239,0,0,0,14,7,0,False
Gealber,4,https://github.com/Gealber,User,False,2163,0,0,0,30,67,16,False
0xmountaintop,4,https://github.com/0xmountaintop,User,False,2532,0,0,0,30,307,19,False
duanhao0814,4,https://github.com/duanhao0814,User,False,2479,0,0,0,9,5,0,False
MaximilianMeister,4,https://github.com/MaximilianMeister,User,False,4177,0,0,0,30,34,0,False
michaelforney,4,https://github.com/michaelforney,User,False,5843,0,0,0,30,441,848,False
maoueh,4,https://github.com/maoueh,User,False,5636,0,0,0,30,52,4,False
leofantast,4,https://github.com/leofantast,User,False,3123,0,0,0,30,7,44,False
leijurv,4,https://github.com/leijurv,User,False,4351,0,0,0,30,928,80,False
PlasmaPower,4,https://github.com/PlasmaPower,User,False,4096,0,0,0,30,202,38,False
wraith7,4,https://github.com/wraith7,User,False,4259,0,0,0,7,7,0,False
jmcook1186,4,https://github.com/jmcook1186,User,False,2643,0,0,0,30,127,48,False
LLLeon,4,https://github.com/LLLeon,User,False,3682,0,0,0,24,21,19,False
prestwich,4,https://github.com/prestwich,User,False,3712,0,0,0,30,609,74,False
divan,4,https://github.com/divan,User,False,4974,0,0,0,30,1233,2501,False
HusamElbashir,4,https://github.com/HusamElbashir,User,False,2448,0,0,0,24,27,2,False
croath,3,https://github.com/croath,User,False,4755,0,0,0,30,667,18,False
chuwt,3,https://github.com/chuwt,User,False,3267,0,0,0,30,87,152,False
chenyufeng1991,3,https://github.com/chenyufeng1991,User,False,3744,25,12,3,30,657,336,False
zzyalbert,3,https://github.com/zzyalbert,User,False,3853,30,19,6,30,24,0,False
zramsay,3,https://github.com/zramsay,User,False,3846,30,30,30,30,168,10,False
farazdagi,3,https://github.com/farazdagi,User,False,5495,30,30,30,30,195,9,False
Smilenator,3,https://github.com/Smilenator,User,False,4793,3,3,2,3,0,0,False
sebastianst,3,https://github.com/sebastianst,User,False,4493,30,30,30,30,177,67,False
remyroy,3,https://github.com/remyroy,User,False,5354,30,30,30,30,120,442,False
romanman,3,https://github.com/romanman,User,False,4118,18,9,30,26,77,3,False
ricardohsd,3,https://github.com/ricardohsd,User,False,5868,30,28,16,30,62,24,False
qianbin,3,https://github.com/qianbin,User,False,5190,30,30,5,30,155,139,False
palango,3,https://github.com/palango,User,False,5730,0,0,0,30,25,17,False
cuishuang,3,https://github.com/cuishuang,User,False,3369,0,0,0,30,166,2,False
dm4,3,https://github.com/dm4,User,False,5386,0,0,0,30,89,23,False
lochjin,3,https://github.com/lochjin,User,False,2570,0,0,0,30,10,0,False
libotony,3,https://github.com/libotony,User,False,3834,0,0,0,30,124,19,False
psogv0308,3,https://github.com/psogv0308,User,False,3182,0,0,0,3,0,0,False
tianyeyouyou,3,https://github.com/tianyeyouyou,User,False,451,0,0,0,23,0,0,False
uji,3,https://github.com/uji,User,False,2120,30,30,11,30,23,4,False
vuittont60,3,https://github.com/vuittont60,User,False,1420,30,30,4,30,15,0,False
anothel,3,https://github.com/anothel,User,False,3895,19,15,1,12,27,10,False
