Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
Trott,3134,https://github.com/Trott,User,False,5061,30,30,30,30,1435,7,False
ry,3021,https://github.com/ry,User,False,6227,30,30,30,30,32262,686,False
bnoordhuis,2289,https://github.com/bnoordhuis,User,False,5392,30,30,30,30,2623,169,False
isaacs,1655,https://github.com/isaacs,User,False,6131,30,30,30,30,15356,317,False
addaleax,1594,https://github.com/addaleax,User,False,4973,30,30,30,30,1897,33,False
targos,1215,https://github.com/targos,User,False,4536,30,30,30,30,782,1,False
cjihrig,1173,https://github.com/cjihrig,User,False,4513,30,30,30,30,951,41,False
jasnell,1054,https://github.com/jasnell,User,False,5238,30,30,30,30,1736,202,False
joyeecheung,1020,https://github.com/joyeecheung,User,False,4309,30,30,30,30,5581,218,False
BridgeAR,806,https://github.com/BridgeAR,User,False,3803,30,30,30,30,589,30,False
aduh95,794,https://github.com/aduh95,User,False,3440,0,0,0,30,277,34,False
indutny,779,https://github.com/indutny,User,False,5428,0,0,0,30,3516,1584,False
tniessen,730,https://github.com/tniessen,User,False,4437,0,0,0,30,317,85,False
nodejs-github-bot,681,https://github.com/nodejs-github-bot,User,False,3239,0,0,0,0,233,0,False
danbev,605,https://github.com/danbev,User,False,5244,0,0,0,30,502,3,False
piscisaureus,598,https://github.com/piscisaureus,User,False,5458,0,0,0,30,2283,17,False
mhdawson,404,https://github.com/mhdawson,User,False,3768,0,0,0,30,878,128,False
mscdex,374,https://github.com/mscdex,User,False,5844,30,30,30,30,1240,3824,False
rvagg,368,https://github.com/rvagg,User,False,5197,30,30,30,30,2517,894,False
trevnorris,365,https://github.com/trevnorris,User,False,5378,30,30,30,30,954,493,False
richardlau,364,https://github.com/richardlau,User,False,4174,30,30,30,30,231,6,False
sam-github,354,https://github.com/sam-github,User,False,6054,30,30,30,30,396,121,False
ronag,337,https://github.com/ronag,User,False,4443,30,30,30,30,405,1,False
tjfontaine,332,https://github.com/tjfontaine,User,False,5588,30,25,30,30,756,487,False
vsemozhetbyt,332,https://github.com/vsemozhetbyt,User,False,3695,30,30,30,7,156,6,False
anonrig,328,https://github.com/anonrig,User,False,4606,30,30,30,30,1798,142,False
lpinca,326,https://github.com/lpinca,User,False,4748,30,30,30,30,559,298,False
refack,326,https://github.com/refack,User,False,5720,0,0,0,30,265,9,False
RafaelGSS,321,https://github.com/RafaelGSS,User,False,2903,0,0,0,30,1262,161,False
MylesBorins,291,https://github.com/MylesBorins,User,False,5194,0,0,0,30,2637,23,False
legendecas,232,https://github.com/legendecas,User,False,3832,0,0,0,30,516,1,False
shigeki,221,https://github.com/shigeki,User,False,5029,0,0,0,30,268,192,False
apapirovski,220,https://github.com/apapirovski,User,False,6028,0,0,0,12,281,1,False
gengjiawen,213,https://github.com/gengjiawen,User,False,4367,0,0,0,30,335,9,False
panva,207,https://github.com/panva,User,False,5424,0,0,0,30,1429,12211,False
TooTallNate,197,https://github.com/TooTallNate,User,False,5793,30,30,30,30,6269,1055,False
marco-ippolito,179,https://github.com/marco-ippolito,User,False,2550,30,30,30,30,329,96,False
mcollina,169,https://github.com/mcollina,User,False,5854,30,30,30,30,9987,8809,False
RaisinTen,165,https://github.com/RaisinTen,User,False,2372,30,30,30,30,259,107,False
Fishrock123,165,https://github.com/Fishrock123,User,False,4887,30,30,30,30,665,146,False
evanlucas,159,https://github.com/evanlucas,User,False,5083,30,30,30,30,281,8,False
koichik,157,https://github.com/koichik,User,False,5308,30,30,21,3,206,537,False
MoLow,155,https://github.com/MoLow,User,False,3862,30,30,30,30,92,1,False
TimothyGu,154,https://github.com/TimothyGu,User,False,4721,30,30,30,30,1023,70,False
gabrielschulhof,154,https://github.com/gabrielschulhof,User,False,4936,30,30,30,30,111,25,False
thefourtheye,147,https://github.com/thefourtheye,User,False,5072,0,0,0,30,215,6,False
ofrobots,135,https://github.com/ofrobots,User,False,5772,0,0,0,30,309,4,False
guybedford,132,https://github.com/guybedford,User,False,5126,0,0,0,30,1834,46,False
codebytere,128,https://github.com/codebytere,User,False,4589,0,0,0,30,3688,637,False
felixge,124,https://github.com/felixge,User,False,6079,0,0,0,30,4094,226,False
santigimeno,124,https://github.com/santigimeno,User,False,4890,0,0,0,30,186,222,False
devsnek,123,https://github.com/devsnek,User,False,4110,0,0,0,30,959,36,False
benjamingr,115,https://github.com/benjamingr,User,False,4786,30,30,30,30,1017,73,False
LiviaMedeiros,115,https://github.com/LiviaMedeiros,User,False,1554,30,30,30,30,42,4,False
