    Contributor ID,Contributor Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
alexsamardzic,845,30,14,9,3,5,0,False
etaf,4529,30,15,30,15,5,1,False
etaf,4529,30,15,30,15,5,1,False
Xia-Weiwen,3552,30,30,21,13,17,15,False
alexsamardzic,845,30,14,9,3,5,0,False
Isalia20,1735,30,28,6,21,7,14,False
Isalia20,1735,30,28,6,21,7,14,False
laithsakka,3454,30,2,30,14,24,10,False
chaos5958,3397,30,30,15,29,1,17,False
oraluben,4224,30,30,30,30,79,1,False
drisspg,2675,0,0,0,30,102,16,False
zeshengzong,1985,0,0,0,30,23,0,False
leslie-fang-intel,2012,0,0,0,17,19,4,False
henrylhtsang,1237,0,0,0,5,8,0,False
yanboliang,4594,0,0,0,15,234,54,False
yanboliang,4594,0,0,0,15,234,54,False
mikaylagawarecki,2586,0,0,0,13,16,5,False
pytorchupdatebot,632,0,0,0,1,2,0,False
anijain2305,3463,0,0,0,24,85,3,False
Raymo111,2602,0,0,0,30,324,1236,True
xmfan,3749,30,12,30,25,20,5,True
eqy,4546,30,30,30,30,85,29,False
eqy,4546,30,30,30,30,85,29,False
bdhirsh,3342,30,30,30,13,48,27,False
zou3519,4139,30,30,30,30,302,29,False
bdhirsh,3342,30,30,30,13,48,27,False
coufon,3607,30,30,11,10,13,1,False
zou3519,4139,30,30,30,30,302,29,False
YUNQIUGUO,2572,30,30,8,22,20,0,False
c00w,5196,30,30,30,30,54,159,False
