PR ID,Title,Description,State,Created At,Closed At,Merged At,Labels,Base Branch,Head Branch,Files Changed,Lines Added,Lines Deleted,Commits,Comments,Review Comments,Reviewers,Review States,Draft Status,Linked Issues
146764,Fix standalone runner for CUTLASS auto-tuning backend,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #146764
* #146755



cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @yf225 @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov",open,2025-02-08T17:23:45Z,,,"open source, topic: not user facing, module: inductor, ciflow/inductor",gh/alexsamardzic/26/base,gh/alexsamardzic/26/head,1,64,8,2,2,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146764
146763,[Break XPU] Align meta calculation for fft_r2c with _fft_r2c_mkl,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #146763
* #145248
* #146762

Fix #146761",open,2025-02-08T16:20:39Z,,,"open source, ciflow/trunk, topic: not user facing, ciflow/inductor, ciflow/xpu",gh/etaf/98/base,gh/etaf/98/head,1,3,1,1,1,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146763
146762,[Break XPU][Inductor UT] Fix XPU Inductor UT introduced from community.,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* #146763
* #145248
* __->__ #146762



cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @yf225 @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov",open,2025-02-08T16:20:35Z,,,"open source, topic: not user facing, module: inductor, ciflow/inductor",gh/etaf/97/base,gh/etaf/97/head,4,10,2,1,1,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146762
146756,[Inductor][CPU] Add GEMM tamplates for _weight_int4pack_mm_for_cpu with AVX512,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #146756
* #145250
* #145245

**Summary**
It's part of the task to enable max-autotune with GEMM template for WoQ INT4 GEMM on CPU. Early work: #133846

This PR adds GEMM templates for `torch.ops.aten_weight_int4pack_mm_for_cpu`. The micro kernel used for the templates is based on AVX512 and it's a copy of the ATen implementation of `torch.ops.aten_weight_int4pack_mm_for_cpu` with minor changes.

Due to better blocking and loop schedule, the GEMM template based implementation outperforms the ATen implementation in all cases we tested.

**Test plan**
```
python test/inductor/test_cpu_select_algorithm.py -k test_int4_woq_mm_avx512
```

cc @jgong5 @mingfeima @XiaobingSuper @sanchitintel @ashokei @jingxu10 @voznesenskym @penguinwu @EikanWang @Guobing-Chen @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @yf225 @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov",open,2025-02-08T13:51:09Z,,,"open source, ciflow/trunk, topic: not user facing, intel, module: inductor, ciflow/inductor",gh/Xia-Weiwen/30/base,gh/Xia-Weiwen/30/head,8,468,21,2,1,0,,,True,https://api.github.com/repos/pytorch/pytorch/issues/146756
146755,Fix CUTLASS 2.x kernels for auto-tuning,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* #146764
* __->__ #146755



cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @yf225 @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov",open,2025-02-08T12:01:14Z,,,"open source, topic: not user facing, module: inductor, ciflow/inductor",gh/alexsamardzic/25/base,gh/alexsamardzic/25/head,3,12,30,1,1,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146755
146754,[MPS] fix inverse bug for N>1024,"Fixes #138200 
",open,2025-02-08T10:24:29Z,,,"open source, release notes: mps",main,mps-inverse-bugfix,4,26,27,1,1,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146754
146753,[MPS] fix lu factor for large tensors with bs>1,"Try this:
```
import torch

batch_size = 2
A = torch.eye(256, device=""mps"")[None, :, :].expand(batch_size, -1, -1) + 0.1 * torch.randn((batch_size, 256, 256), device=""mps"")
A_cpu = A.cpu()
LU_cpu, pivots_cpu = torch.linalg.lu_factor(A_cpu)
LU, pivots = torch.linalg.lu_factor(A)
torch.testing.assert_close(LU.cpu(), LU_cpu)
```
You'll get huge difference in LU tensors
<img width=""706"" alt=""Screenshot 2025-02-08 at 12 14 39"" src=""https://github.com/user-attachments/assets/b45f2b3c-e0a5-49c8-aa07-42792150b781"" />
",open,2025-02-08T08:15:29Z,,,"open source, release notes: mps",main,lu-factor-fix-batches,2,7,5,1,1,0,Isalia20,COMMENTED,False,https://api.github.com/repos/pytorch/pytorch/issues/146753
146752,realize stride symbols in estimate_runtime,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #146752

Unfortuanlty could not create a local repo, or unit test.
fix https://github.com/pytorch/pytorch/issues/146686

",open,2025-02-08T07:30:03Z,,,"topic: not user facing, ciflow/inductor",gh/laithsakka/107/base,gh/laithsakka/107/head,1,2,1,1,1,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146752
146751,[MTIA] (4/n) Implement PyTorch APIs to query/reset device peak memory usage,"Summary: Public summary (shared with Github): This diff updates the unit test for the PyTorch API ""reset_peak_memory_stats"".

Test Plan:
```
buck2 test //mtia/host_runtime/torch_mtia/tests:test_torch_mtia_api -- -r test_reset_peak_memory_stats
```

https://www.internalfb.com/intern/testinfra/testrun/9007199321947161

Reviewed By: yuhc

Differential Revision: D68989900


",open,2025-02-08T07:16:36Z,,,fb-exported,main,export-D68989900,2,17,0,1,3,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146751
146750,Update instructions about faster linker,"This PR adds instructions to specify linker via cmake env `CMAKE_LINKER_TYPE` and also adds `mold` as a linker alternative.

Since 3.29, cmake introduced [`CMAKE_LINKER_TYPE`](https://cmake.org/cmake/help/latest/variable/CMAKE_LINKER_TYPE.html) that can specify linker without overwriting `ld` file or changing build script.

`mold` is already stable and **the fastest** (afaict) linker out there, and also easier to install compared with `lld`. So I added it here. After switching to `mold`, the time of linking `libtorch_cuda.so` has been reduced from ~7s to ~0.6s locally.

Also note `gold` has been marked deprecated recently[1].

[1] https://lwn.net/Articles/1007541/",open,2025-02-08T06:30:17Z,,,"open source, topic: not user facing",main,update-linker,1,6,8,2,1,0,,,False,https://api.github.com/repos/pytorch/pytorch/issues/146750
