Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
61186,closed,type alternatives in arguments become function alternatives and are then inferred to a never argument.,2661106650,Andarist,2025-02-15T21:13:24Z,"You might have wanted to use a non-distributive conditional type there:
```ts
function voidOrNot<T = void>(): { f: [T] extends [void] ? () => void : (arg: T) => void } {
  return null!;
}
```"
61186,closed,type alternatives in arguments become function alternatives and are then inferred to a never argument.,2661109901,sparecycles,2025-02-15T21:22:57Z,"@Andarist that solved my issue, thanks!

---

Thinking about this.... I left out that the oldest version of typescript (3.3.3) in the Playground changes `""A""|""B""` to `""A""&""B""`

<img width=""540"" alt=""Image"" src=""https://github.com/user-attachments/assets/86c3cdc0-9c28-45f8-a204-be65ee5125ec"" />

(which was also wrong).

---

If conditional types are meant to distribute, wouldn't transforming `(arg: ""A""|""B"") => void` to `((arg: ""A"") => void) & ((arg: ""B"") => void)` be the correct way to do it (with `&` instead of `|`)?

<img width=""460"" alt=""Image"" src=""https://github.com/user-attachments/assets/625d7c7f-510a-4172-8e89-fd4fc5e2a682"" />"
61186,closed,type alternatives in arguments become function alternatives and are then inferred to a never argument.,2661118291,sparecycles,2025-02-15T21:47:01Z,"Searched more, looks like this is a duplicate of, or related to
- https://github.com/microsoft/TypeScript/issues/30378 (fixed by the above suggestion?)
- https://github.com/Microsoft/TypeScript/issues/29535 (not fixed by the above suggestion)

"
61186,closed,type alternatives in arguments become function alternatives and are then inferred to a never argument.,2661365641,Andarist,2025-02-16T10:27:00Z,"> If conditional types are meant to distribute, wouldn't transforming (arg: ""A""|""B"") => void to ((arg: ""A"") => void) & ((arg: ""B"") => void) be the correct way to do it (with & instead of |)?

That might be what you want to get in certain situations but the compiler can't predict your intention. A union distributes into another union "
61186,closed,type alternatives in arguments become function alternatives and are then inferred to a never argument.,2661574451,sparecycles,2025-02-16T19:09:28Z,"I'm not convinced this is the best language decision, but thanks again for the tight workaround!
"
61130,closed,As package developers we need an ignore flag for typescript compiler.,2639343445,MartinJohns,2025-02-06T09:56:17Z,"> i would a directive like. that would avoid them from being added to the .d.ts files during compilation.

The [stripInternal](https://www.typescriptlang.org/tsconfig/#stripInternal) compiler option does exactly this."
61130,closed,As package developers we need an ignore flag for typescript compiler.,2639397297,FridayCandour,2025-02-06T10:18:24Z,Thanks this works for me.
61130,closed,As package developers we need an ignore flag for typescript compiler.,2639416891,MartinJohns,2025-02-06T10:25:21Z,"Be warned that the stripped properties won't be part of any compatibility check anymore, as they're *""truly""* gone:

```typescript
declare class Page {
	a: string;

	/** @internal */
	b: string;
}
```

results in this .d.ts file:

```typescript
declare class Page {
    a: string;
}
```

so the object `{ a: ""abc"" }` will be compatible with `Page`, despite the missing `b` property."
61130,closed,As package developers we need an ignore flag for typescript compiler.,2661279750,FridayCandour,2025-02-16T06:38:14Z,"
> declare class Page {
> 	a: string;
> 
> 	/** @internal */
> 	b: string;
> }
> results in this .d.ts file:
> 
> declare class Page {
>     a: string;
> }
> so the object `{ a: ""abc"" }` will be compatible with `Page`, despite the missing `b` property.


that's not a problem for what i am currently working on."
60812,closed,Write path normalization without array allocations,2552364476,andrewbranch,2024-12-18T22:10:32Z,@typescript-bot perf test this
60812,closed,Write path normalization without array allocations,2552364562,typescript-bot,2024-12-18T22:10:36Z,"Starting jobs; this comment will be updated as builds start and complete.

| Command | Status | Results |
| ------- | ------ | ------- |
| `perf test this` | [✅ Started](https://typescript.visualstudio.com/cf7ac146-d525-443c-b23c-0d58337efebc/_build/results?buildId=164428) | [👀 Results](https://github.com/microsoft/TypeScript/pull/60812#issuecomment-2552421140) |"
