Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
ahejlsberg,3859,https://github.com/ahejlsberg,User,False,4318,30,30,30,4,14443,355,False
sheetalkamat,2867,https://github.com/sheetalkamat,User,False,3882,30,30,30,8,673,16,False
DanielRosenwasser,2334,https://github.com/DanielRosenwasser,User,True,4938,30,30,30,30,2317,20,False
mhegazy,2308,https://github.com/mhegazy,User,False,3888,30,30,30,30,493,12,False
sandersn,2284,https://github.com/sandersn,User,True,5374,30,30,30,30,1076,261,False
rbuckton,1828,https://github.com/rbuckton,User,False,4353,30,30,30,30,771,158,False
weswigham,1662,https://github.com/weswigham,User,False,4461,30,30,30,30,437,8,False
vladima,1533,https://github.com/vladima,User,False,3882,30,30,30,30,101,0,False
CyrusNajmabadi,1304,https://github.com/CyrusNajmabadi,User,True,4281,30,30,30,30,311,9,False
csigs,1228,https://github.com/csigs,User,False,3470,30,30,25,6,53,3,False
RyanCavanaugh,952,https://github.com/RyanCavanaugh,User,True,4020,0,0,0,30,2230,140,False
a-tarasyuk,867,https://github.com/a-tarasyuk,User,False,5188,0,0,0,30,217,359,False
typescript-bot,817,https://github.com/typescript-bot,User,False,3037,0,0,0,5,184,31,False
JsonFreeman,674,https://github.com/JsonFreeman,User,False,3882,0,0,0,7,52,0,False
andrewbranch,642,https://github.com/andrewbranch,User,False,4415,0,0,0,30,528,456,False
jakebailey,556,https://github.com/jakebailey,User,False,4189,0,0,0,30,468,4,False
amcasey,500,https://github.com/amcasey,User,False,3687,0,0,0,30,201,1,False
zhengbli,467,https://github.com/zhengbli,User,False,4853,0,0,0,16,83,11,False
Andarist,353,https://github.com/Andarist,User,False,3744,30,30,30,30,2012,202,False
aozgaa,239,https://github.com/aozgaa,User,False,4421,30,30,30,27,35,4,False
saschanaz,220,https://github.com/saschanaz,User,False,4403,30,30,30,30,267,21,False
yuit,217,https://github.com/yuit,User,False,5202,30,30,30,23,42,1,False
Kingwl,203,https://github.com/Kingwl,User,False,4004,30,30,30,30,1469,8,False
ajafff,180,https://github.com/ajafff,User,False,3595,30,30,30,30,76,538,False
uniqueiniquity,152,https://github.com/uniqueiniquity,User,False,3784,30,30,30,28,46,30,False
armanio123,133,https://github.com/armanio123,User,False,3507,30,30,19,25,49,2,False
jramsay,126,https://github.com/jramsay,User,False,3870,30,30,30,13,15,0,False
billti,119,https://github.com/billti,User,False,4928,30,30,30,30,91,31,False
riknoll,109,https://github.com/riknoll,User,False,3477,0,0,0,30,70,20,False
tinganho,99,https://github.com/tinganho,User,False,4784,0,0,0,30,67,125,False
gabritto,98,https://github.com/gabritto,User,False,3192,0,0,0,9,151,8,False
elibarzilay,86,https://github.com/elibarzilay,User,False,5506,0,0,0,25,213,40,False
bigaru,76,https://github.com/bigaru,User,False,3523,0,0,0,18,7,4,False
danquirk,70,https://github.com/danquirk,User,False,3974,0,0,0,15,52,2,False
DickvdBrink,70,https://github.com/DickvdBrink,User,False,5038,0,0,0,30,52,86,False
Zzzen,52,https://github.com/Zzzen,User,False,4025,30,30,30,30,44,46,False
HerringtonDarkholme,48,https://github.com/HerringtonDarkholme,User,False,4466,30,30,30,30,1992,259,False
dragomirtitian,47,https://github.com/dragomirtitian,User,False,3867,30,30,30,30,153,23,False
jack-williams,45,https://github.com/jack-williams,User,False,4289,30,30,30,16,61,16,False
YuichiNukiyama,44,https://github.com/YuichiNukiyama,User,False,3753,30,30,28,26,28,59,False
orta,43,https://github.com/orta,User,False,5867,30,30,30,30,6079,47,False
dependabot[bot],41,https://github.com/apps/dependabot,Bot,False,2133,30,30,0,0,0,0,False
navya9singh,41,https://github.com/navya9singh,User,False,964,0,0,0,9,9,0,False
minestarks,40,https://github.com/minestarks,User,False,3308,0,0,0,30,75,7,False
chrisbubernak,38,https://github.com/chrisbubernak,User,False,4982,0,0,0,17,24,6,False
iisaduan,38,https://github.com/iisaduan,User,False,3146,0,0,0,7,5,2,False
ivogabe,34,https://github.com/ivogabe,User,False,4264,0,0,0,30,90,1119,False
JoshuaKGoldberg,34,https://github.com/JoshuaKGoldberg,User,False,4408,0,0,0,30,2676,47,False
Jack-Works,32,https://github.com/Jack-Works,User,False,4182,0,0,0,30,855,373,False
paulvanbrenk,28,https://github.com/paulvanbrenk,User,False,4198,0,0,0,30,35,5,False
vvakame,27,https://github.com/vvakame,User,False,5638,0,0,0,30,851,212,False
ShyykoSerhiy,27,https://github.com/ShyykoSerhiy,User,False,4882,0,0,0,30,70,163,False
falsandtru,25,https://github.com/falsandtru,User,False,4433,0,0,0,30,62,76,False
AbubakerB,23,https://github.com/AbubakerB,User,False,3988,0,0,0,4,24,0,False
mprobst,23,https://github.com/mprobst,User,False,6152,0,0,0,30,161,20,False
jablko,21,https://github.com/jablko,User,False,5774,0,0,0,30,48,27,False
basarat,21,https://github.com/basarat,User,False,4985,0,0,0,30,4031,364,False
ahmad-farid,20,https://github.com/ahmad-farid,User,False,3629,0,0,0,3,13,0,False
ShuiRuTian,20,https://github.com/ShuiRuTian,User,False,2831,0,0,0,30,19,18,False
rFlorian,20,https://github.com/rFlorian,User,False,453,0,0,0,0,1,0,False
