Contributor ID,Contributor Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
nafeger,5946,16,10,6,30,10,11,False
WillianAgostini,3054,30,30,15,30,26,28,False
ericdimon86,3033,8,0,0,13,1,0,False
ohadokk,3337,3,2,1,16,0,0,False
DigitalBrainJS,3556,30,30,8,26,110,89,False
JazzyGrim,2797,8,7,0,11,175,203,False
tharropoulos,1207,30,30,3,30,13,8,False
Nefari0uss,4034,12,11,30,18,19,21,False
raj-kumar-s-dev,138,0,0,0,2,0,0,False
wuzhengmao,4763,0,0,0,14,5,5,False
BboyAwey,3414,0,0,13,16,17,71,False
FOZERY,883,2,0,5,23,0,0,False
dwickern,5045,30,30,30,30,24,0,False
Aakash-Rana,1775,4,3,0,19,4,2,False
stevenks17,2952,30,11,0,30,0,0,False
stevenks17,2952,30,11,0,30,0,0,False
igstan,5867,30,26,24,30,203,87,False
BrijeshPatra,1208,5,0,0,30,1,1,False
tantofaznem,3990,8,4,2,30,16,6,False
anchor54,1052,8,7,8,13,1,0,False
MartKaal,2155,8,7,0,12,1,0,False
kartik1809,670,0,0,0,20,6,0,False
Adarsh7079,1322,0,0,0,30,11,15,False
ritik7739,1063,0,0,0,30,2,0,False
its-kunal,1226,0,0,0,30,21,2,False
marcvincenti,3261,0,0,0,16,43,126,False
jakeleventhal,3412,0,0,0,26,14,0,False
gmasclet,3734,0,0,0,9,4,58,False
feng138168,3235,0,0,0,23,0,0,False
Suall1969,3488,0,0,0,8,1,0,False
