Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
mzabriskie,314,https://github.com/mzabriskie,User,False,5488,22,17,30,30,1972,66,True
nickuraltsev,177,https://github.com/nickuraltsev,User,False,4061,30,30,12,27,268,184,False
DigitalBrainJS,159,https://github.com/DigitalBrainJS,User,False,3556,30,30,8,26,110,89,False
jasonsaayman,151,https://github.com/jasonsaayman,User,False,4254,30,30,14,0,207,0,True
github-actions[bot],53,https://github.com/apps/github-actions,Bot,False,2393,30,30,30,0,0,0,False
emilyemorehouse,31,https://github.com/emilyemorehouse,User,False,4314,30,30,30,30,762,112,True
dependabot[bot],28,https://github.com/apps/dependabot,Bot,False,2132,30,30,0,0,0,0,False
rubennorte,16,https://github.com/rubennorte,User,False,5658,0,0,0,30,425,106,True
JustinBeckwith,16,https://github.com/JustinBeckwith,User,False,5169,0,0,0,30,688,42,False
codeclown,14,https://github.com/codeclown,User,False,5469,0,0,0,30,69,157,False
chinesedfan,13,https://github.com/chinesedfan,User,False,4661,0,0,0,30,127,12,False
RikkiGibson,10,https://github.com/RikkiGibson,User,False,4125,0,0,0,30,95,15,False
remcohaszing,10,https://github.com/remcohaszing,User,False,5031,0,0,0,30,309,92,False
yasuf,7,https://github.com/yasuf,User,False,3980,0,0,0,30,26,0,False
carpben,7,https://github.com/carpben,User,False,3494,0,0,0,30,21,1,False
timemachine3030,6,https://github.com/timemachine3030,User,False,5325,0,0,0,30,45,7,False
idan,6,https://github.com/idan,User,True,6012,0,0,0,30,1081,147,False
jtangelder,5,https://github.com/jtangelder,User,False,4821,0,0,0,30,367,124,False
Gerhut,4,https://github.com/Gerhut,User,False,4516,0,0,0,30,173,189,False
bomsy,4,https://github.com/bomsy,User,False,5024,0,0,0,30,41,106,False
felipewmartins,4,https://github.com/felipewmartins,User,False,4207,0,0,0,30,28,3,False
Cadienvan,4,https://github.com/Cadienvan,User,False,4168,0,0,0,30,171,96,False
staticinstance,3,https://github.com/staticinstance,User,False,4267,0,0,0,30,11,16,False
arthurfiorette,3,https://github.com/arthurfiorette,User,False,2197,0,0,0,30,537,783,False
38elements,3,https://github.com/38elements,User,False,4530,0,0,0,30,30,15,False
ctimmerm,3,https://github.com/ctimmerm,User,False,5910,0,0,0,10,21,3486,False
Kosta-Github,3,https://github.com/Kosta-Github,User,False,4512,0,0,0,4,30,47,False
mbargiel,3,https://github.com/mbargiel,User,False,4689,0,0,0,14,1,0,False
WillianAgostini,3,https://github.com/WillianAgostini,User,False,3054,0,0,0,30,26,28,False
naveensrinivasan,2,https://github.com/naveensrinivasan,User,False,5530,30,30,30,30,170,0,False
penance316,2,https://github.com/penance316,User,False,3960,9,9,14,30,4,38,False
bttmly,2,https://github.com/bttmly,User,False,4398,30,30,30,30,162,21,False
nnarhinen,2,https://github.com/nnarhinen,User,False,5401,30,30,30,30,53,28,False
phloose,2,https://github.com/phloose,User,False,2530,0,0,0,18,2,23,False
Punit-wingify,2,https://github.com/Punit-wingify,User,False,2726,0,0,0,4,0,0,False
rijkvanzanten,2,https://github.com/rijkvanzanten,User,False,3782,0,0,0,30,830,25,False
amitsainii,2,https://github.com/amitsainii,User,False,1851,0,0,0,10,7,7,False
rogeriochaves,2,https://github.com/rogeriochaves,User,False,5024,0,0,0,30,342,87,False
shreem-123,2,https://github.com/shreem-123,User,False,1155,0,0,0,30,20,0,False
cprayer,2,https://github.com/cprayer,User,False,2978,0,0,0,20,31,3,False
reggi,2,https://github.com/reggi,User,True,5371,0,0,0,30,265,16,False
tomaash,2,https://github.com/tomaash,User,False,6042,0,0,0,30,99,26,False
techbirds,2,https://github.com/techbirds,User,False,4401,0,0,0,30,41,14,False
jcready,2,https://github.com/jcready,User,False,5305,0,0,0,30,27,4,False
arpit2438735,2,https://github.com/arpit2438735,User,False,5269,0,0,0,30,11,22,False
ruchigoyal2005,2,https://github.com/ruchigoyal2005,User,False,4356,2,2,7,6,0,0,False
zh-lx,2,https://github.com/zh-lx,User,False,1582,30,30,30,26,365,6642,False
grumblerchester,2,https://github.com/grumblerchester,User,False,368,0,0,0,0,0,0,False
torarnek,2,https://github.com/torarnek,User,False,5385,15,8,30,27,15,4,False
ajcrites,2,https://github.com/ajcrites,User,False,4790,30,30,30,30,86,9,False
ascott18,2,https://github.com/ascott18,User,False,4233,30,30,30,30,30,3,False
anthwinter,2,https://github.com/anthwinter,User,False,4295,10,8,15,12,6,3,False
anthonygauthier,2,https://github.com/anthonygauthier,User,False,4016,30,30,25,30,64,322,False
avindra,2,https://github.com/avindra,User,False,5634,30,30,30,30,161,74,False
BlackHole1,2,https://github.com/BlackHole1,User,False,3866,30,30,30,30,821,145,False
caugner,2,https://github.com/caugner,User,False,5198,0,0,0,30,75,2,False
dandv,2,https://github.com/dandv,User,False,5942,0,0,0,30,671,1,False
djs113,2,https://github.com/djs113,User,False,1402,0,0,0,15,10,0,False
davidfou,2,https://github.com/davidfou,User,False,4540,0,0,0,30,16,41,False
lpizzinidev,2,https://github.com/lpizzinidev,User,False,3416,0,0,0,30,21,23,False
koh110,2,https://github.com/koh110,User,False,4619,0,0,0,30,36,27,False
Khaledgarbaya,2,https://github.com/Khaledgarbaya,User,False,4861,0,0,0,30,279,17,False
joaoGabriel55,2,https://github.com/joaoGabriel55,User,False,3032,0,0,0,30,67,6,False
josh-egan,2,https://github.com/josh-egan,User,False,4043,0,0,0,30,5,7,False
Jarlotee,2,https://github.com/Jarlotee,User,False,3747,0,0,30,13,7,7,False
Baoyx007,2,https://github.com/Baoyx007,User,False,4813,30,23,30,30,56,22,False
lachenmayer,2,https://github.com/lachenmayer,User,False,5916,30,30,30,30,118,79,False
