PR ID,Title,Description,State,Created At,Closed At,Merged At,Labels,Base Branch,Head Branch,Files Changed,Lines Added,Lines Deleted,Commits,Comments,Review Comments,Reviewers,Review States,Draft Status,Linked Issues
6787,docs: Modify upgrade guide for 0.28.1's breaking change,"v0.28.1 introduced a breaking change to how custom serializers are passed to the axios object. This updates the upgrade doc to reflect this change.

I am new to this repository, so hopefully this helps. I spent a good part of day trying to track down this breaking change, and there are a number of existing issues and posts about a similar finding. Hopefully adding this to the upgrade guide will be useful. 
I'm more than happy to change the text or do some other fix. Hope this helps.
",open,2025-02-17T00:54:51Z,,,,v0.x,nf/update-docs,1,21,0,1,0,0,,,False,https://api.github.com/repos/axios/axios/issues/6787
6783,D,"<!-- Click ""Preview"" for a more readable version -->

#### Instructions

Please read and follow the instructions before creating and submitting a pull request:

- Create an issue explaining the feature. It could save you some effort in case we don't consider it should be included in axios.
- If you're fixing a bug, try to commit the failing test/s and the code fixing it in different commits.
- Ensure you're following our [contributing guide](https://github.com/axios/axios/blob/master/CONTRIBUTING.md).

**⚠️👆 Delete the instructions before submitting the pull request 👆⚠️**

Describe your pull request here.
",closed,2025-02-11T11:21:51Z,2025-02-11T11:22:11Z,,,v1.x,v1.x,2,0,0,2,0,0,,,False,https://api.github.com/repos/axios/axios/issues/6783
6782,Include custom response headers,"Fixes #6734 

### Example Usage

```js
import axios, { AxiosResponse } from ""axios"";

type ResponseBody = {...}

type ResponseHeaders = {
  'x-header': string;
}

const response = await axios.get<ResponseBody, AxiosResponse<ResponseBody, any, ResponseHeaders>>(""https://jsonplaceholder.typicode.com/todos/1"");
console.log(response.headers['x-header']);
```",open,2025-02-11T03:34:29Z,,,,v1.x,feat/6734,4,107,4,1,0,0,,,False,https://api.github.com/repos/axios/axios/issues/6782
6781,feat: add disableDefaultUserAgent Option,"issue: #6780

I simply implemented the option I wanted.

How about adding an option like this?
```javascript
async function main() {
  const response = await axios.get('http://localhost:3333', {disableDefaultUserAgent:true})
  console.log(response)
}
main()
```",closed,2025-02-10T16:17:41Z,2025-02-11T16:13:27Z,,,v1.x,feat/#1,3,7,2,1,0,0,,,False,https://api.github.com/repos/axios/axios/issues/6781
6777,Include License Header in Minified JavaScript File,Fixes issue #6751 by ensuring that the license header is included in the minified JavaScript file.,closed,2025-02-06T23:41:41Z,2025-02-09T09:15:25Z,2025-02-09T09:15:25Z,"priority::medium, code::misc",v1.x,fix/6751,1,1,1,1,1,0,jasonsaayman,APPROVED,False,https://api.github.com/repos/axios/axios/issues/6777
6775,Axios,"<!-- Click ""Preview"" for a more readable version -->

#### Instructions

Please read and follow the instructions before creating and submitting a pull request:

- Create an issue explaining the feature. It could save you some effort in case we don't consider it should be included in axios.
- If you're fixing a bug, try to commit the failing test/s and the code fixing it in different commits.
- Ensure you're following our [contributing guide](https://github.com/axios/axios/blob/master/CONTRIBUTING.md).

**⚠️👆 Delete the instructions before submitting the pull request 👆⚠️**

Describe your pull request here.
",closed,2025-02-04T19:07:48Z,2025-02-09T09:16:34Z,,,v1.x,codespace-fluffy-fishstick-wvvg4jw4796c9r4q,4,4,4,1,1,0,,,False,https://api.github.com/repos/axios/axios/issues/6775
6774,Codespace vigilant capybara vppq57x5v6ghx5vg,"<!-- Click ""Preview"" for a more readable version -->

#### Instructions

Please read and follow the instructions before creating and submitting a pull request:

- Create an issue explaining the feature. It could save you some effort in case we don't consider it should be included in axios.
- If you're fixing a bug, try to commit the failing test/s and the code fixing it in different commits.
- Ensure you're following our [contributing guide](https://github.com/axios/axios/blob/master/CONTRIBUTING.md).

**⚠️👆 Delete the instructions before submitting the pull request 👆⚠️**

Describe your pull request here.
",closed,2025-02-04T17:42:34Z,2025-02-09T09:16:53Z,,,v1.x,codespace-vigilant-capybara-vppq57x5v6ghx5vg,5,10,10,2,0,1,ericdimon86,COMMENTED,False,https://api.github.com/repos/axios/axios/issues/6774
6773,Main,"/<
/
#### Instructions

Please read and follow the instru
/
/ctions before creating and submitting a pull request:

- Create an issue explaining the feature. It could save you some effort in case we don't consider it should be included in axios.
- If you're fixing a bug, try to commit the failing test/s and the code fixing it in different commits.
- Ensure you're following our [contributing guide](https://github.com/axios/axios/blob/master/CONTRIBUTING.md).

**⚠️👆 Delete the instructions before submitting the pull request 👆⚠️**

Describe your pull request here.
",open,2025-02-04T17:13:52Z,,,,v1.x,main,17,582,493,8,0,0,,,False,https://api.github.com/repos/axios/axios/issues/6773
6772,Codespace psychic disco jrrqgwx96672q5gq,"<!-- Click ""Preview"" for a more readable version -->

#### Instructions

Please read and follow the instructions before creating and submitting a pull request:

- Create an issue explaining the feature. It could save you some effort in case we don't consider it should be included in axios.
- If you're fixing a bug, try to commit the failing test/s and the code fixing it in different commits.
- Ensure you're following our [contributing guide](https://github.com/axios/axios/blob/master/CONTRIBUTING.md).

**⚠️👆 Delete the instructions before submitting the pull request 👆⚠️**

Describe your pull request here.
",closed,2025-02-04T14:45:04Z,2025-02-09T09:17:14Z,,,v1.x,codespace-psychic-disco-jrrqgwx96672q5gq,4,4,4,2,0,1,ericdimon86,COMMENTED,False,https://api.github.com/repos/axios/axios/issues/6772
6771,fix: typo in README,This PR fixes an unnecessary apostrophe in the README.,closed,2025-01-28T20:44:22Z,2025-01-31T17:10:21Z,2025-01-31T17:10:21Z,"priority::low, code::docs",v1.x,v1.x,1,1,1,2,0,1,jasonsaayman,APPROVED,False,https://api.github.com/repos/axios/axios/issues/6771
