login,contributions,url,type,site_admin,account_age_(days),total_prs_submitted,total_prs_merged,total_issues_opened,total_repositories_contributed_to,followers,stars_received,is_member_of_organization,source_project,approval_rate,contributor_seniority
gkalpak,1928,https://github.com/gkalpak,User,False,3822.0,30.0,30.0,30,30,839,45,False,Angular,1.0,10.47
petebacondarwin,1771,https://github.com/petebacondarwin,User,False,6074.0,30.0,30.0,30,30,1534,223,False,Angular,1.0,16.64
devversion,1396,https://github.com/devversion,User,False,4238.0,30.0,30.0,30,30,663,18,False,Angular,1.0,11.61
alxhub,1017,https://github.com/alxhub,User,False,4324.0,30.0,30.0,30,30,1148,116,False,Angular,1.0,11.85
crisbeto,992,https://github.com/crisbeto,User,False,4294.0,30.0,30.0,30,30,704,779,False,Angular,1.0,11.76
atscott,972,https://github.com/atscott,User,False,5209.0,30.0,30.0,30,30,197,0,False,Angular,1.0,14.27
IgorMinar,964,https://github.com/IgorMinar,User,False,5462.0,30.0,30.0,30,30,3288,79,False,Angular,1.0,14.96
vsavkin,952,https://github.com/vsavkin,User,False,5930.0,30.0,30.0,30,30,2496,377,False,Angular,1.0,16.25
vicb,916,https://github.com/vicb,User,False,5415.0,30.0,30.0,30,30,708,141,False,Angular,1.0,14.84
AndrewKushnir,899,https://github.com/AndrewKushnir,User,False,2337.0,30.0,30.0,30,15,325,7,False,Angular,1.0,6.4
josephperrott,859,https://github.com/josephperrott,User,False,3664.0,0.0,0.0,0,30,256,1,False,Angular,0.0,10.04
pkozlowski-opensource,809,https://github.com/pkozlowski-opensource,User,False,4938.0,0.0,0.0,0,30,1120,231,False,Angular,0.0,13.53
tbosch,789,https://github.com/tbosch,User,False,5077.0,0.0,0.0,0,30,589,451,False,Angular,0.0,13.91
mhevery,752,https://github.com/mhevery,User,False,5675.0,0.0,0.0,0,30,6169,537,False,Angular,0.0,15.55
alan-agius4,736,https://github.com/alan-agius4,User,False,3274.0,0.0,0.0,0,30,587,7,False,Angular,0.0,8.97
JeanMeche,632,https://github.com/JeanMeche,User,False,4793.0,0.0,0.0,30,30,327,60,False,Angular,0.0,13.13
angular-robot,598,https://github.com/angular-robot,User,False,1264.0,30.0,30.0,8,8,38,20,False,Angular,1.0,3.46
alexeagle,562,https://github.com/alexeagle,User,False,5874.0,30.0,30.0,30,30,925,33,False,Angular,1.0,16.09
kara,536,https://github.com/kara,User,False,4356.0,30.0,30.0,30,30,1983,130,False,Angular,1.0,11.93
renovate-bot,535,https://github.com/renovate-bot,User,False,2952.0,30.0,30.0,30,30,1831,6,False,Angular,1.0,8.09
matsko,480,https://github.com/matsko,User,False,5732.0,30.0,30.0,30,30,1582,528,False,Angular,1.0,15.7
JoostK,435,https://github.com/JoostK,User,False,5643.0,30.0,30.0,30,30,191,5,False,Angular,1.0,15.46
mgechev,353,https://github.com/mgechev,User,False,5227.0,30.0,30.0,30,30,10003,4639,False,Angular,1.0,14.32
dylhunn,338,https://github.com/dylhunn,User,False,3973.0,30.0,30.0,13,24,166,95,False,Angular,1.0,10.88
chuckjaz,336,https://github.com/chuckjaz,User,False,5293.0,30.0,30.0,30,30,292,10,False,Angular,1.0,14.5
marclaval,310,https://github.com/marclaval,User,False,4542.0,30.0,30.0,0,30,186,246,False,Angular,1.0,12.44
AleksanderBodurri,310,https://github.com/AleksanderBodurri,User,False,2470.0,0.0,0.0,0,30,103,6,False,Angular,0.0,6.77
gregmagolan,301,https://github.com/gregmagolan,User,False,5179.0,0.0,0.0,0,30,98,24,False,Angular,0.0,14.19
thePunderWoman,295,https://github.com/thePunderWoman,User,False,4704.0,0.0,0.0,0,20,226,25,False,Angular,0.0,12.89
ocombe,192,https://github.com/ocombe,User,False,5401.0,0.0,0.0,0,30,719,33,False,Angular,0.0,14.8
