Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
8147,closed,Wireframe to code must be upgraded to newer gpt model (gpt-4-vision-preview depricated),2175653877,maekoos,2024-06-18T09:35:56Z,"From what I quickly read on the [openAI Vision API website](https://platform.openai.com/docs/guides/vision) the api seems compatible with what is currently implemented: 
https://github.com/excalidraw/excalidraw/blob/4dc4590f247a0a0d9c3f5d39fe09c00c5cef87bf/packages/excalidraw/data/magic.ts#L50-L104

Seems like all that is needed is to change the model to `""gpt-4o""`?"
8147,closed,Wireframe to code must be upgraded to newer gpt model (gpt-4-vision-preview depricated),2175694439,maekoos,2024-06-18T09:56:14Z,"I got it working by only changing the model to ""gpt-4o"".

However, I found another issue in the process. Wireframes *inside* a frame will just generate a generic website:
![image](https://github.com/excalidraw/excalidraw/assets/73549739/f7416889-075e-4a27-ba7e-5d3a4ad47812)

A totally unrelated issue but also kind of awkward... :/"
8147,closed,Wireframe to code must be upgraded to newer gpt model (gpt-4-vision-preview depricated),2175964908,dwelle,2024-06-18T12:19:21Z,"We're actually in the process of moving away from bring-your-own-token workflow as it was too complicated and introduced it early only due to extremely low API limits on OpenAI's part. Further, it's limiting us to only use a specific service if we wanted to do something more dynamic.

We'll be updating this soon."
8147,closed,Wireframe to code must be upgraded to newer gpt model (gpt-4-vision-preview depricated),2198907425,yunuuuk1,2024-07-01T01:52:28Z,"![excalidraw_ai_setting](https://github.com/excalidraw/excalidraw/assets/140899918/4c68848e-e62e-4339-bed5-788922e70a7a)
![P0001](https://github.com/excalidraw/excalidraw/assets/140899918/9938e272-be6a-4e8f-b66e-437d6b2ebc84)


I'm using the wireframe to code feature in Excalidraw, but I'm getting this error message:
Error!
The model gpt-4-vision-preview has been deprecated, learn more here: https://platform.openai.com/docs/deprecations
I also tried changing the default vision model to gpt-4o, but I'm still getting the same error. Can help me with this issue?""

"
8147,closed,Wireframe to code must be upgraded to newer gpt model (gpt-4-vision-preview depricated),2199647734,maekoos,2024-07-01T09:18:00Z,"As @dwelle said, they will be updating this soon.

If you need it right away and have a ChatGPT 4o token (you need to pay $5 on platform.openai.com I think) then you could try this version (the one generated from my pull request):

https://excalidraw-git-fork-maekoos-fix-8147-excalidraw.vercel.app/"
8147,closed,Wireframe to code must be upgraded to newer gpt model (gpt-4-vision-preview depricated),2664124572,dwelle,2025-02-17T21:46:55Z,fixed via https://github.com/excalidraw/excalidraw/pull/8269
8148,closed,"fix: Upgraded from deprecated  ""gpt-4-vision-preview"" to ""gpt-4o"" in ""wirframe to code""-tool",2175722738,vercel[bot],2024-06-18T10:10:26Z,"[vc]: #ri+X4j9IkPWFJXuUlCiAE6MjLJSV+RhgtcYjUojVyYk=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJleGNhbGlkcmF3Iiwicm9vdERpcmVjdG9yeSI6bnVsbCwiaW5zcGVjdG9yVXJsIjoiaHR0cHM6Ly92ZXJjZWwuY29tL2V4Y2FsaWRyYXcvZXhjYWxpZHJhdy83RUQzZFFCZzUzSktnWnZkRkJTQ21SekV4aE4zIiwicHJldmlld1VybCI6ImV4Y2FsaWRyYXctZ2l0LWZvcmstbWFla29vcy1maXgtODE0Ny1leGNhbGlkcmF3LnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiREVQTE9ZRUQifSx7Im5hbWUiOiJleGNhbGlkcmF3LXBhY2thZ2UtZXhhbXBsZSIsInJvb3REaXJlY3RvcnkiOiJleGFtcGxlcy9leGNhbGlkcmF3L3dpdGgtc2NyaXB0LWluLWJyb3dzZXIiLCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vZXhjYWxpZHJhdy9leGNhbGlkcmF3LXBhY2thZ2UtZXhhbXBsZS85d1NUNWNLeDVmVUhwU0RyS0pMVzh0aHZER01yIiwicHJldmlld1VybCI6ImV4Y2FsaWRyYXctcGFja2FnZS1leGFtcGxlLWdpdC1mb3JrLW1hZWtvb3MtZml4LTgxNDctZXhjYWxpZHJhdy52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IkRFUExPWUVEIn0seyJuYW1lIjoiZG9jcyIsInJvb3REaXJlY3RvcnkiOiJkZXYtZG9jcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9leGNhbGlkcmF3L2RvY3MvSHlrWk1Nb0pzYWNmN2Qyb1Q3N1hZa0F1dXo4NiIsInByZXZpZXdVcmwiOiJkb2NzLWdpdC1mb3JrLW1hZWtvb3MtZml4LTgxNDctZXhjYWxpZHJhdy52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IklHTk9SRUQifSx7Im5hbWUiOiJleGNhbGlkcmF3LXBhY2thZ2UtZXhhbXBsZS13aXRoLW5leHRqcyIsInJvb3REaXJlY3RvcnkiOiJleGFtcGxlcy9leGNhbGlkcmF3L3dpdGgtbmV4dGpzIiwiaW5zcGVjdG9yVXJsIjoiaHR0cHM6Ly92ZXJjZWwuY29tL2V4Y2FsaWRyYXcvZXhjYWxpZHJhdy1wYWNrYWdlLWV4YW1wbGUtd2l0aC1uZXh0anMvRndySGVrWTVFcGNDbkZoekx3R2ZxNFRuZnFYZiIsInByZXZpZXdVcmwiOiJleGNhbGlkcmF3LXBhY2thZ2UtZXhhbXBsZS13aXRoLW5leHRqcy1naXQtZm8tYjhiNmJjLWV4Y2FsaWRyYXcudmVyY2VsLmFwcCIsIm5leHRDb21taXRTdGF0dXMiOiJERVBMT1lFRCJ9XX0=
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Updated (UTC) |
| :--- | :----- | :------ | :------ |
| **excalidraw** | ✅ Ready ([Inspect](https://vercel.com/excalidraw/excalidraw/7ED3dQBg53JKgZvdFBSCmRzExhN3)) | [Visit Preview](https://excalidraw-git-fork-maekoos-fix-8147-excalidraw.vercel.app) | Jun 18, 2024 10:12am |
| **excalidraw-package-example** | ✅ Ready ([Inspect](https://vercel.com/excalidraw/excalidraw-package-example/9wST5cKx5fUHpSDrKJLW8thvDGMr)) | [Visit Preview](https://excalidraw-package-example-git-fork-maekoos-fix-8147-excalidraw.vercel.app) | Jun 18, 2024 10:12am |
| **excalidraw-package-example-with-nextjs** | ✅ Ready ([Inspect](https://vercel.com/excalidraw/excalidraw-package-example-with-nextjs/FwrHekY5EpcCnFhzLwGfq4TnfqXf)) | [Visit Preview](https://excalidraw-package-example-with-nextjs-git-fo-b8b6bc-excalidraw.vercel.app) | Jun 18, 2024 10:12am |

<details><summary>1 Ignored Deployment</summary>

| Name | Status | Preview | Updated (UTC) |
| :--- | :----- | :------ | :------ |
| **docs** | ⬜️ Ignored ([Inspect](https://vercel.com/excalidraw/docs/HykZMMoJsacf7d2oT77XYkAuuz86)) | [Visit Preview](https://docs-git-fork-maekoos-fix-8147-excalidraw.vercel.app) | Jun 18, 2024 10:12am |
</details>




"
8148,closed,"fix: Upgraded from deprecated  ""gpt-4-vision-preview"" to ""gpt-4o"" in ""wirframe to code""-tool",2664124088,dwelle,2025-02-17T21:46:31Z,via https://github.com/excalidraw/excalidraw/pull/8269
8279,closed,perf: update openai model name,2246915199,vercel[bot],2024-07-24T05:14:25Z,"[vc]: #sYX8k0tTlT5w9b0Q4bks6jcsMLYH2l6xJuQ+CWfy3eE=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJleGNhbGlkcmF3LXBhY2thZ2UtZXhhbXBsZSIsInJvb3REaXJlY3RvcnkiOiJleGFtcGxlcy9leGNhbGlkcmF3L3dpdGgtc2NyaXB0LWluLWJyb3dzZXIiLCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vZXhjYWxpZHJhdy9leGNhbGlkcmF3LXBhY2thZ2UtZXhhbXBsZS81eEpBbmtLaVhiaHg4N0xVYjg4RHpZYWhtUGk0IiwicHJldmlld1VybCI6ImV4Y2FsaWRyYXctcGFja2FnZS1leGFtcGxlLWdpdC1mb3JrLWdyZXljb2RlZS0wNWM0YjctZXhjYWxpZHJhdy52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IkRFUExPWUVEIn0seyJuYW1lIjoiZXhjYWxpZHJhdyIsInJvb3REaXJlY3RvcnkiOm51bGwsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9leGNhbGlkcmF3L2V4Y2FsaWRyYXcvRTVqRm43eGFnSHVtQXFtOW1SMnU1UW9SbXZWeiIsInByZXZpZXdVcmwiOiJleGNhbGlkcmF3LWdpdC1mb3JrLWdyZXljb2RlZS11cGRhdGUtb3BlbmFpLW1vZGVscy1leGNhbGlkcmF3LnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiREVQTE9ZRUQifSx7Im5hbWUiOiJkb2NzIiwicm9vdERpcmVjdG9yeSI6ImRldi1kb2NzIiwiaW5zcGVjdG9yVXJsIjoiaHR0cHM6Ly92ZXJjZWwuY29tL2V4Y2FsaWRyYXcvZG9jcy82NGVZdWllTkhUYXVzR0tybkI5ZGR2dmdZOVB3IiwicHJldmlld1VybCI6ImRvY3MtZ2l0LWZvcmstZ3JleWNvZGVlLXVwZGF0ZS1vcGVuYWktbW9kZWxzLWV4Y2FsaWRyYXcudmVyY2VsLmFwcCIsIm5leHRDb21taXRTdGF0dXMiOiJJR05PUkVEIn0seyJuYW1lIjoiZXhjYWxpZHJhdy1wYWNrYWdlLWV4YW1wbGUtd2l0aC1uZXh0anMiLCJyb290RGlyZWN0b3J5IjoiZXhhbXBsZXMvZXhjYWxpZHJhdy93aXRoLW5leHRqcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9leGNhbGlkcmF3L2V4Y2FsaWRyYXctcGFja2FnZS1leGFtcGxlLXdpdGgtbmV4dGpzL0V0VHRQbTZ3VlVmUzF2UHFHalkybllHRm9rbngiLCJwcmV2aWV3VXJsIjoiZXhjYWxpZHJhdy1wYWNrYWdlLWV4YW1wbGUtd2l0aC1uZXh0anMtZ2l0LWZvLTg3MDJjZi1leGNhbGlkcmF3LnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiREVQTE9ZRUQifV19
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Updated (UTC) |
| :--- | :----- | :------ | :------ |
| **excalidraw** | ✅ Ready ([Inspect](https://vercel.com/excalidraw/excalidraw/E5jFn7xagHumAqm9mR2u5QoRmvVz)) | [Visit Preview](https://excalidraw-git-fork-greycodee-update-openai-models-excalidraw.vercel.app) | Jul 24, 2024 5:16am |
| **excalidraw-package-example** | ✅ Ready ([Inspect](https://vercel.com/excalidraw/excalidraw-package-example/5xJAnkKiXbhx87LUb88DzYahmPi4)) | [Visit Preview](https://excalidraw-package-example-git-fork-greycodee-05c4b7-excalidraw.vercel.app) | Jul 24, 2024 5:16am |
| **excalidraw-package-example-with-nextjs** | ✅ Ready ([Inspect](https://vercel.com/excalidraw/excalidraw-package-example-with-nextjs/EtTtPm6wVUfS1vPqGjY2nYGFoknx)) | [Visit Preview](https://excalidraw-package-example-with-nextjs-git-fo-8702cf-excalidraw.vercel.app) | Jul 24, 2024 5:16am |

<details><summary>1 Skipped Deployment</summary>

| Name | Status | Preview | Updated (UTC) |
| :--- | :----- | :------ | :------ |
| **docs** | ⬜️ Ignored ([Inspect](https://vercel.com/excalidraw/docs/64eYuieNHTausGKrnB9ddvvgY9Pw)) | [Visit Preview](https://docs-git-fork-greycodee-update-openai-models-excalidraw.vercel.app) | Jul 24, 2024 5:16am |
</details>




"
8279,closed,perf: update openai model name,2246930431,greycodee,2024-07-24T05:27:08Z,"I have tested that the new model works fine, please review my code when you have time, thanks! @ad1992 @dwelle "
