Contributor ID,Contributor Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
hieunguyent12,1511,14,11,30,30,2,0,False
bendemonium,1491,1,0,2,30,8,1,False
dependabot[bot],2133,30,30,0,0,0,0,False
Mrazator,3143,0,0,0,20,26,1,True
MohakGupta2004,1786,0,0,0,30,3,1,False
dependabot[bot],2133,0,0,0,0,0,0,False
sha-linimoorthy,951,0,0,0,30,3,12,False
ShivanshKumar760,1023,0,0,0,30,8,11,False
sha-linimoorthy,951,0,0,0,30,3,12,False
aakarsh-2004,1115,0,0,0,30,22,1,False
WadieBishoy25,2138,0,0,0,16,20,2,False
zsviczian,3439,0,0,0,30,667,5572,False
dependabot[bot],2133,0,0,0,0,0,0,False
dependabot[bot],2133,0,0,0,0,0,0,False
mlsbez,3182,0,0,0,9,2,0,False
connor-pph,2531,0,0,0,2,3,0,False
fveas,2801,0,0,0,10,24,0,False
mtolmacs,3427,0,0,0,23,10,35,False
zsviczian,3439,0,0,0,30,667,5572,False
dependabot[bot],2133,0,0,0,0,0,0,False
vidit-od,1402,0,0,0,14,5,7,False
tomaszduda23,2603,0,0,0,30,3,6,False
farapholch,2068,0,0,0,22,1,7,False
ColemanDunn,2369,0,0,0,2,5,0,False
dwelle,4216,0,0,0,30,321,5,True
dependabot[bot],2133,0,0,0,0,0,0,False
MrPluto0,2002,0,0,0,24,10,10,False
DevKrieger,2802,0,0,11,3,8,0,False
abhitrueprogrammer,1705,30,30,23,30,9,0,False
Vatsalsoni13,2027,30,30,3,29,28,4,False
