Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
dwelle,724,https://github.com/dwelle,User,False,4216,30,30,30,30,321,5,True
dependabot[bot],605,https://github.com/apps/dependabot,Bot,False,2133,30,30,0,0,0,0,False
ad1992,500,https://github.com/ad1992,User,False,3641,0,0,0,30,1235,247,True
lipis,284,https://github.com/lipis,User,False,5638,0,0,0,30,1571,5047,True
dependabot-preview[bot],232,https://github.com/apps/dependabot-preview,Bot,False,2859,0,0,0,0,0,0,False
vjeux,141,https://github.com/vjeux,User,False,5491,0,0,0,30,4186,46,False
zsviczian,65,https://github.com/zsviczian,User,False,3439,0,0,0,30,667,5572,False
excalibot,62,https://github.com/excalibot,User,False,1487,0,0,0,0,20,0,True
tomayac,51,https://github.com/tomayac,User,False,5591,0,0,0,30,1651,51,True
giovannigiordano,47,https://github.com/giovannigiordano,User,False,3412,0,0,0,26,18,2,False
Fausto95,46,https://github.com/Fausto95,User,False,3024,0,0,0,30,110,141,True
ryan-di,45,https://github.com/ryan-di,User,False,2206,0,0,0,6,23,0,True
nanot1m,35,https://github.com/nanot1m,User,False,3776,0,0,0,30,59,15,False
mtolmacs,34,https://github.com/mtolmacs,User,False,3427,0,0,0,23,10,35,False
Mrazator,32,https://github.com/Mrazator,User,False,3143,0,0,0,20,26,1,True
j-f1,32,https://github.com/j-f1,User,False,2936,0,0,0,30,431,66,True
dai-shi,29,https://github.com/dai-shi,User,False,5202,0,0,0,30,7315,2573,True
petehunt,28,https://github.com/petehunt,User,False,5428,0,0,0,30,6032,183,False
GasimGasimzada,27,https://github.com/GasimGasimzada,User,False,5018,0,0,0,4,51,1,False
kbariotis,26,https://github.com/kbariotis,User,False,5123,0,0,0,30,245,216,False
h7y,24,https://github.com/h7y,User,False,3069,0,0,0,9,42,7,True
maielo,14,https://github.com/maielo,User,False,3792,0,0,0,7,10,18,False
DanielJGeiger,13,https://github.com/DanielJGeiger,User,False,4630,0,0,0,1,5,0,False
voluntadpear,12,https://github.com/voluntadpear,User,False,3688,0,0,0,30,45,29,False
xixixao,11,https://github.com/xixixao,User,False,4740,0,0,0,30,153,24,False
pshihn,11,https://github.com/pshihn,User,False,5004,30,30,30,30,644,380,False
yongdamsh,11,https://github.com/yongdamsh,User,False,4330,30,30,10,11,27,0,False
lusingander,11,https://github.com/lusingander,User,False,2731,30,30,26,30,58,310,False
pomdtr,10,https://github.com/pomdtr,User,False,3274,30,30,30,30,105,45,False
arnostpleskot,10,https://github.com/arnostpleskot,User,False,3978,29,19,4,29,12,5,False
barnabasmolnar,10,https://github.com/barnabasmolnar,User,False,2507,24,22,29,29,17,4,False
steveruizok,10,https://github.com/steveruizok,User,False,3036,30,30,30,30,3099,111,False
KentBeck,10,https://github.com/KentBeck,User,False,5879,12,0,0,23,2784,370,False
muzakparov,9,https://github.com/muzakparov,User,False,2876,0,0,0,30,366,6,False
lissitz,9,https://github.com/lissitz,User,False,2033,0,0,0,9,4,6,False
bradymadden97,9,https://github.com/bradymadden97,User,False,3306,0,0,0,30,11,68,False
alex-kim-dev,8,https://github.com/alex-kim-dev,User,False,2268,0,0,0,30,7,9,False
Jnforja,8,https://github.com/Jnforja,User,False,3987,0,0,0,14,22,3,False
paulomenezes,8,https://github.com/paulomenezes,User,False,3684,0,0,0,30,57,10,False
idlewinn,7,https://github.com/idlewinn,User,False,2959,0,0,0,2,6,0,False
ReneCode,7,https://github.com/ReneCode,User,False,4705,0,0,0,30,7,1,False
are,7,https://github.com/are,User,False,4362,0,0,0,30,14,8,False
warrenseine,6,https://github.com/warrenseine,User,False,5164,30,30,30,30,60,46,False
jsjoeio,5,https://github.com/jsjoeio,User,False,4364,30,30,30,30,1030,64,False
gmertk,5,https://github.com/gmertk,User,False,4970,30,25,30,30,163,2797,False
jquintozamora,5,https://github.com/jquintozamora,User,False,3561,30,30,30,27,164,278,False
adarkforce,4,https://github.com/adarkforce,User,False,2111,12,9,5,25,10,60,False
Kartik1397,4,https://github.com/Kartik1397,User,False,3005,30,30,9,30,31,15,False
NMinhNguyen,4,https://github.com/NMinhNguyen,User,False,4471,0,0,0,30,0,21,False
mbj36,4,https://github.com/mbj36,User,False,3737,30,30,30,30,261,115,False
shrirambalaji,4,https://github.com/shrirambalaji,User,False,3635,30,30,30,30,110,52,False
