PR ID,Title,Description,State,Created At,Closed At,Merged At,Labels,Base Branch,Head Branch,Files Changed,Lines Added,Lines Deleted,Commits,Comments,Review Comments,Reviewers,Review States,Draft Status,Linked Issues
9152,feat: Hide collaborators' cursors,"## Description
This PR adds an option to be able to hide other users' cursors during a collaboration session.

## Changes Made
* Created a new button to toggle visibility of users' cursors.

## Related Issues
#3957

## Demo

https://github.com/user-attachments/assets/4e119685-706b-4e44-9bc1-9b650a091944

",open,2025-02-17T06:01:53Z,,,,master,Open-source-Contribution,16,386,247,1,1,0,,,False,https://api.github.com/repos/excalidraw/excalidraw/issues/9152
9150,chore: extend Node.js support to v23.x,,open,2025-02-17T03:57:30Z,,,,master,master,2,2,2,1,1,0,,,False,https://api.github.com/repos/excalidraw/excalidraw/issues/9150
9136,chore: update firebase@8 to @11,,closed,2025-02-13T12:10:33Z,2025-02-13T12:57:14Z,2025-02-13T12:57:14Z,,master,dwelle/upgrade-firebase,4,475,404,1,2,0,mtolmacs,APPROVED,False,https://api.github.com/repos/excalidraw/excalidraw/issues/9136
9135,build(deps): bump serialize-javascript from 6.0.0 to 6.0.2 in /dev-docs,"Bumps [serialize-javascript](https://github.com/yahoo/serialize-javascript) from 6.0.0 to 6.0.2.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/yahoo/serialize-javascript/releases"">serialize-javascript's releases</a>.</em></p>
<blockquote>
<h2>v6.0.2</h2>
<ul>
<li>fix: serialize URL string contents to prevent XSS (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/173"">#173</a>)  f27d65d</li>
<li>Bump <code>@​babel/traverse</code> from 7.10.1 to 7.23.7 (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/171"">#171</a>)  02499c0</li>
<li>docs: update readme with URL support (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/146"">#146</a>)  0d88527</li>
<li>chore: update node version and lock file  e2a3a91</li>
<li>fix typo (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/164"">#164</a>)  5a1fa64</li>
</ul>
<p><a href=""https://github.com/yahoo/serialize-javascript/compare/v6.0.1...v6.0.2"">https://github.com/yahoo/serialize-javascript/compare/v6.0.1...v6.0.2</a></p>
<h2>v6.0.1</h2>
<h2>What's Changed</h2>
<ul>
<li>Bump mocha from 9.0.1 to 9.0.2 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/126"">yahoo/serialize-javascript#126</a></li>
<li>Bump mocha from 9.0.2 to 9.0.3 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/127"">yahoo/serialize-javascript#127</a></li>
<li>Bump path-parse from 1.0.6 to 1.0.7 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/129"">yahoo/serialize-javascript#129</a></li>
<li>Bump mocha from 9.0.3 to 9.1.0 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/130"">yahoo/serialize-javascript#130</a></li>
<li>Bump mocha from 9.1.0 to 9.1.1 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/131"">yahoo/serialize-javascript#131</a></li>
<li>Bump mocha from 9.1.1 to 9.1.2 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/132"">yahoo/serialize-javascript#132</a></li>
<li>Bump mocha from 9.1.2 to 9.1.3 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/133"">yahoo/serialize-javascript#133</a></li>
<li>Bump mocha from 9.1.3 to 9.1.4 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/137"">yahoo/serialize-javascript#137</a></li>
<li>Bump mocha from 9.1.4 to 9.2.0 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/138"">yahoo/serialize-javascript#138</a></li>
<li>Bump chai from 4.3.4 to 4.3.6 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/140"">yahoo/serialize-javascript#140</a></li>
<li>Bump ansi-regex from 5.0.0 to 5.0.1 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/141"">yahoo/serialize-javascript#141</a></li>
<li>Bump mocha from 9.2.0 to 9.2.2 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/143"">yahoo/serialize-javascript#143</a></li>
<li>Bump minimist from 1.2.5 to 1.2.6 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/144"">yahoo/serialize-javascript#144</a></li>
<li>Bump mocha from 9.2.2 to 10.0.0 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/145"">yahoo/serialize-javascript#145</a></li>
<li>Bump mocha from 10.0.0 to 10.1.0 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/149"">yahoo/serialize-javascript#149</a></li>
<li>Bump chai from 4.3.6 to 4.3.7 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/150"">yahoo/serialize-javascript#150</a></li>
<li>ci: test.yml - actions bump by <a href=""https://github.com/piwysocki""><code>@​piwysocki</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/151"">yahoo/serialize-javascript#151</a></li>
<li>Bump minimatch from 3.0.4 to 3.1.2 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/152"">yahoo/serialize-javascript#152</a></li>
<li>Bump mocha from 10.1.0 to 10.2.0 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/153"">yahoo/serialize-javascript#153</a></li>
<li>Bump json5 from 2.1.3 to 2.2.3 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/155"">yahoo/serialize-javascript#155</a></li>
<li>Fix serialization issue for 0n. by <a href=""https://github.com/momocow""><code>@​momocow</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/156"">yahoo/serialize-javascript#156</a></li>
<li>Release v6.0.1 by <a href=""https://github.com/okuryu""><code>@​okuryu</code></a> in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/157"">yahoo/serialize-javascript#157</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/piwysocki""><code>@​piwysocki</code></a> made their first contribution in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/151"">yahoo/serialize-javascript#151</a></li>
<li><a href=""https://github.com/momocow""><code>@​momocow</code></a> made their first contribution in <a href=""https://redirect.github.com/yahoo/serialize-javascript/pull/156"">yahoo/serialize-javascript#156</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/yahoo/serialize-javascript/compare/v6.0.0...v6.0.1"">https://github.com/yahoo/serialize-javascript/compare/v6.0.0...v6.0.1</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/b71ec23841d7cf30847d3071d9da38ee0b397fc8""><code>b71ec23</code></a> 6.0.2</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/f27d65d3de42affe2aac14607066c293891cec4e""><code>f27d65d</code></a> fix: serialize URL string contents to prevent XSS (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/173"">#173</a>)</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/02499c0adfb40f48e1ebdcbe6fffc83b162b95e9""><code>02499c0</code></a> Bump <code>@​babel/traverse</code> from 7.10.1 to 7.23.7 (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/171"">#171</a>)</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/0d885272f45069b1207189ae18a6f2726b4abaa9""><code>0d88527</code></a> docs: update readme with URL support (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/146"">#146</a>)</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/e2a3a9173e6770ee92e02d95d6a8e7958dfb419d""><code>e2a3a91</code></a> chore: update node version and lock file</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/5a1fa646d9cbbe0b4f13c07f01c249fb2493e20f""><code>5a1fa64</code></a> fix typo (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/164"">#164</a>)</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/7139f9251b4cad52136513cf3360869e1e645d6c""><code>7139f92</code></a> Release v6.0.1 (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/157"">#157</a>)</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/7e23ae89e4b65ebf8836fcbaab637d49fb32ecb2""><code>7e23ae8</code></a> Fix serialization issue for 0n. (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/156"">#156</a>)</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/343abd98ff0a3f88f61fca35100762fdd6cb1963""><code>343abd9</code></a> Bump json5 from 2.1.3 to 2.2.3 (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/155"">#155</a>)</li>
<li><a href=""https://github.com/yahoo/serialize-javascript/commit/38d0e70e2d82662b2ec4fa2f7f3e1289db745db1""><code>38d0e70</code></a> Bump mocha from 10.1.0 to 10.2.0 (<a href=""https://redirect.github.com/yahoo/serialize-javascript/issues/153"">#153</a>)</li>
<li>Additional commits viewable in <a href=""https://github.com/yahoo/serialize-javascript/compare/v6.0.0...v6.0.2"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=serialize-javascript&package-manager=npm_and_yarn&previous-version=6.0.0&new-version=6.0.2)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/excalidraw/excalidraw/network/alerts).

</details>",open,2025-02-13T11:49:20Z,,,dependencies,master,dependabot/npm_and_yarn/dev-docs/serialize-javascript-6.0.2,1,3,3,1,2,0,,,False,https://api.github.com/repos/excalidraw/excalidraw/issues/9135
9134,chore: Upgrade Sentry to latest and update debug messages,,closed,2025-02-13T09:26:00Z,2025-02-13T11:47:27Z,2025-02-13T11:47:27Z,,master,chore/upgrade-sentry,7,126,120,8,3,0,"mtolmacs, mtolmacs, dwelle, dwelle, dwelle","COMMENTED, COMMENTED, COMMENTED, COMMENTED, APPROVED",False,https://api.github.com/repos/excalidraw/excalidraw/issues/9134
9131,chore: Revert aspect ratio fix with element size limits and chk,Reverted PR (for now): https://github.com/excalidraw/excalidraw/pull/9116,closed,2025-02-12T13:37:16Z,2025-02-12T14:02:35Z,2025-02-12T14:02:35Z,,master,chore/megasized-element-logging,5,161,5,6,4,0,"dwelle, dwelle","APPROVED, APPROVED",False,https://api.github.com/repos/excalidraw/excalidraw/issues/9131
9128,fix: stop using structuredClone,"`structuredClone` is [not universally supported](https://caniuse.com/?search=structuredclone) yet.

~~While stringifying and parsing JSON as a polyfill isn't quite correct, in the context we're using it for it suffices (until it won't and all hell will break lose, alas).~~

fix https://excalidraw.sentry.io/issues/6291795739/events/b61abd6a973244b9909afbe62dfdc6e0/",closed,2025-02-12T09:53:01Z,2025-02-12T12:02:53Z,2025-02-12T12:02:53Z,,master,dwelle/fix-structuredClone,2,9,9,1,2,0,mtolmacs,APPROVED,False,https://api.github.com/repos/excalidraw/excalidraw/issues/9128
9127,docs: release @excalidraw/excalidraw@18.0.0  🎉,"Closes #8771

# Docs
- [x] https://github.com/excalidraw/excalidraw/pull/7898
- [x] https://github.com/excalidraw/excalidraw/pull/8012
- [x] https://github.com/excalidraw/excalidraw/pull/8045
- [x] https://github.com/excalidraw/excalidraw/pull/8286
- [ ] https://github.com/excalidraw/excalidraw/pull/7130
- [ ] https://github.com/excalidraw/excalidraw/pull/8361
- [ ] https://github.com/excalidraw/excalidraw/pull/8498",open,2025-02-11T22:53:16Z,,,,master,mrazator/release-v18,30,216,183,3,2,0,,,True,https://api.github.com/repos/excalidraw/excalidraw/issues/9127
9126,fix: node version updated to node 23.7.0,,open,2025-02-11T22:03:46Z,,,,master,fix-9112,2,1459,2301,1,1,0,,,False,https://api.github.com/repos/excalidraw/excalidraw/issues/9126
9124,build(deps-dev): bump esbuild from 0.19.10 to 0.25.0,"Bumps [esbuild](https://github.com/evanw/esbuild) from 0.19.10 to 0.25.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/evanw/esbuild/releases"">esbuild's releases</a>.</em></p>
<blockquote>
<h2>v0.25.0</h2>
<p><strong>This release deliberately contains backwards-incompatible changes.</strong> To avoid automatically picking up releases like this, you should either be pinning the exact version of <code>esbuild</code> in your <code>package.json</code> file (recommended) or be using a version range syntax that only accepts patch upgrades such as <code>^0.24.0</code> or <code>~0.24.0</code>. See npm's documentation about <a href=""https://docs.npmjs.com/cli/v6/using-npm/semver/"">semver</a> for more information.</p>
<ul>
<li>
<p>Restrict access to esbuild's development server (<a href=""https://github.com/evanw/esbuild/security/advisories/GHSA-67mh-4wv8-2f99"">GHSA-67mh-4wv8-2f99</a>)</p>
<p>This change addresses esbuild's first security vulnerability report. Previously esbuild set the <code>Access-Control-Allow-Origin</code> header to <code>*</code> to allow esbuild's development server to be flexible in how it's used for development. However, this allows the websites you visit to make HTTP requests to esbuild's local development server, which gives read-only access to your source code if the website were to fetch your source code's specific URL. You can read more information in <a href=""https://github.com/evanw/esbuild/security/advisories/GHSA-67mh-4wv8-2f99"">the report</a>.</p>
<p>Starting with this release, <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS"">CORS</a> will now be disabled, and requests will now be denied if the host does not match the one provided to <code>--serve=</code>. The default host is <code>0.0.0.0</code>, which refers to all of the IP addresses that represent the local machine (e.g. both <code>127.0.0.1</code> and <code>192.168.0.1</code>). If you want to customize anything about esbuild's development server, you can <a href=""https://esbuild.github.io/api/#serve-proxy"">put a proxy in front of esbuild</a> and modify the incoming and/or outgoing requests.</p>
<p>In addition, the <code>serve()</code> API call has been changed to return an array of <code>hosts</code> instead of a single <code>host</code> string. This makes it possible to determine all of the hosts that esbuild's development server will accept.</p>
<p>Thanks to <a href=""https://github.com/sapphi-red""><code>@​sapphi-red</code></a> for reporting this issue.</p>
</li>
<li>
<p>Delete output files when a build fails in watch mode (<a href=""https://redirect.github.com/evanw/esbuild/issues/3643"">#3643</a>)</p>
<p>It has been requested for esbuild to delete files when a build fails in watch mode. Previously esbuild left the old files in place, which could cause people to not immediately realize that the most recent build failed. With this release, esbuild will now delete all output files if a rebuild fails. Fixing the build error and triggering another rebuild will restore all output files again.</p>
</li>
<li>
<p>Fix correctness issues with the CSS nesting transform (<a href=""https://redirect.github.com/evanw/esbuild/issues/3620"">#3620</a>, <a href=""https://redirect.github.com/evanw/esbuild/issues/3877"">#3877</a>, <a href=""https://redirect.github.com/evanw/esbuild/issues/3933"">#3933</a>, <a href=""https://redirect.github.com/evanw/esbuild/issues/3997"">#3997</a>, <a href=""https://redirect.github.com/evanw/esbuild/issues/4005"">#4005</a>, <a href=""https://redirect.github.com/evanw/esbuild/pull/4037"">#4037</a>, <a href=""https://redirect.github.com/evanw/esbuild/pull/4038"">#4038</a>)</p>
<p>This release fixes the following problems:</p>
<ul>
<li>
<p>Naive expansion of CSS nesting can result in an exponential blow-up of generated CSS if each nesting level has multiple selectors. Previously esbuild sometimes collapsed individual nesting levels using <code>:is()</code> to limit expansion. However, this collapsing wasn't correct in some cases, so it has been removed to fix correctness issues.</p>
<pre lang=""css""><code>/* Original code */
.parent {
  &gt; .a,
  &gt; .b1 &gt; .b2 {
    color: red;
  }
}
<p>/* Old output (with --supported:nesting=false) */<br />
.parent &gt; :is(.a, .b1 &gt; .b2) {<br />
color: red;<br />
}</p>
<p>/* New output (with --supported:nesting=false) */<br />
.parent &gt; .a,<br />
.parent &gt; .b1 &gt; .b2 {<br />
color: red;<br />
}<br />
</code></pre></p>
<p>Thanks to <a href=""https://github.com/tim-we""><code>@​tim-we</code></a> for working on a fix.</p>
</li>
<li>
<p>The <code>&amp;</code> CSS nesting selector can be repeated multiple times to increase CSS specificity. Previously esbuild ignored this possibility and incorrectly considered <code>&amp;&amp;</code> to have the same specificity as <code>&amp;</code>. With this release, this should now work correctly:</p>
<pre lang=""css""><code>/* Original code (color should be red) */
</code></pre>
</li>
</ul>
</li>
</ul>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/evanw/esbuild/blob/main/CHANGELOG-2023.md"">esbuild's changelog</a>.</em></p>
<blockquote>
<h1>Changelog: 2023</h1>
<p>This changelog documents all esbuild versions published in the year 2023 (versions 0.16.13 through 0.19.11).</p>
<h2>0.19.11</h2>
<ul>
<li>
<p>Fix TypeScript-specific class transform edge case (<a href=""https://redirect.github.com/evanw/esbuild/issues/3559"">#3559</a>)</p>
<p>The previous release introduced an optimization that avoided transforming <code>super()</code> in the class constructor for TypeScript code compiled with <code>useDefineForClassFields</code> set to <code>false</code> if all class instance fields have no initializers. The rationale was that in this case, all class instance fields are omitted in the output so no changes to the constructor are needed. However, if all of this is the case <em>and</em> there are <code>#private</code> instance fields with initializers, those private instance field initializers were still being moved into the constructor. This was problematic because they were being inserted before the call to <code>super()</code> (since <code>super()</code> is now no longer transformed in that case). This release introduces an additional optimization that avoids moving the private instance field initializers into the constructor in this edge case, which generates smaller code, matches the TypeScript compiler's output more closely, and avoids this bug:</p>
<pre lang=""ts""><code>// Original code
class Foo extends Bar {
  #private = 1;
  public: any;
  constructor() {
    super();
  }
}
<p>// Old output (with esbuild v0.19.9)<br />
class Foo extends Bar {<br />
constructor() {<br />
super();<br />
this.#private = 1;<br />
}<br />
#private;<br />
}</p>
<p>// Old output (with esbuild v0.19.10)<br />
class Foo extends Bar {<br />
constructor() {<br />
this.#private = 1;<br />
super();<br />
}<br />
#private;<br />
}</p>
<p>// New output<br />
class Foo extends Bar {<br />
#private = 1;<br />
constructor() {<br />
super();<br />
}<br />
}<br />
</code></pre></p>
</li>
<li>
<p>Minifier: allow reording a primitive past a side-effect (<a href=""https://redirect.github.com/evanw/esbuild/issues/3568"">#3568</a>)</p>
<p>The minifier previously allowed reordering a side-effect past a primitive, but didn't handle the case of reordering a primitive past a side-effect. This additional case is now handled:</p>
</li>
</ul>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/evanw/esbuild/commit/e9174d671b1882758cd32ac5e146200f5bee3e45""><code>e9174d6</code></a> publish 0.25.0 to npm</li>
<li><a href=""https://github.com/evanw/esbuild/commit/c27dbebb9e7a55dd9a084dd151dddd840787490e""><code>c27dbeb</code></a> fix <code>hosts</code> in <code>plugin-tests.js</code></li>
<li><a href=""https://github.com/evanw/esbuild/commit/6794f602a453cf0255bcae245871de120a89a559""><code>6794f60</code></a> fix <code>hosts</code> in <code>node-unref-tests.js</code></li>
<li><a href=""https://github.com/evanw/esbuild/commit/de85afd65edec9ebc44a11e245fd9e9a2e99760d""><code>de85afd</code></a> Merge commit from fork</li>
<li><a href=""https://github.com/evanw/esbuild/commit/da1de1bf77a65f06654b49878d9ec4747ddaa21f""><code>da1de1b</code></a> fix <a href=""https://redirect.github.com/evanw/esbuild/issues/4065"">#4065</a>: bitwise operators can return bigints</li>
<li><a href=""https://github.com/evanw/esbuild/commit/f4e9d19fb20095a98bf40634f0380f6a16be91e7""><code>f4e9d19</code></a> switch case liveness: <code>default</code> is always last</li>
<li><a href=""https://github.com/evanw/esbuild/commit/7aa47c3e778ea04849f97f18dd9959df88fa0886""><code>7aa47c3</code></a> fix <a href=""https://redirect.github.com/evanw/esbuild/issues/4028"">#4028</a>: minify live/dead <code>switch</code> cases better</li>
<li><a href=""https://github.com/evanw/esbuild/commit/22ecd306190b8971ec4474b5485266c20350e266""><code>22ecd30</code></a> minify: more constant folding for strict equality</li>
<li><a href=""https://github.com/evanw/esbuild/commit/4cdf03c03697128044fa8fb76e5c478e9765b353""><code>4cdf03c</code></a> fix <a href=""https://redirect.github.com/evanw/esbuild/issues/4053"">#4053</a>: reordering of <code>.tsx</code> in <code>node_modules</code></li>
<li><a href=""https://github.com/evanw/esbuild/commit/dc719775b7140120916bd9e6777ca1cb8a1cdc0e""><code>dc71977</code></a> fix <a href=""https://redirect.github.com/evanw/esbuild/issues/3692"">#3692</a>: <code>0</code> now picks a random ephemeral port</li>
<li>Additional commits viewable in <a href=""https://github.com/evanw/esbuild/compare/v0.19.10...v0.25.0"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=esbuild&package-manager=npm_and_yarn&previous-version=0.19.10&new-version=0.25.0)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/excalidraw/excalidraw/network/alerts).

</details>",open,2025-02-11T12:50:32Z,,,dependencies,master,dependabot/npm_and_yarn/esbuild-0.25.0,2,133,121,1,2,0,,,False,https://api.github.com/repos/excalidraw/excalidraw/issues/9124
