Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
12194,closed,fix: prevent double call to SetGitModule on repo change,2659425041,pmiossec,2025-02-14T14:06:04Z,"> Does it still work when the app starts at the dashboard and then a repo is selected?

Yes, It seems good."
12191,closed,bug in VB code,2657412493,pmiossec,2025-02-13T18:26:47Z,You are in the wrong place to request help on this subject. Closing as not gitextensions related.
12191,closed,bug in VB code,2658076076,Minaishac,2025-02-14T01:46:06Z,"thank you very much

On Thu, Feb 13, 2025 at 7:27 PM Philippe Miossec ***@***.***>
wrote:

> You are in the wrong place to request help on this subject. Closing as not
> gitextensions related.
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/gitextensions/gitextensions/issues/12191#issuecomment-2657412493>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/ALVZSZXSY6TZKKKXTMVDO7T2PTPX7AVCNFSM6AAAAABXCRVQIWVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMZDMNJXGQYTENBZGM>
> .
> You are receiving this because you authored the thread.Message ID:
> ***@***.***>
> [image: pmiossec]*pmiossec* left a comment
> (gitextensions/gitextensions#12191)
> <https://github.com/gitextensions/gitextensions/issues/12191#issuecomment-2657412493>
>
> You are in the wrong place to request help on this subject. Closing as not
> gitextensions related.
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/gitextensions/gitextensions/issues/12191#issuecomment-2657412493>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/ALVZSZXSY6TZKKKXTMVDO7T2PTPX7AVCNFSM6AAAAABXCRVQIWVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMZDMNJXGQYTENBZGM>
> .
> You are receiving this because you authored the thread.Message ID:
> ***@***.***>
>
"
6427,closed,"GE stops responding when clicking the ""Commit"" button",478603370,vbjay,2019-04-01T14:30:36Z,"Run git gc. You have 1.5 GB in.git folder.

On Mon, Apr 1, 2019, 10:17 AM JacksReacher <notifications@github.com> wrote:

> Current behaviour
>
> After opening GE, clicking the ""Commit"" button to review changes, causes
> GE to stop responding.
> Expected behaviour
>
> Should open the ""View Changes"" dialog
> Steps to reproduce
>
> After opening GE, clicking the ""Commit"" button to review changes, causes
> GE to stop responding.
> Screenshots
>
> [image: image]
> <https://user-images.githubusercontent.com/8247176/55333795-d5a32f80-544c-11e9-858e-e12ba54d1b98.png>
> Did this work in previous version of GitExtensions
>
> Yes, prior to 3.00.00.4433
> Environment
>
> Windows 10
>
>    - Git Extensions 3.0.2.5232
>    - Build 23b6f51
>    <https://github.com/gitextensions/gitextensions/commit/23b6f51905006ccdde8701591df706284b4155dc>
>    - Git 2.20.1.windows.1
>    - Microsoft Windows NT 10.0.17763.0
>    - .NET Framework 4.7.3362.0
>    - DPI 96dpi (no scaling)
>
> Diagnostics
>
> This is the last image of the diagnostics, before everything freezes:
> [image: image]
> <https://user-images.githubusercontent.com/8247176/55334158-91fcf580-544d-11e9-9716-c412c43ff3eb.png>
> $ git for-each-ref --format=""%(refname)"" refs/ | cut -d""/"" -f2 | uniq -c 4
> heads 601 remotes 97 tags $ git stash list | wc -l 0
> joseph.peavey@DESKTOP-PJV66D5 MINGW64 /c/CVProjects/skykick
> (origin/jpeave/64026ConvertSummaryToJson) $ git count-objects -vH count:
> 1450 size: 11.43 MiB in-pack: 873959 packs: 30 size-pack: 1.48 GiB
> prune-packable: 696 garbage: 0 size-garbage: 0 bytes
> joseph.peavey@DESKTOP-PJV66D5 MINGW64 /c/CVProjects/skykick
> (origin/jpeave/64026ConvertSummaryToJson) $ du -h -d 1 .git 40K .git/hooks
> 1.0K .git/info 397K .git/logs 1.5G .git/objects 320K .git/refs 1.5G .git
>
> —
> You are receiving this because you are subscribed to this thread.
> Reply to this email directly, view it on GitHub
> <https://github.com/gitextensions/gitextensions/issues/6427>, or mute the
> thread
> <https://github.com/notifications/unsubscribe-auth/ADdhsefzVSRh92FtGot-tgycP8EJBcwwks5vchTwgaJpZM4cV1dX>
> .
>
"
6427,closed,"GE stops responding when clicking the ""Commit"" button",478604974,JacksReacher,2019-04-01T14:34:46Z,"Thanks VBJay; unfortunately didn't help:

$  du -h -d 1 .git                                                                                                                       40K     .git/hooks                                                                                                                       73K     .git/info                                                                                                                        393K    .git/logs                                                                                                                        1.4G    .git/objects                                                                                                                     13K     .git/refs                                                                                                                        1.4G    .git
--


"
6427,closed,"GE stops responding when clicking the ""Commit"" button",490883551,RussKie,2019-05-09T12:31:51Z,"Is the error specific to a particular repo or across all repos?
Can you please try 3.1-RC1 and see if it resolves the issue?"
6427,closed,"GE stops responding when clicking the ""Commit"" button",493550981,JacksReacher,2019-05-17T18:20:29Z,"Sorry it took so long to get back to you. Just tried with 3.1.0.5877 and it's still happening.
![GitExtensionsVersion](https://user-images.githubusercontent.com/8247176/57948161-c447a280-7895-11e9-9ba4-19b1b483cf93.png)

"
6427,closed,"GE stops responding when clicking the ""Commit"" button",571558327,Ian1971,2020-01-07T11:59:54Z,"I have this same issue. I have narrowed it down to occurring on my high dpi laptop display when a second monitor is connected and the gitextensions window is on the high dpi display.

So it is fine if gitextensions is on the second monitor, or if I switch to laptop display only. I suspect there is a dialog box that cannot be seen.
"
6427,closed,"GE stops responding when clicking the ""Commit"" button",572433414,RussKie,2020-01-09T07:41:58Z,Could you please describe steps to reproduce? The more details the better
6427,closed,"GE stops responding when clicking the ""Commit"" button",572456047,Ian1971,2020-01-09T08:50:39Z,"Pre-condition 2 displays. One is high dpi (laptop) the other standard (monitor) (not sure if the dpi is significant or the two screens)
1. Launch gitextensions and ensure window is on the high dpi display
1. Press commit
1. Observe no commit window and now when you click anywhere you get a windows beep
1. Kill git ext via task manager
1. Re-launch git ext and this time ensure window on the 2nd screen (monitor)
1. Press commit
1. Observe it behaves normally
"
6427,closed,"GE stops responding when clicking the ""Commit"" button",573628576,RussKie,2020-01-13T11:55:38Z,"> * Launch gitextensions and ensure window is on the high dpi display
> * Press commit
> * Observe no commit window and now when you click anywhere you get a windows beep

This means the commit window outside the visible desktop bounds. The commit window can be closed with <kbd>ESC</kbd>, no need to kill the app.

From your description the 2nd monitor is your primary monitor. I believe I've observed a similar behaviour in multi monitor setups (I don't have one any longer)."
6427,closed,"GE stops responding when clicking the ""Commit"" button",573634548,Ian1971,2020-01-13T12:13:08Z,"Using ESC is a good tip.
The laptop monitor is the primary monitor I believe. At least that is the one where the system tray appears."
6427,closed,"GE stops responding when clicking the ""Commit"" button",578873906,ghost,2020-01-27T18:00:14Z,This issue has been automatically marked as stale because it has been marked as requiring author feedback but has not had any activity for **14 days**. It will be closed if no further activity occurs.
6427,closed,"GE stops responding when clicking the ""Commit"" button",579162791,Ian1971,2020-01-28T09:47:20Z,"Its still an issue. The workaround helps though.

On Mon, 27 Jan 2020, 18:00 msftbot[bot], <notifications@github.com> wrote:

> This issue has been automatically marked as stale because it has been
> marked as requiring author feedback but has not had any activity for *14
> days*. It will be closed if no further activity occurs.
>
> —
> You are receiving this because you commented.
> Reply to this email directly, view it on GitHub
> <https://github.com/gitextensions/gitextensions/issues/6427?email_source=notifications&email_token=AACN2SMDN5XD2KPGR3QARYLQ74OK7A5CNFSM4HCXK5L2YY3PNVWWK3TUL52HS4DFVREXG43VMVBW63LNMVXHJKTDN5WW2ZLOORPWSZGOEKAOUMQ#issuecomment-578873906>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/AACN2SMCHTFLGTE5KS5WQQTQ74OK7ANCNFSM4HCXK5LQ>
> .
>
"
6427,closed,"GE stops responding when clicking the ""Commit"" button",702691162,jupsoleil,2020-10-02T11:52:44Z,I confirm it's still a bug 3.4.3.9999 .
6427,closed,"GE stops responding when clicking the ""Commit"" button",703241616,RussKie,2020-10-04T11:29:32Z,"I have WIP POC in https://github.com/gitextensions/gitextensions/pull/8341, but since I don't currently have a 2nd monitor so I can't test it.
Anyone is welcome to pick this work and submit a fix.
"
