Contributor ID,Contributor Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
mstv,2556,30,30,30,5,8,3,True
mstv,2556,30,30,30,5,8,3,True
pmiossec,5224,30,30,30,30,48,22,True
gerhardol,4074,30,30,30,30,28,13,True
mstv,2556,30,30,30,5,8,3,True
pmiossec,5224,30,30,30,30,48,22,True
gerhardol,4074,30,30,30,30,28,13,True
gerhardol,4074,30,30,30,30,28,13,True
mstv,2556,30,30,30,5,8,3,True
gerhardol,4074,30,30,30,30,28,13,True
mstv,2556,0,0,0,5,8,3,True
mstv,2556,0,0,0,5,8,3,True
gerhardol,4074,0,0,0,30,28,13,True
gerhardol,4074,0,0,0,30,28,13,True
chkoddi,818,0,0,0,1,0,0,False
drewnoakes,5314,0,0,0,30,547,64,True
Chri-s,4212,0,0,0,23,7,6,False
pmgiant,1755,0,0,0,1,0,0,False
dmitrybozhenok,3040,0,0,0,9,1,1,False
SlugFiller,4177,0,0,0,11,2,22,False
SlugFiller,4177,30,15,30,11,2,22,False
AArnott,6177,30,30,30,30,1261,37,False
mstv,2556,30,30,30,5,8,3,True
SlugFiller,4177,30,15,30,11,2,22,False
SlugFiller,4177,30,15,30,11,2,22,False
scottsumrall,1476,7,6,1,8,1,0,False
vbjay,4382,30,30,30,30,21,10,False
vbjay,4382,30,30,30,30,21,10,False
RussKie,4300,30,30,30,30,181,4,True
RussKie,4300,30,30,30,30,181,4,True
