Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
RussKie,2236,https://github.com/RussKie,User,False,4300,30,30,30,30,181,4,False
drewnoakes,1649,https://github.com/drewnoakes,User,False,5313,30,30,30,30,547,64,False
jbialobr,1607,https://github.com/jbialobr,User,False,4925,30,30,30,23,28,313,False
spdr870,1574,https://github.com/spdr870,User,False,5917,30,30,16,8,87,11,False
KindDragon,1447,https://github.com/KindDragon,User,False,5451,30,30,30,30,94,5,False
gerhardol,1173,https://github.com/gerhardol,User,False,4073,30,30,30,30,28,13,False
mstv,767,https://github.com/mstv,User,False,2556,30,30,30,5,8,3,False
pmiossec,713,https://github.com/pmiossec,User,False,5224,30,30,30,30,48,22,False
vbjay,183,https://github.com/vbjay,User,False,4381,30,30,30,30,21,10,False
vcpp,181,https://github.com/vcpp,User,False,5035,30,30,20,5,10,3,False
sharwell,174,https://github.com/sharwell,User,False,4762,0,0,0,30,572,78,False
mnaoumov,160,https://github.com/mnaoumov,User,False,5054,0,0,0,30,38,12,False
forki,148,https://github.com/forki,User,False,5837,0,0,0,30,383,0,False
Turbo87,128,https://github.com/Turbo87,User,False,5601,0,0,0,30,595,176,False
fraga,124,https://github.com/fraga,User,False,5364,0,0,0,30,41,5,False
EbenZhang,121,https://github.com/EbenZhang,User,False,5129,0,0,0,30,14,56,False
NikolayXHD,113,https://github.com/NikolayXHD,User,False,3590,0,0,0,16,11,69,False
nickmayer,100,https://github.com/nickmayer,User,False,5417,0,0,0,15,4,5,False
jacobstanley,97,https://github.com/jacobstanley,User,False,5615,30,30,30,30,141,76,False
mdonatas,91,https://github.com/mdonatas,User,False,5207,30,30,30,23,9,12,False
amaiorano,73,https://github.com/amaiorano,User,False,3998,30,30,30,30,191,135,False
hypersw,65,https://github.com/hypersw,User,False,4541,28,21,30,13,17,0,False
dominiqueplante,62,https://github.com/dominiqueplante,User,False,5351,30,30,23,30,16,12,False
vasily-kirichenko,45,https://github.com/vasily-kirichenko,User,False,4986,30,30,30,30,113,3,False
FallenGameR,44,https://github.com/FallenGameR,User,False,5066,10,10,30,29,7,7,False
kevmoo,39,https://github.com/kevmoo,User,False,6062,30,30,30,30,2231,302,False
chrischu,38,https://github.com/chrischu,User,False,5233,22,18,30,25,8,5,False
olmobrutall,38,https://github.com/olmobrutall,User,False,5061,28,24,30,18,25,3,False
mast-eu,37,https://github.com/mast-eu,User,False,2220,0,0,0,5,9,5,False
crypto-rsa,36,https://github.com/crypto-rsa,User,False,3627,0,0,0,10,2,5,False
qgppl,35,https://github.com/qgppl,User,False,5325,0,0,0,6,2,1,False
bygreencn,33,https://github.com/bygreencn,User,False,6012,0,0,0,30,196,1,False
mabako,33,https://github.com/mabako,User,False,5639,0,0,0,30,118,43,False
linquize,28,https://github.com/linquize,User,False,5026,0,0,0,30,30,23,False
AndreyDodonov-EH,26,https://github.com/AndreyDodonov-EH,User,False,2310,0,0,0,24,10,5,False
szaliszali,26,https://github.com/szaliszali,User,False,4630,0,0,0,20,3,0,False
bleis-tift,26,https://github.com/bleis-tift,User,False,5540,30,30,30,30,133,194,False
gorbach,25,https://github.com/gorbach,User,False,5183,30,28,8,30,8,10,False
transifex-integration[bot],24,https://github.com/apps/transifex-integration,Bot,False,2327,30,30,0,0,0,0,False
mexx,23,https://github.com/mexx,User,False,5288,30,30,30,30,62,17,False
bergerjac,23,https://github.com/bergerjac,User,False,4737,13,10,30,29,7,1,False
8,23,https://github.com/8,User,False,5391,20,17,30,30,31,128,False
azarkevich,23,https://github.com/azarkevich,User,False,5071,20,14,26,22,4,21,False
lynxstv,22,https://github.com/lynxstv,User,False,4855,10,9,0,6,0,0,False
oriash93,22,https://github.com/oriash93,User,False,3460,30,30,30,7,34,359,False
Basewq,20,https://github.com/Basewq,User,False,4777,30,30,30,11,4,26,False
ferow2k,20,https://github.com/ferow2k,User,False,4850,0,0,0,30,1,0,False
Copro,19,https://github.com/Copro,User,False,4443,0,0,0,18,0,0,False
DanRigby,19,https://github.com/DanRigby,User,True,5668,0,0,0,5,194,22,False
torarvid,18,https://github.com/torarvid,User,False,5239,0,0,0,30,9,2,False
otac0n,17,https://github.com/otac0n,User,False,5495,0,0,0,30,85,8,False
ulrichb,17,https://github.com/ulrichb,User,False,5278,0,0,0,25,16,86,False
phillco,16,https://github.com/phillco,User,False,5167,0,0,0,30,79,28,False
Radrik5,15,https://github.com/Radrik5,User,False,3772,0,0,0,8,2,1,False
pvginkel,15,https://github.com/pvginkel,User,False,5007,0,0,0,30,106,79,False
tt,14,https://github.com/tt,User,False,6038,0,0,0,30,135,22,False
mrahn80,14,https://github.com/mrahn80,User,False,4131,4,3,2,0,3,0,False
h0lg,13,https://github.com/h0lg,User,False,5082,30,27,28,22,9,58,False
martinwilkerson-scisys,13,https://github.com/martinwilkerson-scisys,User,False,3079,6,4,6,6,0,0,False
XelaRellum,13,https://github.com/XelaRellum,User,False,5578,27,13,12,23,7,21,False
zvirja,13,https://github.com/zvirja,User,False,4896,30,30,30,30,24,11,False
werwolfby,12,https://github.com/werwolfby,User,False,5069,28,16,30,30,29,514,False
IEVin,12,https://github.com/IEVin,User,False,4176,12,12,14,4,4,3,False
lhiginbotham,12,https://github.com/lhiginbotham,User,False,3457,28,21,7,10,2,0,False
Drake103,12,https://github.com/Drake103,User,False,4693,30,30,2,30,15,2,False
showell-nic,12,https://github.com/showell-nic,User,False,4700,2,1,1,5,0,0,False
SimonCropp,11,https://github.com/SimonCropp,User,False,5646,0,0,0,30,970,16,False
maraf,11,https://github.com/maraf,User,False,3731,0,0,0,30,61,68,False
DmitryZhelnin,11,https://github.com/DmitryZhelnin,User,False,4238,0,0,0,10,1,15,False
ierof,11,https://github.com/ierof,User,False,4247,0,0,0,7,9,1,False
kyle-nicholls,11,https://github.com/kyle-nicholls,User,False,2217,0,0,0,0,0,0,False
lanfeust69,10,https://github.com/lanfeust69,User,False,4481,0,0,0,27,11,7,False
jvitkauskas,10,https://github.com/jvitkauskas,User,False,3738,0,0,0,30,27,131,False
DanielTheCoder,10,https://github.com/DanielTheCoder,User,False,5554,0,0,0,15,24,18,False
CDAGaming,10,https://github.com/CDAGaming,User,False,3350,0,0,0,30,51,21,False
miloja,10,https://github.com/miloja,User,False,5283,0,0,0,6,2,2,False
hiroponz,10,https://github.com/hiroponz,User,False,5793,0,0,0,30,30,9,False
kine,9,https://github.com/kine,User,False,5681,0,0,0,30,107,71,False
MoOmEeN,9,https://github.com/MoOmEeN,User,False,5235,18,16,18,12,2,3,False
SetoKaiba,9,https://github.com/SetoKaiba,User,False,5558,30,23,30,30,45,5,False
UncleVasya,9,https://github.com/UncleVasya,User,False,4802,23,19,30,30,15,29,False
nitoyon,9,https://github.com/nitoyon,User,False,5913,30,30,4,30,91,287,False
Noguai,8,https://github.com/Noguai,User,False,3685,3,2,3,2,1,0,False
schadin,8,https://github.com/schadin,User,False,5002,3,2,5,20,5,1,False
phillijw,8,https://github.com/phillijw,User,False,5218,21,17,30,30,24,4,False
KarstenRa,8,https://github.com/KarstenRa,User,False,2912,17,12,1,8,0,0,False
chenhendrawan,8,https://github.com/chenhendrawan,User,False,4591,1,1,7,6,1,0,False
mrexodia,7,https://github.com/mrexodia,User,False,4523,30,30,30,30,2708,389,False
gpongelli,7,https://github.com/gpongelli,User,False,5001,0,0,0,30,19,8,False
Itori,7,https://github.com/Itori,User,False,4264,0,0,0,8,2,0,False
raistlin,7,https://github.com/raistlin,User,False,5779,0,0,0,30,16,3,False
Timwi,7,https://github.com/Timwi,User,False,4714,0,0,0,30,55,273,False
orgads,7,https://github.com/orgads,User,False,4821,0,0,0,30,21,0,False
asherber,7,https://github.com/asherber,User,False,4202,0,0,0,30,23,32,False
afabre,7,https://github.com/afabre,User,False,4954,0,0,0,3,1,1,False
digitalcoyote,7,https://github.com/digitalcoyote,User,False,3311,0,0,0,30,23,113,False
new-mikha,7,https://github.com/new-mikha,User,False,4133,0,0,0,16,2,4,False
michaellwest,7,https://github.com/michaellwest,User,False,4958,0,0,0,30,61,67,False
stwalkerster,6,https://github.com/stwalkerster,User,False,5061,0,30,30,30,71,27,False
manuelspezzani,6,https://github.com/manuelspezzani,User,False,4755,9,7,16,8,5,1,False
GintasS,6,https://github.com/GintasS,User,False,3145,30,30,30,30,70,4,False
pmme,6,https://github.com/pmme,User,False,4605,30,30,19,19,4,4,False
bstecisa,6,https://github.com/bstecisa,User,False,1698,4,4,0,1,0,0,False
adrianoc,6,https://github.com/adrianoc,User,False,5823,30,30,30,23,26,110,False
hieuxlu,6,https://github.com/hieuxlu,User,False,3631,22,19,9,24,26,15,False
bansan85,6,https://github.com/bansan85,User,False,3778,30,30,30,30,5,28,False
c3er,6,https://github.com/c3er,User,False,2993,18,17,30,30,17,102,False
patearl,6,https://github.com/patearl,User,False,5286,5,2,6,5,13,4,False
idealist1508,6,https://github.com/idealist1508,User,False,4276,30,0,0,30,0,1,False
regs01,6,https://github.com/regs01,User,False,3691,0,0,0,16,3,2,False
nick-bulleid,5,https://github.com/nick-bulleid,User,False,3170,0,0,0,6,0,0,False
glen-nicol,5,https://github.com/glen-nicol,User,False,4223,0,0,0,8,1,0,False
joergpichler,5,https://github.com/joergpichler,User,False,3985,0,0,0,20,4,2,False
ArsenShnurkov,5,https://github.com/ArsenShnurkov,User,False,5503,0,0,0,30,28,3,False
realkompot,5,https://github.com/realkompot,User,False,2220,0,0,0,2,6,16,False
Ashod,5,https://github.com/Ashod,User,False,5050,0,0,0,30,24,38,False
danielmenzel,5,https://github.com/danielmenzel,User,False,3843,0,0,0,5,1,0,False
paviad,5,https://github.com/paviad,User,False,4826,0,0,0,30,13,9,False
cristianst85,5,https://github.com/cristianst85,User,False,3557,0,0,0,30,15,64,False
bastianeicher,5,https://github.com/bastianeicher,User,False,5260,30,30,30,5,34,15,False
Teybeo,5,https://github.com/Teybeo,User,False,4745,30,30,8,30,12,7,False
StanAngeloff,5,https://github.com/StanAngeloff,User,False,5733,30,30,30,30,81,251,False
kbilsted,5,https://github.com/kbilsted,User,False,4700,30,30,30,30,50,182,False
Johno-ACSLive,5,https://github.com/Johno-ACSLive,User,False,2274,6,4,12,7,1,9,False
danielrbradley,5,https://github.com/danielrbradley,User,False,5332,30,30,30,30,44,62,False
bruderstein,5,https://github.com/bruderstein,User,False,5737,30,30,30,30,255,52,False
IlijaQ,5,https://github.com/IlijaQ,User,False,1453,6,5,1,4,0,0,False
suvjunmd,4,https://github.com/suvjunmd,User,False,3654,30,30,7,30,21,2,False
hogelog,4,https://github.com/hogelog,User,False,5859,30,30,30,30,113,23,False
iamxail,4,https://github.com/iamxail,User,False,4760,0,0,0,2,1,3,False
rbares,4,https://github.com/rbares,User,False,2851,0,0,0,9,0,1,False
yellowblood,4,https://github.com/yellowblood,User,False,4611,0,0,0,16,9,1,False
R0nd,4,https://github.com/R0nd,User,False,3563,0,0,0,30,1,7,False
freza-tm,4,https://github.com/freza-tm,User,False,2673,0,0,0,9,1,0,False
wischi-chr,4,https://github.com/wischi-chr,User,False,4518,0,0,0,30,18,7,False
JuPrgn,4,https://github.com/JuPrgn,User,False,3151,0,0,0,19,3,0,False
wachulski,4,https://github.com/wachulski,User,False,4683,0,0,0,25,10,10,False
thimmy687,4,https://github.com/thimmy687,User,False,3919,0,0,0,17,7,0,False
darkcamper,4,https://github.com/darkcamper,User,False,3115,0,0,0,13,0,0,False
FabrizioMancin,4,https://github.com/FabrizioMancin,User,False,243,0,0,0,0,0,0,False
karyon,4,https://github.com/karyon,User,False,4619,30,30,30,30,12,16,False
mbmccormick,4,https://github.com/mbmccormick,User,False,5288,25,20,30,30,120,48,False
Carbenium,4,https://github.com/Carbenium,User,False,4402,30,30,30,28,53,22,False
matkoch,4,https://github.com/matkoch,User,False,4236,30,30,30,30,338,434,False
MaxKoll,4,https://github.com/MaxKoll,User,False,2479,21,11,3,6,0,2,False
BrianFreemanAtlanta,4,https://github.com/BrianFreemanAtlanta,User,False,3981,30,30,28,30,5,0,False
m35,4,https://github.com/m35,User,False,5263,8,7,19,30,23,494,False
mwerle,4,https://github.com/mwerle,User,False,5118,30,30,30,30,13,28,False
antis81,4,https://github.com/antis81,User,False,5239,30,30,30,30,15,4,False
NoahLerner,4,https://github.com/NoahLerner,User,False,3213,0,0,0,15,3,1,False
sc68cal,4,https://github.com/sc68cal,User,False,5191,0,0,0,30,72,11,False
TanukiSharp,4,https://github.com/TanukiSharp,User,False,4341,0,0,0,30,23,47,False
SlugFiller,4,https://github.com/SlugFiller,User,False,4177,0,0,0,11,2,22,False
anrichter,3,https://github.com/anrichter,User,False,5793,0,0,0,26,24,39,False
tomasdeml,3,https://github.com/tomasdeml,User,False,4152,0,0,0,30,6,33,False
vmeurisse,3,https://github.com/vmeurisse,User,False,4775,0,0,0,30,7,60,False
swansontec,3,https://github.com/swansontec,User,False,5393,0,0,0,30,74,20,False
aivanov-oneinc,3,https://github.com/aivanov-oneinc,User,False,2803,0,0,0,17,2,0,False
bookman25,3,https://github.com/bookman25,User,False,3972,30,30,26,1,3,0,False
diegoaossas,3,https://github.com/diegoaossas,User,False,4443,19,9,1,10,1,0,False
keco2,3,https://github.com/keco2,User,False,1531,4,3,0,3,0,0,False
Yiabiten,3,https://github.com/Yiabiten,User,False,4235,19,16,1,7,32,5,False
nyankoframe,3,https://github.com/nyankoframe,User,False,1655,5,3,5,2,0,0,False
Quppa,3,https://github.com/Quppa,User,False,4571,30,23,25,27,8,18,False
cryham,3,https://github.com/cryham,User,False,5062,29,22,30,30,37,122,False
manishkungwani,3,https://github.com/manishkungwani,User,False,5087,13,8,15,30,13,6,False
poiru,3,https://github.com/poiru,User,False,4787,30,30,30,30,145,116,False
Carl-Hugo,3,https://github.com/Carl-Hugo,User,False,4119,30,30,30,30,115,60,False
chrisbux,3,https://github.com/chrisbux,User,False,5567,0,0,0,5,4,1,False
drauch,3,https://github.com/drauch,User,False,4729,0,0,0,26,7,0,False
fschmied,3,https://github.com/fschmied,User,False,5605,0,0,0,8,12,0,False
FisherTsai,3,https://github.com/FisherTsai,User,False,3608,0,0,0,11,0,0,False
labanskoller,3,https://github.com/labanskoller,User,False,4231,0,0,0,13,9,1,False
lekhmanrus,3,https://github.com/lekhmanrus,User,False,4485,0,0,0,30,19,3,False
NickPolyder,3,https://github.com/NickPolyder,User,False,3984,0,0,0,23,29,4,False
NN---,3,https://github.com/NN---,User,False,5138,0,0,0,30,25,5,False
Pavuucek,3,https://github.com/Pavuucek,User,False,4818,0,0,0,2,0,1,False
matyasbach,3,https://github.com/matyasbach,User,False,4092,0,0,0,7,1,1,False
shivan,3,https://github.com/shivan,User,False,4638,0,0,0,30,5,17,False
leorohr,3,https://github.com/leorohr,User,False,4839,19,17,30,7,6,2,False
IvanSterkhov,3,https://github.com/IvanSterkhov,User,False,1027,0,0,0,5,0,0,False
bmeverett,2,https://github.com/bmeverett,User,False,4350,30,30,30,30,12,0,False
DeadDuck,2,https://github.com/DeadDuck,User,False,5213,6,3,6,6,4,1,False
racecrew,2,https://github.com/racecrew,User,False,3291,5,3,1,3,4,3,False
GardenTools,2,https://github.com/GardenTools,User,False,4495,19,15,7,10,1,9,False
alberto-chiesa,2,https://github.com/alberto-chiesa,User,False,5120,5,4,6,17,4,12,False
