PR ID,Title,Description,State,Created At,Closed At,Merged At,Labels,Base Branch,Head Branch,Files Changed,Lines Added,Lines Deleted,Commits,Comments,Review Comments,Reviewers,Review States,Draft Status,Linked Issues
12201,Git config,"Draft because based on #12185

Fixes #4389

## Proposed changes

- Remove `IConfigFileSettings` including its implementation so that GE does not rewrite git config files any longer
- Instead, use ""git config"" commands (with caching) for reading and writing git config settings
  using `IGitModule`:
  - `GetEffectiveSetting`
  - `GetEffectiveSetting<T>`
  - `GetSettings(string setting)` (for multi-value settings, kept existing sub-optimal name)
  - `SetSetting`
  - `UnsetSetting`
- Provide new API in `IGitModule`:
  - `GetAllLocalSettings`
  - `InvalidateGitSettings`
  - `RemoveConfigSection`
- Remove API:
  - from `IGitModule`:
    - `GetSetting` (kept, but declared ""deprecated"", redirected to `GetEffectiveSetting`)
    - `GetSetting<T>` (unused)
    - `GetGitSetting`
    - `GetEffectiveGitSetting`
    - `EffectiveConfigFile`
    - `LocalConfigFile`
  - from`IGitRef`
    - `GetTrackingRemote` & `GetMergeWith` (redundant to existing properties)

(Review commit by commit is recommended.)

## Screenshots <!-- Remove this section if PR does not change UI -->

N/A

## Test methodology <!-- How did you ensure quality? -->

- existing tests (with adaptations)
- TODO: tests with WSL

## Please do not squash merge

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).",open,2025-02-17T21:02:50Z,,,,master,git_config,30,1012,594,30,0,0,,,True,https://api.github.com/repos/gitextensions/gitextensions/issues/12201
12200,feat: Display autostash in RevisionGrid,"## Proposed changes

- Create a `GitRevision` from information about autostash in `.git/rebase-merge` folder  

## Screenshots <!-- Remove this section if PR does not change UI -->

### Before

![image](https://github.com/user-attachments/assets/3597b92f-1eb3-44db-ab21-8a2c31ec66da)

### After

![image](https://github.com/user-attachments/assets/219137dc-d5d9-4616-9289-5d500aa4bf06)

## Test methodology <!-- How did you ensure quality? -->

- manual

## Merge strategy

<!-- Change the following if the merge strategy should be changed:
- Squash merge (maintainer to decide merge message, PR submitter should cleanup commits/messages at PR approval).
- Rebase merge (PR submitter must change the commit message for the last commit).
- Merge commit. (PR submitter to rebase and squash before merges).
- To be decided later.
The maintainer may still request the contributor to squash and rebase, to make sure that merges and commit messages are clarified.
-->

I agree that the maintainer squash merge this PR (if the commit message is clear).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).",open,2025-02-17T20:44:15Z,,,,master,feature/autostash,1,35,0,2,0,1,"gerhardol, RussKie, mstv, mstv","COMMENTED, COMMENTED, COMMENTED, COMMENTED",False,https://api.github.com/repos/gitextensions/gitextensions/issues/12200
12198,Handle exceptions,"Fixes ""unhandled exception"" popup (repeatedly seen on `OperationCanceledException` in test execution)

## Proposed changes

- Wrap handler code with `TaskManager.HandleExceptions(..., Application.OnThreadException)`

## Screenshots <!-- Remove this section if PR does not change UI -->

N/A

## Test methodology <!-- How did you ensure quality? -->

- run the tests

## Merge strategy

<!-- Change the following if the merge strategy should be changed:
- Squash merge (maintainer to decide merge message, PR submitter should cleanup commits/messages at PR approval).
- Rebase merge (PR submitter must change the commit message for the last commit).
- Merge commit. (PR submitter to rebase and squash before merges).
- To be decided later.
The maintainer may still request the contributor to squash and rebase, to make sure that merges and commit messages are clarified.
-->

I agree that the maintainer squash merge this PR (if the commit message is clear).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).",closed,2025-02-15T23:11:10Z,2025-02-16T12:21:54Z,2025-02-16T12:21:54Z,,master,fix/handle_exceptions,6,54,45,2,0,1,"copilot-pull-request-reviewer[bot], RussKie, gerhardol","COMMENTED, APPROVED, APPROVED",False,https://api.github.com/repos/gitextensions/gitextensions/issues/12198
12197,refactor: convert to .net6 argument null check syntax,"
## Test methodology <!-- How did you ensure quality? -->

- Manual (normally nothing changed)

## Merge strategy

<!-- Change the following if the merge strategy should be changed:
- Squash merge (maintainer to decide merge message, PR submitter should cleanup commits/messages at PR approval).
- Rebase merge (PR submitter must change the commit message for the last commit).
- Merge commit. (PR submitter to rebase and squash before merges).
- To be decided later.
The maintainer may still request the contributor to squash and rebase, to make sure that merges and commit messages are clarified.
-->

I agree that the maintainer squash merge this PR (if the commit message is clear).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).
",closed,2025-02-15T14:48:17Z,2025-02-15T16:55:39Z,2025-02-15T16:55:39Z,,master,refactor/null_check,30,44,177,1,0,0,mstv,APPROVED,False,https://api.github.com/repos/gitextensions/gitextensions/issues/12197
12196,"fix(diff): fix switch back to ""Patch"" diff appearence","Fixes #12193

## Test methodology <!-- How did you ensure quality? -->

- Manual

## Merge strategy

<!-- Change the following if the merge strategy should be changed:
- Squash merge (maintainer to decide merge message, PR submitter should cleanup commits/messages at PR approval).
- Rebase merge (PR submitter must change the commit message for the last commit).
- Merge commit. (PR submitter to rebase and squash before merges).
- To be decided later.
The maintainer may still request the contributor to squash and rebase, to make sure that merges and commit messages are clarified.
-->

I agree that the maintainer squash merge this PR (if the commit message is clear).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).
",closed,2025-02-15T14:36:21Z,2025-02-16T12:22:36Z,2025-02-16T12:22:36Z,,master,fix/diff_switch_to_patch,1,1,1,1,0,0,"RussKie, gerhardol","APPROVED, APPROVED",False,https://api.github.com/repos/gitextensions/gitextensions/issues/12196
12194,fix: prevent double call to SetGitModule on repo change,"`SetGitModule` is already call in `StartToolStripMenuItem.repositoryHistoryUIService_GitModuleChanged()` registered with `FormBrowse.cs@770`:
`fileToolStripMenuItem.GitModuleChanged += new System.EventHandler<GitModuleEventArgs>(SetGitModule);`


## Test methodology <!-- How did you ensure quality? -->

- Manual

## Test environment(s) <!-- Remove any that don't apply -->

- GIT <!-- Add version 2.11 or above -->
- Windows <!-- Add version 7 SP1 or above -->

<!-- Mention language, UI scaling, or anything else that might be relevant -->

## Merge strategy

<!-- Change the following if the merge strategy should be changed:
- Squash merge (maintainer to decide merge message, PR submitter should cleanup commits/messages at PR approval).
- Rebase merge (PR submitter must change the commit message for the last commit).
- Merge commit. (PR submitter to rebase and squash before merges).
- To be decided later.
The maintainer may still request the contributor to squash and rebase, to make sure that merges and commit messages are clarified.
-->

I agree that the maintainer squash merge this PR (if the commit message is clear).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).
",closed,2025-02-14T13:07:17Z,2025-02-17T10:18:38Z,2025-02-17T10:18:38Z,,master,fix/prevent_double_setgitmodule_call,1,0,7,1,1,2,"RussKie, mstv","APPROVED, APPROVED",False,https://api.github.com/repos/gitextensions/gitextensions/issues/12194
12192,feat(BackgroundFetchPlugin): Add option to fetch on repo opening,"Fixes #6457

Note: the fetching is not ""immediate"" because the background fetch is waiting that no git process is running but should be triggered quickly enough so that user hardly noticed.

<!-- Please read CONTRIBUTING.md before submitting a pull request -->

## Screenshots <!-- Remove this section if PR does not change UI -->

### Before

<!-- TODO -->

### After

![image](https://github.com/user-attachments/assets/64d47e01-f995-4a65-907f-14355a16f480)

## Test methodology <!-- How did you ensure quality? -->

- Manual

## Test environment(s) <!-- Remove any that don't apply -->

- Git Extensions 33.33.33
- Build c16f47d4fbe4a8c415888267a013405c6b99465c (Dirty)
- Git 2.47.0.windows.1
- Microsoft Windows NT 10.0.26100.0
- .NET 8.0.12
- DPI 96dpi (no scaling)
- Portable: False
- Microsoft.WindowsDesktop.App Versions

```
    Microsoft.WindowsDesktop.App 8.0.12 [C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App]
    Microsoft.WindowsDesktop.App 9.0.1 [C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App]
```

## Merge strategy

<!-- Change the following if the merge strategy should be changed:
- Squash merge (maintainer to decide merge message, PR submitter should cleanup commits/messages at PR approval).
- Rebase merge (PR submitter must change the commit message for the last commit).
- Merge commit. (PR submitter to rebase and squash before merges).
- To be decided later.
The maintainer may still request the contributor to squash and rebase, to make sure that merges and commit messages are clarified.
-->

I agree that the maintainer squash merge this PR (if the commit message is clear).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).
",open,2025-02-13T17:38:41Z,,,,master,feat/backgroundfetch_fetchOnRepoOpening,2,99,82,3,1,2,"PhilipMilestone, PhilipMilestone, RussKie, pmiossec, pmiossec, mstv, pmiossec, gerhardol, PhilipMilestone, pmiossec","COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED",False,https://api.github.com/repos/gitextensions/gitextensions/issues/12192
12189, feat: bold-bold ansi terminal colors,"## Proposed changes

- fix: MakeBackgroundDarkerBy for colors instead of known names
To simplify a few changes

- feat: bold-bold ansi terminal colors

Some terminals allow bold-bold colors.
For instance Difftastic emits this in dark mode.

Handle dark mode for ansi default text color.

Add a way to generate AnsiTerminalColors.diff,
to display the terminal colors.
(Requires commenting out code.)

Note: I ended up proposing another solution for dark mode other than bold-bold.

## Screenshots <!-- Remove this section if PR does not change UI -->

There are no diff for normal output, but the bold-bold is displayed and the ""test file"" is updated.
The bold-bold were not visible before

### Before

![image](https://github.com/user-attachments/assets/bb3d64c4-f9f3-4dd0-8f87-8bc937cdb1d8)

![image](https://github.com/user-attachments/assets/ecb4ca31-6229-4a63-b0fe-e6b662654fc6)

### After

![image](https://github.com/user-attachments/assets/a194cad3-37cb-4c95-9621-7117d8f2a438)

## Test methodology <!-- How did you ensure quality? -->

Added tests, also for existing

## Merge strategy

- Rebase merge (PR submitter must change the commit message for the last commit).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).
",open,2025-02-09T22:11:16Z,,,,master,feature/ansi-bold-bold,7,277,55,2,2,1,mstv,APPROVED,False,https://api.github.com/repos/gitextensions/gitextensions/issues/12189
12185,fix(git config settings pages): Add system-wide settings,"Fixes #10914
Fixes #11764

## Proposed changes

- Get git settings using `git config list` in order to correctly display effective settings
- Display effective settings read-only (in order to make users explicitly decide in which scope to configure git)
- Display system-wide settings (read-only)
- Add advanced git config ""merge.autostash""
- Several refactorings:
  - Extract `IPersistentConfigValueStore` from `IConfigFileSettings`
  - Remove `SettingsSourceExtension.ByPath`
  - Rename to `GitConfigSettingsSet` and to `GitConfigBaseSettingsPage`
  - Add `GitConfig/DistributedSettingsSet.Save`
  - Extract `GitEncodingSettings` from `ConfigFileSettings`

Review commit by commit is recommended.

## Screenshots <!-- Remove this section if PR does not change UI -->

### Before

![image](https://github.com/user-attachments/assets/fd130bb1-d168-4d43-8d2e-910ffbac6cb1)

### After

![image](https://github.com/user-attachments/assets/342b9208-d3db-46c1-baef-6e293d263715)

## Test methodology <!-- How did you ensure quality? -->

- manual

## Please do not squash merge

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).",open,2025-02-08T22:51:35Z,,,,master,fix/i10914_system_config,30,775,334,23,5,1,"pmiossec, pmiossec, mstv, RussKie, mstv, mstv, mstv, mstv, RussKie, pmiossec","COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED, COMMENTED",False,https://api.github.com/repos/gitextensions/gitextensions/issues/12185
12184,fix(reset):Fix reset unstaged changes of a new file already partly staged,"
Fixes #11391

## Screenshots <!-- Remove this section if PR does not change UI -->

### Before

<!-- TODO -->

### After

<!-- TODO -->

## Test methodology <!-- How did you ensure quality? -->

- Manual

## Test environment(s) <!-- Remove any that don't apply -->

- Git Extensions 33.33.33
- Build 9e9082cc28af498ef4d3ce5ce314a7a53b0d626e (Dirty)
- Git 2.47.0.windows.1
- Microsoft Windows NT 10.0.26100.0
- .NET 8.0.12
- DPI 96dpi (no scaling)
- Portable: False
- Microsoft.WindowsDesktop.App Versions

```
    Microsoft.WindowsDesktop.App 8.0.12 [C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App]
    Microsoft.WindowsDesktop.App 9.0.1 [C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App]
```

## Merge strategy

<!-- Change the following if the merge strategy should be changed:
- Squash merge (maintainer to decide merge message, PR submitter should cleanup commits/messages at PR approval).
- Rebase merge (PR submitter must change the commit message for the last commit).
- Merge commit. (PR submitter to rebase and squash before merges).
- To be decided later.
The maintainer may still request the contributor to squash and rebase, to make sure that merges and commit messages are clarified.
-->

I agree that the maintainer squash merge this PR (if the commit message is clear).

----

:black_nib: I contribute this code under [The Developer Certificate of Origin](../blob/master/contributors.txt).
",open,2025-02-07T17:57:48Z,,,,master,fix_reset_staged_new_file,1,1,1,1,4,1,RussKie,COMMENTED,False,https://api.github.com/repos/gitextensions/gitextensions/issues/12184
