Contributor ID,Contributor Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
MayureshMore,3166,30,2,3,30,2,0,False
CoreyHayward,1600,11,9,7,11,10,300,False
OldUser101,1763,6,3,8,19,0,1,False
OldUser101,1763,6,3,8,19,0,1,False
wang563681252,2662,1,0,0,17,0,1,False
lei9444,2455,30,30,30,9,3,2,False
8LWXpg,1007,30,30,30,30,12,383,False
haoliuu,4051,2,1,0,6,3,1,False
cinnamon-msft,2172,30,30,30,10,658,70,False
8LWXpg,1007,0,0,0,30,12,383,False
moooyo,2385,0,0,0,29,5,3,False
daverayment,3975,0,0,0,17,3,4,False
PesBandi,709,0,0,0,10,1,4,False
daverayment,3975,30,26,30,17,3,4,False
jaimecbernardo,2909,30,30,30,30,105,14,False
xanatos,5010,23,15,30,9,7,20,False
drawbyperpetual,867,30,27,5,3,1,0,False
mantaionut,938,30,10,7,14,2,6,False
drawbyperpetual,867,30,27,5,3,1,0,False
cgaarden,3455,16,12,2,3,13,0,False
PesBandi,709,30,30,30,10,1,4,False
drawbyperpetual,867,30,27,5,3,1,0,False
donlaci,1932,30,30,5,3,3,0,False
Youssef1313,2733,0,0,0,30,363,6,True
drawbyperpetual,867,0,0,0,3,1,0,False
mikeclayton,4844,0,0,0,16,22,29,False
Odotocodot,2179,0,0,0,6,5,23,False
hlaueriksson,4794,0,0,0,30,77,556,False
donlaci,1932,0,0,0,3,3,0,False
PesBandi,709,0,0,0,10,1,4,False
