Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
crutkas,794,https://github.com/crutkas,User,False,4743,30,30,30,11,597,43,True
bao-qian,680,https://github.com/bao-qian,User,False,4854,30,30,30,16,535,114,False
qianlifeng,507,https://github.com/qianlifeng,User,False,4665,4,3,30,30,305,61,False
jaimecbernardo,403,https://github.com/jaimecbernardo,User,False,2909,30,30,30,30,104,14,False
yuyoyuppe,338,https://github.com/yuyoyuppe,User,False,4637,30,30,30,30,99,33,False
jjw24,334,https://github.com/jjw24,User,False,2895,30,30,30,30,125,172,False
stefansjfw,302,https://github.com/stefansjfw,User,False,1939,30,30,30,16,45,1,False
SeraphimaZykova,249,https://github.com/SeraphimaZykova,User,False,3794,30,30,30,8,66,2,False
davidegiacometti,238,https://github.com/davidegiacometti,User,False,2916,30,30,30,17,101,269,False
niels9001,233,https://github.com/niels9001,User,False,3741,30,30,30,30,348,187,False
alekhyareddy28,200,https://github.com/alekhyareddy28,User,False,2833,0,0,0,6,51,2,False
enricogior,198,https://github.com/enricogior,User,False,4423,0,0,0,10,65,4,False
csigs,172,https://github.com/csigs,User,False,3470,0,0,0,6,53,3,True
arjunbalgovind,162,https://github.com/arjunbalgovind,User,False,2708,0,0,0,2,12,1,False
ryanbodrug-microsoft,150,https://github.com/ryanbodrug-microsoft,User,False,1958,0,0,0,3,4,0,False
orzFly,113,https://github.com/orzFly,User,False,5561,0,0,0,30,320,86,False
htcfreek,110,https://github.com/htcfreek,User,False,1817,0,0,0,13,89,57,False
ivan100sic,100,https://github.com/ivan100sic,User,False,3770,0,0,0,30,30,13,False
dsrivastavv,99,https://github.com/dsrivastavv,User,False,3656,30,30,30,13,16,27,False
dend,97,https://github.com/dend,User,False,4767,30,30,30,18,448,1716,False
mykhailopylyp,91,https://github.com/mykhailopylyp,User,False,3294,30,30,30,12,7,3,False
