PR ID,Title,Description,State,Created At,Closed At,Merged At,Labels,Base Branch,Head Branch,Files Changed,Lines Added,Lines Deleted,Commits,Comments,Review Comments,Reviewers,Review States,Draft Status,Linked Issues
37491,[PTRun] Allow preventing selected result data retrieval,"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request
Implement an additional functionality on the Result model allowing the prevention of selected count retrieval.

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [x] **Closes:** #36519 
- [x] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [ ] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments
This PR adds an additional property to the `Result.cs` model which allows for disabling the functionality which fetches the `SelectedCount` data from PowerToys. This enables the ability for plugins to prevent the `SelectedCount` property from being populated for individual results meaning that the sort order can be manipulated as desired by the Plugin giving more control back to the plugin developers.
<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed

",open,2025-02-16T17:26:02Z,,,,main,feature/36519-allow-preventing-selected-data-retrieval,2,7,1,1,0,1,htcfreek,COMMENTED,False,https://api.github.com/repos/microsoft/PowerToys/issues/37491
37475,PowerToys Run Calculator: Add trigonometric angle unit conversion functions,"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request
Added a function to the PowerToys Run calculator plugin to allow for a value to be treated as a certain angle unit. For example,  in `rad(pi / 2)`, `pi / 2` is treated as being in radians, which need converting to the user selected unit.
<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [x] **Closes:** #37434 
- [ ] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [x] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments
Added conversion functions for the PowerToys Run Calculator plugin. This allows the use of `rad`, `deg`, and `grad` to specify how to interpret a value. For example, `rad(pi / 2)` would treat the value `pi / 2` as being in radians, and convert it to the angle unit currently selected as default in the settings, by prepending the mathematical conversion (e.g. `(180 / pi) *`). This allows for quick conversions between the different angle units.

<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed
Tests have been written, and all pass.
",open,2025-02-15T08:09:18Z,,,,main,_PTRunCalculator37434,3,135,4,3,0,0,,,False,https://api.github.com/repos/microsoft/PowerToys/issues/37475
37466,Use system default web browser when opening links through Monaco in RegistryPreview,"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request
Open the system default web browser when clicking links in Monaco in the Registry Preview editor. 
The system web browser opens instead of the seperate WebView2 window.

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [x] **Closes:** #37447
- [ ] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [ ] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments
Handled the `CoreWebView2.NewWindowRequested` event to open the system default web browser rather than a seperate WebView2 window when clicking links in the Monaco editor that it built in to Registry Preview.

<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed
Opens the default web browser selected through Windows Settings when clicking links in the Registry Preview editor.
",open,2025-02-14T19:13:43Z,,,Needs-Review,main,_RegistryPreview37447,3,52,0,2,3,0,,,False,https://api.github.com/repos/microsoft/PowerToys/issues/37466
37461,UITestAutomation Framework,"UITestAutomation Framework Setup
This pull request introduces a new UI test framework for PowerToys and includes several significant changes to the solution file and the addition of new classes for UI testing. The most important changes are summarized below:

### UI Test Framework Files:
* [`doc/devdocs/UITests.md`](diffhunk://#diff-4377a1575c1b316df0ad5d000e83d8599b5897f01f961b68b5e2fa3eca232609R1-R77): Added documentation for the new UI test framework, including instructions on setting up, running tests, and writing new UI tests.
* [`src/common/UITestAutomation/Element/Button.cs`](diffhunk://#diff-e91c65929fb7a0929ba2899f200d722108ce01f58ca8bfdc33237bb5337845a6R1-R28): Added a `Button` class to represent button elements in the UI tests.
* [`src/common/UITestAutomation/Element/By.cs`](diffhunk://#diff-8d80806b647dae1bed414a6bd21e39a2ec9e4cd798069e66cd6ea589a353906eR1-R36): Added a `By` class as a wrapper around `OpenQA.Selenium.By` to facilitate element selection in UI tests.
* [`src/common/UITestAutomation/Element/Element.cs`](diffhunk://#diff-7100e7131789b3028a86cf2c0bc223f66b8633182d044c839271065bb311ce2cR1-R104): Added an `Element` class to represent basic UI elements and provide common operations like clicking, getting attributes, and finding child elements.
* [`src/common/UITestAutomation/Element/FindElementHelper.cs`](diffhunk://#diff-3b3f4b6c899c4080903b236271f5cf9e04d02391673ab2e1b145985f6e132279R1-R66): Added a `FindElementHelper` class to assist in finding elements with specified conditions.
* [`src/common/UITestAutomation/Element/Window.cs`](diffhunk://#diff-eb0f7fb26d56b305fec8d515c0db3a9ee47e15aea0aa2495441ea642845729daR1-R49): Added a `Window` class to represent window elements and provide operations like maximize, minimize, restore, and close.
* [`src/common/UITestAutomation/ModuleConfigData.cs`](diffhunk://#diff-4102bf2a781d8ecc2c55ba72573117863b94a01860e21c7ac013f76f24962e65R1-R81): Added a `ModuleConfigData` class to store configuration data for PowerToys modules and windows.
* [`src/common/UITestAutomation/Session.cs`](diffhunk://#diff-5bb9c8f423afc54b5ad5efd4a530027f691a770d449697a6027a1468e7a20e7bR1-R89): Added a `Session` class to manage the WinAppDriver session and provide interfaces for element interactions.
",open,2025-02-14T12:41:20Z,,,,main,zhaopengwang/UITestAutomation,16,777,53,10,7,1,"github-advanced-security[bot], copilot-pull-request-reviewer[bot]","COMMENTED, COMMENTED",False,https://api.github.com/repos/microsoft/PowerToys/issues/37461
37455,[CI] fix: Use Azure CLI for artifact download to prevent OutOfMemory issues,"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request
**PR Description:**  

This PR follows up on [[#37403](https://github.com/microsoft/PowerToys/pull/37403)], which provided a quick fix for OutOfMemory issues when downloading artifacts on ARM agents.  

### Changes in this PR:  
1. **Use Azure CLI for artifact download** – Since the agent lacks the required environment, use the Azure CLI ZIP, which includes Python.
2. **Revert filtering of certain PDB files** – The OneFuzz pipeline requires these files, so the previous filtering changes have been reverted.  

**Tested in the pipeline and confirmed working successfully.**  
![image](https://github.com/user-attachments/assets/0c85b2af-5ceb-438b-8c79-4acbbda58d59)

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [ ] **Closes:** #xxx
- [ ] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [ ] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments

<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed

",open,2025-02-14T08:40:39Z,,,,main,leilzh/azcli,3,41,27,30,4,1,"github-advanced-security[bot], DHowett, DHowett, lei9444, github-advanced-security[bot]","COMMENTED, COMMENTED, CHANGES_REQUESTED, COMMENTED, COMMENTED",False,https://api.github.com/repos/microsoft/PowerToys/issues/37455
37452,[PTRun][Docs] Add RemoteDesktopUWP to Third-Party plugins,"## Summary of the Pull Request

Add [RemoteDesktopUWP](https://github.com/8LWXpg/PowerToysRun-RemoteDesktopUWP) to Third-Party plugins.",open,2025-02-14T03:10:40Z,,,,main,thirdPartyPlugins,1,1,0,2,0,0,"htcfreek, htcfreek","COMMENTED, APPROVED",False,https://api.github.com/repos/microsoft/PowerToys/issues/37452
37441,PowerToys Run Calculator: Add trigonometric angle unit conversion functions,"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [x] **Closes:** #37434
- [ ] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [x] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments
Added conversion functions for the PowerToys Run Calculator plugin. This allows the use of `rad`, `deg`, and `grad` to specify how to interpret a value. For example, `rad(pi / 2)` would treat the value `pi / 2` as being in radians, and convert it to the angle unit currently selected as default in the settings, by prepending the mathematical conversion (e.g. `(180 / pi) *`). This allows for quick conversions between the different angle units.
<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed
Tests have been written, and all pass.

",closed,2025-02-13T16:30:45Z,2025-02-15T08:02:12Z,,,main,_PTRunCalculator37434,3,135,4,14,3,0,,,False,https://api.github.com/repos/microsoft/PowerToys/issues/37441
37432,delete a test method,"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [ ] **Closes:** #xxx
- [ ] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [ ] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments

<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed

",open,2025-02-13T08:47:10Z,,,Needs-Author-Feedback,main,user/xiaofengwang/test_ui_test_pipeline,1,0,6,1,4,0,,,True,https://api.github.com/repos/microsoft/PowerToys/issues/37432
37427,[KeyboardManager WinUI3] Create WinUI3 project and wrapper for Keyboard Manager Editor,"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request
Initial PR to create placeholder projects for the Keyboard Manager WinUI3 C#/XAML migration. No impact to current software UX.

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments

1. Set up the `KeyboardManagerEditorUI` project for the WinUI3 C#/XAML Editor UI.
2. Create C++ DLL Wrapper project `KeyboardManagerEditorLibraryWrapper` to decouple the WinUI3 rendering code from the backscene logic in current WinUI2 code. This is to leverage the current Library without affecting existing logic, ensuring a safe rollout and facilitating future WinUI2 code migration/clean up.
3. Enable C# `logging` for the WinUI3 Editor.
4. Add a mock registry value `UseNewEditor` for the A/B editor switcher to make sure upcoming port work does not impact any existing user experiences. This registry value is intended for development purpose only and doesn't exist in the system. Once the migration is complete, we can remove this dev registry and use the PowerToys experimentation toggle for a safe release.

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [x] **Closes:** #2027
- [ ] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [ ] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx



<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed
The new WinUI3 Editor window can be launched via the SettingsUI.

![WinUI3Editor](https://github.com/user-attachments/assets/ac463030-db58-452d-ad11-676efa6ca612)
",open,2025-02-13T04:46:19Z,,,Needs-Review,main,dev/haoliuu/kbmwin3,19,694,1,11,0,0,,,False,https://api.github.com/repos/microsoft/PowerToys/issues/37427
37417,"Remove ""new"" label from ZoomIt","<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request

ZoomIt won't be ""new"" in 0.89, so we should remove the labels :)

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [ ] **Closes:** #xxx
- [ ] **Communication:** I've discussed this with core contributors already. If work hasn't been agreed, this work might be rejected
- [ ] **Tests:** Added/updated and all pass
- [ ] **Localization:** All end user facing strings can be localized
- [ ] **Dev docs:** Added/updated
- [ ] **New binaries:** Added on the required places
   - [ ] [JSON for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ESRPSigning_core.json) for new binaries
   - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries and localization folder
   - [ ] [YML for CI pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/ci/templates/build-powertoys-steps.yml) for new test projects
   - [ ] [YML for signed pipeline](https://github.com/microsoft/PowerToys/blob/main/.pipelines/release.yml)
- [ ] **Documentation updated:** If checked, please file a pull request on [our docs repo](https://github.com/MicrosoftDocs/windows-uwp/tree/docs/hub/powertoys) and link it here: #xxx

<!-- Provide a more detailed description of the PR, other things fixed or any additional comments/features here -->
## Detailed Description of the Pull Request / Additional comments

<!-- Describe how you validated the behavior. Add automated tests wherever possible, but list manual validation steps taken as well -->
## Validation Steps Performed

",open,2025-02-12T17:53:47Z,,,,main,cinnamon/remove-new,2,1,9,1,1,0,crutkas,APPROVED,False,https://api.github.com/repos/microsoft/PowerToys/issues/37417
