Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
ichernev,1363,https://github.com/ichernev,User,False,5043,30,30,30,30,317,15,False
timrwood,807,https://github.com/timrwood,User,False,5101,30,30,30,30,343,107,True
icambron,220,https://github.com/icambron,User,False,5421,30,30,30,30,216,76,True
marwahaha,101,https://github.com/marwahaha,User,False,4510,30,30,30,30,161,0,True
TracyGJG,35,https://github.com/TracyGJG,User,False,4305,19,6,19,30,14,3,False
mattjohnsonpint,31,https://github.com/mattjohnsonpint,User,False,4764,30,30,30,30,402,33,False
ashsearle,31,https://github.com/ashsearle,User,False,4855,30,30,17,30,12,21,False
caillou,23,https://github.com/caillou,User,False,5876,30,30,30,30,148,30,False
mbad0la,20,https://github.com/mbad0la,User,False,3833,30,30,30,30,158,243,False
Xotic750,17,https://github.com/Xotic750,User,False,5463,30,30,30,30,49,13,False
nrbgt,16,https://github.com/nrbgt,User,False,3931,30,30,30,30,18,7,False
Alanscut,16,https://github.com/Alanscut,User,False,3104,30,30,30,30,72,8,False
kruyvanna,14,https://github.com/kruyvanna,User,False,4853,16,9,30,30,107,1,False
jbleduigou,14,https://github.com/jbleduigou,User,False,4735,30,30,30,30,26,4,False
mergehez,12,https://github.com/mergehez,User,False,3330,16,6,11,30,15,82,False
mrtnjrrtt,12,https://github.com/mrtnjrrtt,User,False,4360,10,6,1,4,1,0,False
weldan,12,https://github.com/weldan,User,False,5647,12,7,4,30,65,16,False
timfish,12,https://github.com/timfish,User,False,4863,30,30,30,30,61,82,False
vnathalye,11,https://github.com/vnathalye,User,False,3460,6,2,5,6,0,0,False
kkopanidis,11,https://github.com/kkopanidis,User,False,3783,30,30,26,13,29,1,False
wi-ski,10,https://github.com/wi-ski,User,False,3575,30,25,23,30,25,0,False
maggiepint,9,https://github.com/maggiepint,User,False,4098,30,30,30,30,293,3,True
mdxs,9,https://github.com/mdxs,User,False,4867,30,30,30,30,28,1,False
eternicode,8,https://github.com/eternicode,User,False,5339,27,19,30,21,195,68,False
vajradog,7,https://github.com/vajradog,User,False,4359,30,30,0,30,4,5,False
szelga,7,https://github.com/szelga,User,False,4647,25,12,30,23,0,2,False
raphamorim,7,https://github.com/raphamorim,User,False,4381,30,30,30,30,2019,1733,False
alexstrat,7,https://github.com/alexstrat,User,False,5078,30,30,30,30,61,39,False
ianwremmel,7,https://github.com/ianwremmel,User,False,4848,30,30,30,30,29,22,False
fbonzon,7,https://github.com/fbonzon,User,False,4878,30,30,30,9,25,1,False
DamianFekete,7,https://github.com/DamianFekete,User,False,5578,22,17,30,30,15,0,False
nusretparlak,6,https://github.com/nusretparlak,User,False,2914,3,0,0,5,0,0,False
jeeeyul,6,https://github.com/jeeeyul,User,False,4949,4,4,30,30,74,951,False
mar-chi-pan,6,https://github.com/mar-chi-pan,User,False,4825,7,5,1,6,4,4,False
ypomortsev,6,https://github.com/ypomortsev,User,False,4992,30,29,24,7,61,17,False
WikiDiscoverer,6,https://github.com/WikiDiscoverer,User,False,2940,10,5,0,3,0,0,False
tcarlsen,6,https://github.com/tcarlsen,User,False,5591,30,30,30,30,37,225,False
sigurdga,6,https://github.com/sigurdga,User,False,5668,26,15,30,30,96,741,False
rockymeza,6,https://github.com/rockymeza,User,False,6019,30,30,30,30,76,30,False
jisaacks,6,https://github.com/jisaacks,User,False,4777,30,30,30,30,231,126,False
guybedford,6,https://github.com/guybedford,User,False,5127,30,30,30,30,1834,46,False
dandv,6,https://github.com/dandv,User,False,5942,30,30,30,30,672,1,False
wyantb,6,https://github.com/wyantb,User,False,5058,30,27,30,28,13,77,False
flugg,6,https://github.com/flugg,User,False,4808,30,29,30,30,40,877,False
fduch2k,6,https://github.com/fduch2k,User,False,5297,30,20,12,30,12,2,False
FourwingsY,5,https://github.com/FourwingsY,User,False,4399,30,30,30,30,32,16,False
skakz,5,https://github.com/skakz,User,False,4508,1,0,2,0,0,0,False
vroy,5,https://github.com/vroy,User,False,6163,30,23,30,30,68,47,False
ibnesayeed,5,https://github.com/ibnesayeed,User,False,5812,30,30,30,30,113,14,False
robgallen,5,https://github.com/robgallen,User,False,4162,9,7,11,16,3,28,False
petrbela,5,https://github.com/petrbela,User,False,5088,30,30,30,30,81,38,False
Gobie,5,https://github.com/Gobie,User,False,5368,27,15,18,30,19,19,False
majdal,5,https://github.com/majdal,User,False,5304,17,10,30,30,58,2,False
cwohlman,5,https://github.com/cwohlman,User,False,4271,30,30,30,30,18,2,False
jonbca,5,https://github.com/jonbca,User,False,5265,21,9,14,30,16,9,False
johnnyreilly,5,https://github.com/johnnyreilly,User,False,4920,30,30,30,30,447,67,False
jasondavies,5,https://github.com/jasondavies,User,False,5956,30,30,30,30,3140,6047,False
brianwyantora,5,https://github.com/brianwyantora,User,False,3607,1,0,2,1,0,0,False
armendarabyan,5,https://github.com/armendarabyan,User,False,4860,9,7,7,25,18,0,False
kikoanis,5,https://github.com/kikoanis,User,False,5117,9,6,30,30,14,12,False
akarelas,4,https://github.com/akarelas,User,False,5252,30,30,30,30,30,2,False
sbstp,4,https://github.com/sbstp,User,False,4990,30,30,30,30,89,2526,False
sschueller,4,https://github.com/sschueller,User,False,4849,30,30,30,30,83,30,False
XueWei,4,https://github.com/XueWei,User,False,5609,13,8,15,9,8,5,False
antonellopasella,4,https://github.com/antonellopasella,User,False,5723,30,19,30,30,23,3,False
new-carrot,4,https://github.com/new-carrot,User,False,5015,2,2,4,4,8,0,False
pimterry,4,https://github.com/pimterry,User,False,4724,30,30,30,30,661,11,False
