pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
6293,9,22,0,0,0.0,open,False,False
6289,2,2,1,0,0.0,open,False,False
6288,1,1,1,0,0.0,closed,False,False
6287,1,1,1,0,0.0,closed,False,False
6284,1,1,1,0,0.0,open,False,False
6282,7,7,0,0,0.0,open,False,False
6281,42,42,1,0,0.0,open,False,False
6279,78,1,1,0,0.0,closed,False,False
6278,179,0,1,0,0.0,open,False,False
6277,28,0,3,0,0.0,closed,False,False
6276,4,4,1,0,0.0,open,False,False
6271,56,55,2,0,0.0,open,False,False
6269,9,8,1,0,0.0,open,False,False
6268,8,8,1,0,0.0,open,False,False
6266,10,10,2,0,0.0,closed,False,False
6265,593,0,1,0,0.0,open,False,False
6264,43,43,2,0,0.0,open,False,False
6258,4,4,2,0,0.0,open,False,False
6257,1,1,1,0,0.0,open,False,False
6249,14,12,2,0,0.0,open,False,False
6247,0,1,1,0,0.0,closed,False,False
6238,102,105,0,1,0.5,open,False,False
6227,16,13,1,0,0.0,open,False,False
6226,16,13,1,0,0.0,closed,False,False
6225,16,13,1,0,0.0,closed,False,False
6224,45,13,1,0,0.0,closed,False,False
6221,3,1,2,0,0.0,open,False,False
6219,2,2,0,1,1.0,closed,False,False
6218,2,2,1,0,0.0,closed,False,False
6217,4,4,3,0,0.0,open,False,False
6215,1,1,4,0,0.0,closed,False,False
6214,3,3,2,0,0.0,closed,False,False
6210,1,1,0,0,0.0,closed,False,False
6209,29,0,1,0,0.0,closed,True,True
6208,4,4,0,0,0.0,closed,False,False
6207,8,8,1,0,0.0,closed,False,False
6206,8,8,1,0,0.0,closed,False,False
6200,79,0,1,0,0.0,open,False,False
6197,13,13,1,0,0.0,open,False,False
6195,92,0,1,0,0.0,open,False,False
6193,9,1,2,0,0.0,closed,True,True
6191,8,7,3,0,0.0,closed,False,False
6187,80,0,3,0,0.0,open,False,False
6186,0,337241,1,0,0.0,closed,False,False
6185,2,2,2,0,0.0,closed,False,False
6176,0,0,4,0,0,closed,False,False
6175,128,0,2,0,0.0,open,False,False
6169,4,1,3,0,0.0,closed,False,False
6168,3,0,1,0,0.0,closed,False,False
6166,653,0,8,0,0.0,open,False,False
6164,134,0,4,0,0.0,closed,False,False
6156,2,2,2,0,0.0,closed,False,False
6155,7,0,2,0,0.0,open,False,False
6152,131,0,2,0,0.0,closed,False,False
6151,4,4,2,0,0.0,open,False,False
6129,3,3,2,0,0.0,closed,False,False
6128,2,1,3,0,0.0,closed,False,False
6127,131,0,2,0,0.0,closed,False,False
6126,65,0,2,0,0.0,closed,False,False
6125,4,4,2,0,0.0,closed,False,False
6123,7,7,1,0,0.0,closed,False,False
6121,97,0,3,1,0.3333333333333333,closed,False,False
6110,18,8,4,0,0.0,open,False,False
6101,1,1,5,0,0.0,open,False,False
6097,4500,2753,1,0,0.0,closed,False,False
6094,2,2,2,1,1.0,open,False,False
6093,1525,2092,1,0,0.0,closed,False,False
6086,2,0,2,0,0.0,closed,False,False
6069,1,1,2,0,0.0,closed,False,False
6068,1,1,1,1,1.0,open,False,False
6067,2,2,3,0,0.0,closed,False,False
6066,586,0,9,3,0.75,open,False,False
6063,10,10,5,0,0.0,closed,False,False
6061,90,0,1,0,0.0,closed,False,False
6057,1,3,1,0,0.0,closed,False,False
6055,68,125,3,2,1.0,closed,False,False
6053,14,0,1,0,0.0,closed,False,False
6051,145,0,2,0,0.0,closed,False,False
6047,6,6,1,0,0.0,closed,False,False
6039,21,0,2,0,0.0,closed,False,False
6038,16251,9885,1,0,0.0,closed,False,False
6029,135,135,2,0,0.0,closed,False,False
6023,3,3,2,0,0.0,closed,False,False
6018,3,3,1,0,0.0,closed,False,False
6015,1,1,15,0,0.0,closed,True,True
6013,1,1,2,0,0.0,closed,False,False
6011,2,2,1,0,0.0,open,False,False
6010,204,124,0,0,0.0,closed,False,False
6006,204,124,1,0,0.0,closed,False,False
6000,8678,12,1,0,0.0,open,False,False
5997,1,1,1,0,0.0,closed,False,False
5995,3,3,3,0,0.0,closed,True,True
5993,1,1,2,0,0.0,closed,False,False
5990,1,1,1,0,0.0,closed,True,True
5987,2,1,3,0,0.0,closed,False,False
5972,74,0,3,0,0.0,closed,False,False
5971,74,0,1,0,0.0,closed,False,False
5970,74,0,10,0,0.0,closed,False,False
5968,1,1,2,0,0.0,closed,False,False
5965,15,15,4,0,0.0,closed,False,False
5959,561,0,3,0,0.0,closed,False,False
5949,703,0,3,0,0.0,closed,False,False
5943,3098,3339,4,0,0.0,closed,False,False
5934,3061,3315,9,0,0.0,closed,False,False
5932,20,5,3,0,0.0,closed,False,False
5930,3,3,1,0,0.0,closed,False,False
5924,80,0,1,0,0.0,closed,False,False
5912,4,4,2,0,0.0,open,False,False
5906,3,3,7,0,0.0,closed,False,False
5899,80,0,1,0,0.0,closed,False,False
5895,80,0,5,0,0.0,closed,False,False
5888,6,6,2,0,0.0,closed,False,False
5885,24,22,1,0,0.0,closed,False,False
5877,4,4,3,0,0.0,closed,False,False
5865,5,5,2,0,0.0,closed,False,False
5849,93,0,4,0,0.0,closed,False,False
5848,116,0,0,0,0.0,closed,False,False
5847,116,0,0,0,0.0,closed,False,False
5842,3,5,4,0,0.0,closed,False,False
5840,718,0,1,0,0.0,closed,False,False
5836,276,394,1,0,0.0,closed,True,True
5828,1,1,2,0,0.0,closed,True,True
5827,1,1,3,0,0.0,closed,False,False
5820,42,6,1,0,0.0,closed,False,False
5816,570,0,3,0,0.0,closed,False,False
5815,115,0,1,0,0.0,closed,False,False
5810,4,13,3,0,0.0,closed,False,False
5793,94,2,1,0,0.0,closed,False,False
5790,13,13,3,0,0.0,closed,False,False
5788,13,15,1,3,3.0,open,False,False
