Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
ktsaou,6274,https://github.com/ktsaou,User,False,4496,30,30,30,30,648,59,True
netdatabot,3633,https://github.com/netdatabot,User,False,2342,30,30,0,0,91,0,True
ilyam8,2138,https://github.com/ilyam8,User,False,3073,30,30,30,30,133,7,True
Ferroin,1059,https://github.com/Ferroin,User,False,4971,30,30,30,30,59,16,True
paulfantom,561,https://github.com/paulfantom,User,False,4388,0,0,0,30,0,48,False
stelfrag,536,https://github.com/stelfrag,User,False,2042,30,30,30,1,13,1,False
cakrit,400,https://github.com/cakrit,User,False,2346,30,30,30,2,23,0,False
thiagoftsm,398,https://github.com/thiagoftsm,User,False,2148,30,30,30,13,19,1,False
vlvkobal,375,https://github.com/vlvkobal,User,False,3086,30,30,30,3,43,17,False
Ancairon,276,https://github.com/Ancairon,User,False,1637,30,30,30,18,21,0,True
underhood,234,https://github.com/underhood,User,False,4021,30,30,30,6,6,8,False
dependabot[bot],234,https://github.com/apps/dependabot,Bot,False,2133,30,30,0,0,0,0,False
vkalintiris,210,https://github.com/vkalintiris,User,False,2937,0,0,0,30,5,0,False
joelhans,185,https://github.com/joelhans,User,False,4862,0,0,0,30,37,172,False
paulkatsoulakis,123,https://github.com/paulkatsoulakis,User,False,2627,0,0,0,11,10,2,False
ccremer,115,https://github.com/ccremer,User,False,3582,0,0,0,30,18,321,False
prologic,113,https://github.com/prologic,User,False,4799,0,0,0,30,633,36,False
andrewm4894,107,https://github.com/andrewm4894,User,False,4564,0,0,0,30,95,129,False
mfundul,98,https://github.com/mfundul,User,False,2310,0,0,0,2,15,1,False
tkatsoulas,98,https://github.com/tkatsoulas,User,False,3554,0,0,0,30,13,1,False
hugovalente-pm,55,https://github.com/hugovalente-pm,User,False,1409,30,30,30,6,5,9,False
amoss,48,https://github.com/amoss,User,False,4907,30,30,30,7,6,5,False
knatsakis,39,https://github.com/knatsakis,User,False,4113,30,30,30,26,19,34,False
sashwathn,38,https://github.com/sashwathn,User,False,1158,30,30,30,2,1,0,False
shyamvalsan,37,https://github.com/shyamvalsan,User,False,2969,30,30,30,30,3,3,False
alonbl,34,https://github.com/alonbl,User,False,4813,30,30,30,30,133,13,False
facetoe,33,https://github.com/facetoe,User,False,4774,30,30,30,30,48,103,False
jacekkolasa,32,https://github.com/jacekkolasa,User,False,4130,30,30,30,13,24,1,False
gmosx,30,https://github.com/gmosx,User,False,5922,30,30,30,30,133,435,False
lets00,29,https://github.com/lets00,User,False,4215,30,30,16,30,35,6,False
odyslam,28,https://github.com/odyslam,User,False,3500,30,30,30,30,444,150,False
Wing924,28,https://github.com/Wing924,User,False,3799,30,30,30,30,15,25,False
philwhineray,27,https://github.com/philwhineray,User,False,4809,30,30,30,8,36,6,False
kickoke,26,https://github.com/kickoke,User,False,3489,30,30,30,9,10,0,False
rda0,25,https://github.com/rda0,User,False,4015,24,17,30,30,13,11,False
maneamarius,24,https://github.com/maneamarius,User,False,3318,30,30,27,19,1,0,False
Dim-P,22,https://github.com/Dim-P,User,False,4111,30,25,17,4,1,1,False
Steve8291,22,https://github.com/Steve8291,User,False,3281,30,30,30,9,4,11,False
jsoref,21,https://github.com/jsoref,User,False,4575,30,30,30,30,575,26,False
rlefevre,20,https://github.com/rlefevre,User,False,4181,30,30,30,17,43,5,False
Saruspete,18,https://github.com/Saruspete,User,False,3781,30,25,30,30,64,154,False
k0ste,18,https://github.com/k0ste,User,False,3913,30,30,30,30,7,9,False
arch273,17,https://github.com/arch273,User,False,2867,6,5,3,2,1,0,False
ntlug,16,https://github.com/ntlug,User,False,5326,3,3,6,6,3,3,False
glensc,14,https://github.com/glensc,User,False,5488,30,30,30,30,158,9,False
n0guest,14,https://github.com/n0guest,User,False,4126,7,5,30,2,8,0,False
DShreve2,13,https://github.com/DShreve2,User,False,1288,30,30,2,3,1,2,False
prhomhyse,13,https://github.com/prhomhyse,User,False,3575,30,25,4,7,25,6,False
candrews,13,https://github.com/candrews,User,False,5493,30,30,30,30,89,23,False
juacker,12,https://github.com/juacker,User,False,4461,29,26,14,17,10,8,False
tycho,12,https://github.com/tycho,User,False,5966,30,30,30,30,306,275,False
andvgal,12,https://github.com/andvgal,User,False,4095,30,13,30,0,19,0,False
M4itee,11,https://github.com/M4itee,User,False,1848,24,22,6,1,2,0,False
ralphm,11,https://github.com/ralphm,User,False,5661,30,30,30,29,82,167,True
UmanShahzad,11,https://github.com/UmanShahzad,User,False,3731,30,30,30,13,95,3,False
domschl,11,https://github.com/domschl,User,False,4148,30,30,30,30,31,510,False
shadycuz,10,https://github.com/shadycuz,User,False,3299,30,30,30,30,38,1,False
manosf,10,https://github.com/manosf,User,False,2736,15,12,1,12,11,6,False
ecowed,10,https://github.com/ecowed,User,False,3401,4,4,4,3,1,0,False
alibo,10,https://github.com/alibo,User,False,4189,30,24,20,30,222,58,False
fredericopissarra,9,https://github.com/fredericopissarra,User,False,2178,4,4,0,0,34,0,False
jasonwbarnett,9,https://github.com/jasonwbarnett,User,False,4990,30,30,30,30,27,0,False
car12o,9,https://github.com/car12o,User,False,2890,18,17,30,13,7,0,False
davidak,9,https://github.com/davidak,User,False,5738,30,30,30,30,132,1,False
Jiab77,8,https://github.com/Jiab77,User,False,3740,30,30,28,30,79,27,False
askmrsinh,8,https://github.com/askmrsinh,User,False,4089,30,30,30,30,25,21,False
eltociear,7,https://github.com/eltociear,User,False,3057,0,0,0,30,0,17,False
jimcooley,7,https://github.com/jimcooley,User,False,3205,9,6,2,6,1,0,False
Chocobo1,7,https://github.com/Chocobo1,User,False,3767,30,30,30,30,198,81,False
Flums,7,https://github.com/Flums,User,False,4877,18,12,3,15,9,9,False
t-h-e,7,https://github.com/t-h-e,User,False,4926,30,30,26,26,5,7,False
tperalta82,7,https://github.com/tperalta82,User,False,4311,30,24,16,30,26,3,False
Ehekatl,7,https://github.com/Ehekatl,User,False,3954,20,15,30,30,29,21,False
arkamar,6,https://github.com/arkamar,User,False,4082,30,30,30,30,33,13,False
kattunga,6,https://github.com/kattunga,User,False,4571,10,10,30,30,35,45,False
zack-shoylev,6,https://github.com/zack-shoylev,User,False,4385,30,30,24,24,15,1,False
383c57,6,https://github.com/383c57,User,False,2928,2,2,0,1,0,0,False
amichelic,6,https://github.com/amichelic,User,False,4519,6,4,2,4,0,2,False
Aliki92,6,https://github.com/Aliki92,User,False,586,13,13,0,1,0,0,False
tnyeanderson,6,https://github.com/tnyeanderson,User,False,3743,30,30,30,30,9,29,False
thenktor,6,https://github.com/thenktor,User,False,5293,30,25,30,14,11,7,False
n0coast,5,https://github.com/n0coast,User,False,4616,30,30,7,10,11,1,False
pjz,5,https://github.com/pjz,User,False,6115,30,30,30,30,50,21,False
cosmix,5,https://github.com/cosmix,User,False,5780,30,30,22,29,55,69,False
odynik,5,https://github.com/odynik,User,False,4051,15,12,4,11,1,1,False
wungad,5,https://github.com/wungad,User,False,4524,24,12,7,28,2,7,False
anayrat,5,https://github.com/anayrat,User,False,4001,30,30,30,30,98,4,False
mcnewton,5,https://github.com/mcnewton,User,False,4786,30,30,8,30,36,45,False
KickerTom,5,https://github.com/KickerTom,User,False,4297,20,14,13,16,4,4,False
ncmans,5,https://github.com/ncmans,User,False,1917,18,16,19,3,10,5,False
vladmovchan,5,https://github.com/vladmovchan,User,False,4765,23,17,1,18,3,0,False
efaden,4,https://github.com/efaden,User,False,3555,8,3,30,30,0,4,False
vpnable,4,https://github.com/vpnable,User,False,2466,6,3,4,4,0,2,False
yasharne,4,https://github.com/yasharne,User,False,3924,27,22,30,30,38,5,False
boxjan,4,https://github.com/boxjan,User,False,2833,30,30,10,30,30,11,False
leolovenet,4,https://github.com/leolovenet,User,False,4550,16,9,7,11,48,190,False
pavel,4,https://github.com/pavel,User,False,4191,22,16,30,4,7,25,False
taniaab,4,https://github.com/taniaab,User,False,2301,4,4,0,0,4,0,False
tech-no-logical,4,https://github.com/tech-no-logical,User,False,4442,2,2,15,6,0,0,False
xginn8,4,https://github.com/xginn8,User,False,4018,30,30,30,29,35,50,False
justohall,4,https://github.com/justohall,User,False,3237,4,3,2,1,0,0,False
rex4539,4,https://github.com/rex4539,User,False,5446,30,30,30,30,114,0,False
breed808,4,https://github.com/breed808,User,False,4440,30,30,18,9,21,6,False
dimko,4,https://github.com/dimko,User,False,3205,13,12,30,18,1,1,False
scatenag,4,https://github.com/scatenag,User,False,2230,19,16,22,22,4,1,False
intelfx,4,https://github.com/intelfx,User,False,4860,0,0,0,30,0,9,False
jonfairbanks,4,https://github.com/jonfairbanks,User,False,4603,30,30,30,30,33,13,False
lassebm,4,https://github.com/lassebm,User,False,4988,30,30,10,6,17,0,False
vobruba-martin,4,https://github.com/vobruba-martin,User,False,3997,30,30,30,17,6,18,False
allelos,4,https://github.com/allelos,User,False,3819,30,30,1,12,5,25,False
pkoenig10,4,https://github.com/pkoenig10,User,False,4198,30,30,30,30,34,6,False
petecooper,4,https://github.com/petecooper,User,False,5448,30,30,30,9,41,2,False
RicardoSette,4,https://github.com/RicardoSette,User,False,3737,8,4,23,6,2,2,False
tom--,4,https://github.com/tom--,User,False,4850,30,24,30,23,54,125,False
kam1kaze,3,https://github.com/kam1kaze,User,False,4458,30,30,19,30,9,6,False
xPaw,3,https://github.com/xPaw,User,False,5119,30,30,30,30,2394,1976,False
dex4er,3,https://github.com/dex4er,User,False,5527,30,30,30,30,80,8,False
roedie,3,https://github.com/roedie,User,False,4919,30,30,30,30,8,1,False
sgsunder,3,https://github.com/sgsunder,User,False,3307,30,29,21,23,8,17,False
stevenh,3,https://github.com/stevenh,User,False,5698,30,30,30,30,41,7,False
ktarasz,3,https://github.com/ktarasz,User,False,4708,30,30,24,23,21,0,False
abalabahaha,3,https://github.com/abalabahaha,User,False,4528,30,30,30,30,385,1586,False
nodiscc,3,https://github.com/nodiscc,User,False,4348,30,30,30,30,961,1769,False
