Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
13614,closed,[Bug]: run page.screencast with headless:fasle  throw Error:Write EOF,2661002847,OrKoN,2025-02-15T16:55:42Z,"Thanks for reporting. I am not able to reproduce:

```
import puppeteer from ""puppeteer"";

const browser = await puppeteer.launch({
    headless: false,
    defaultViewport: {
        width: 1080,
        height: 1024 
    }
});

const page = await browser.newPage();
await page.goto('https://www.google.com/');

const recorder = await page.screencast({ path: 'recorder.webm' });

await new Promise(resolve => setTimeout(resolve, 10000))

await recorder.stop();
await browser.close();

```

Make sure you have a latest ffmpeg installed and avoid saving the screencast while the process shuts down."
13591,closed,fix: don't wait for activation if the connection is disconnected,2639026274,OrKoN,2025-02-06T07:23:08Z,This seems to result in some persistent test failures (not sure why).
13591,closed,fix: don't wait for activation if the connection is disconnected,2639268356,Lightning00Blade,2025-02-06T09:30:02Z,"Those test looked like once that have flaked before, maybe this fixes the flakiness but not the issue? I will investigate."
10558,closed,[Bug]: Error running puppeteer within GCP Cloud Run jobs,1637191346,github-actions[bot],2023-07-16T21:12:51Z,"This issue has an invalid Node.js version: `18`. Versions must follow [SemVer](https://semver.org/) formatting. Please update the form with a valid version.

---
[Analyzer run](https://github.com/puppeteer/puppeteer/actions/runs/5579868730)"
10558,closed,[Bug]: Error running puppeteer within GCP Cloud Run jobs,1637192647,MylesNeloms,2023-07-16T21:19:47Z,"Apologies for the misguiding link. I grabbed the dependencies from the troubleshooting links in puppeteer docs

https://github.com/puppeteer/puppeteer/blob/main/docs/troubleshooting.md#chrome-headless-doesnt-launch-on-unix"
10558,closed,[Bug]: Error running puppeteer within GCP Cloud Run jobs,1637898566,OrKoN,2023-07-17T11:00:58Z,"Could you please format the issue properly? it's difficult to read. Also, make sure that after you modify the docker image, that you install the app into the folder where Puppeteer is installed and switch back to the same non-root user."
10558,closed,[Bug]: Error running puppeteer within GCP Cloud Run jobs,1638502890,MylesNeloms,2023-07-17T16:44:30Z,"Thanks I will try this and update soon. Apologies for the formatting, I believe markup may have reformatted my issue text."
10558,closed,[Bug]: Error running puppeteer within GCP Cloud Run jobs,1638743933,MylesNeloms,2023-07-17T19:28:14Z,"Hi, I tested a bit and I am able to launch the browser however I am still stuck with the ""waitForSelector"" error.

I will attach a minimum reproduction zip here.
[MinimumRepro(7:17).zip](https://github.com/puppeteer/puppeteer/files/12073194/MinimumRepro.7.17.zip)


Please see the dockerfile below. I am trying move my executable into the ""home/pptruser"" directory then complete the dependency install from the non-root user:

`FROM ghcr.io/puppeteer/puppeteer:20.8.2`
`COPY --chown=pptruser:pptruser . . `
`USER root `
`ADD ./index.js /home/pptruser/ `
`ADD ./package*.json /home/pptruser/ `
`ADD ./* /home/pptruser/ `
`USER pptruser `
`RUN npm ci `
`ENTRYPOINT [""node"", ""index.js""]`


I am creating the container image with ""gcloud builds submit"" command as noted here[1]. I used the above dockerfile to copy my executable file and package*.json to  ""/home/pptruser"" and install using the ""pptruser"" created by the image.

This seems to work fine as the job is able to connect to the page and launch the browser.(tested from logging, the job is able to get past ""await puppeteer.launch(...)"" and ""await page.goto(...)"")

When it attempts ""await page.waitForSelector"", I receive the following error:
`TimeoutError: Waiting for selector `.icon-filter` failed: Waiting failed: 30000ms exceeded at Timeout.<anonymous> (/home/pptruser/node_modules/puppeteer-core/lib/cjs/puppeteer/common/WaitTask.js:71:37) at listOnTimeout (node:internal/timers:569:17) at process.processTimers (node:internal/timers:512:7)`

I know that the element "".icon-filter"" exists because I am able to run the script locally. Also, I tried to set the waitforselector  timeout to ""0"" but this resulted in my job timing out after 10 minutes due to my configuration. (I can increase job timeout this but I am not sure if it will make a difference. From local, the element is found in a couple seconds).

Reference:
[1]https://cloud.google.com/build/docs/build-push-docker-image

"
10558,closed,[Bug]: Error running puppeteer within GCP Cloud Run jobs,1639549000,OrKoN,2023-07-18T06:07:09Z,"`waitForSelector` is clearly a different issue and the most likely the element does not exist (for example, the  URL you test with is only available locally or if it is a third party website they block/render differently for your server script). Please double check that the content of the page that you expect is actually there."
10558,closed,[Bug]: Error running puppeteer within GCP Cloud Run jobs,2660792437,wlhong-allo,2025-02-15T07:33:52Z,"I spent 2 days and got it working now, check this out:

https://github.com/puppeteer/puppeteer/blob/main/docs/troubleshooting.md#running-puppeteer-on-google-cloud-run

You need to enable Google Cloud Run to always allocate dedicated CPU for you otherwise the process will exit as soon as a response is returned without waiting for the puppeteer event to come back.

As of current GCP web UI, goto your cloud run service > Edit & Deploy New Revision > under ""Billing"" section, select ""Instance-based"" instead of ""Request-based"" 

Note that it impact your GCP cost because now there are CPU resources always dedicated for your service:

https://cloud.google.com/run/docs/configuring/billing-settings"
4378,closed,Is there a way to show mouse pointer in puppeteer?,488333896,xse,2019-05-01T16:31:49Z,"Hey, 
I don't have a way to test that right now but you can inject scripts in page context using [page.evaluateOnNewDocument](https://github.com/GoogleChrome/puppeteer/blob/master/docs/api.md#pageevaluateonnewdocumentpagefunction-args) or page.evaluate and so on which will inject a script on any page.
From there you can easily add any script that displays an image or a colored dot where the mouse is.
This should be ""permanently"" displayed unless puppeteer actually ""moves the mouse outside the page"" when it's not used. 

If you're still having issues i'll try to get an example working, have a good day!"
4378,closed,Is there a way to show mouse pointer in puppeteer?,499544287,DanielRuf,2019-06-06T15:28:01Z,"> i'll try to get an example working, have a good day!

This would be really helpful."
4378,closed,Is there a way to show mouse pointer in puppeteer?,499726973,aslushnikov,2019-06-07T01:26:46Z,"I extracted the mouse helper we use in Puppeteer tests and a little bit enhanced it.

Check it out: [`install-mouse-helper.js`](https://gist.github.com/aslushnikov/94108a4094532c7752135c42e12a00eb)

This function will inject an element to the page's DOM that will track mouse position. This should be good-enough for a majority of use cases.

Here's what it takes to use the helper. Consider the helper is saved to the file `install-mouse-helper.js`:

```js
const puppeteer = require('.');
const {installMouseHelper} = require('./install-mouse-helper');

(async() => {
  const browser = await puppeteer.launch();
  const page = await browser.newPage();
  // Installs the helper to the page. Mouse will be visible in the subsequent navigation.
  await installMouseHelper(page);
  // Here's the navigation. From now on we'll have a mouse cursor on the page.
  await page.goto('https://example.com');
  await page.mouse.move(135, 173);
  await page.mouse.down();
  await page.mouse.move(400, 225);
  await page.screenshot({path: 'screenshot.png'});
  await browser.close();
})();
```

The screenshot now has the mouse position and looks like this:

![screenshot](https://user-images.githubusercontent.com/746130/59075903-f7bf9080-8887-11e9-828a-1b7fae1dadba.png)

@bexoss is this good enough for you? "
4378,closed,Is there a way to show mouse pointer in puppeteer?,667105265,MelMacaluso,2020-07-31T12:55:05Z,"> ```js
>  await page.mouse.move(135, 173);
>   await page.mouse.down();
>   await page.mouse.move(400, 225);
> ```

Hi @aslushnikov , thanks! It does not work for me, do you think is not compatible with puppeteer latest?

@aslushnikov Ignore me, my linter removed the `;` from the css inline styles 😂 "
4378,closed,Is there a way to show mouse pointer in puppeteer?,695899859,0x446f6d,2020-09-21T04:59:01Z,"How could you get this working with something like a modal? Right now, the grey circle hides behind the modal and isn't visible in front of modals that pop up. "
4378,closed,Is there a way to show mouse pointer in puppeteer?,695916406,ccpu,2020-09-21T06:01:04Z,@dominuslabs set [higher  z-index](https://stackoverflow.com/a/1120068/1103757) on `mousemove`
4378,closed,Is there a way to show mouse pointer in puppeteer?,696264283,0x446f6d,2020-09-21T17:38:43Z,"I set the z-index to the maximum z-index allowed (2,147,483,647) and it still didn't work. Maybe its because the modal is in an iframe?"
4378,closed,Is there a way to show mouse pointer in puppeteer?,696529623,ccpu,2020-09-22T06:17:11Z,"@dominuslabs difficult to say, as you have mentioned it could be the iframe, im using higher z-index in my [code](https://github.com/ccpu/storybook-addon-playwright/blob/76d492c852ec5fe3caedb08eac8db699818811d4/src/api/server/utils/install-mouse-helper.ts#L13)  with playwright, haven't noticed any problem yet. "
4378,closed,Is there a way to show mouse pointer in puppeteer?,809699157,nathalizator,2021-03-29T20:41:32Z,"> I extracted the mouse helper we use in Puppeteer tests and a little bit enhanced it.
> 
> Check it out: [`install-mouse-helper.js`](https://gist.github.com/aslushnikov/94108a4094532c7752135c42e12a00eb)
> 
> This function will inject an element to the page's DOM that will track mouse position. This should be good-enough for a majority of use cases.
> 
> Here's what it takes to use the helper. Consider the helper is saved to the file `install-mouse-helper.js`:
> 
> ```js
> const puppeteer = require('.');
> const {installMouseHelper} = require('./install-mouse-helper');
> 
> (async() => {
>   const browser = await puppeteer.launch();
>   const page = await browser.newPage();
>   // Installs the helper to the page. Mouse will be visible in the subsequent navigation.
>   await installMouseHelper(page);
>   // Here's the navigation. From now on we'll have a mouse cursor on the page.
>   await page.goto('https://example.com');
>   await page.mouse.move(135, 173);
>   await page.mouse.down();
>   await page.mouse.move(400, 225);
>   await page.screenshot({path: 'screenshot.png'});
>   await browser.close();
> })();
> ```
> 
> The screenshot now has the mouse position and looks like this:
> 
> ![screenshot](https://user-images.githubusercontent.com/746130/59075903-f7bf9080-8887-11e9-828a-1b7fae1dadba.png)
> 
> @bexoss is this good enough for you?

Hello ! I try to make it form but i get an error 
`Error: Cannot find module '.'`
- I have creat a file name test-mouse-help.js
- I have added your file ""install-mouse-helper"" in the same directory 

Can you help me define what's wrong ? 
"
4378,closed,Is there a way to show mouse pointer in puppeteer?,809953044,DanielRuf,2021-03-30T06:35:14Z,"> ```js
> const puppeteer = require('.');
> ```

try this:

> ```js
> const puppeteer = require('puppeteer');
> ```
"
4378,closed,Is there a way to show mouse pointer in puppeteer?,882629341,Rem0ld,2021-07-19T15:11:31Z,"I'm using this helper to see where the mouse is on the webpage, but I've found something, not sure if it's a bug or if I'm doing something wrong.
This is automated test, I'm giving list of events that puppeteer will go through.
At first there is no problem but when scrolling down, but at some point the cursor disappear (basically it's pretty much when scrollY > screenY) and it only shows up when scrolling is back up. 
I expecting to keep seeing the cursor at any scrollY position.
So my question is, is it normal behavior, is it a bug?"
4378,closed,Is there a way to show mouse pointer in puppeteer?,975041960,chaffeqa,2021-11-22T03:38:25Z,"I thought it may be useful to note that we solved this using this [click hijacking hack](https://fdossena.com/?p=html5cool/clickfx/i.frag).

Works great!"
4378,closed,Is there a way to show mouse pointer in puppeteer?,1007318691,ghost,2022-01-07T10:58:22Z,"It should also be possible to use `Overlay.highlightQuad` to draw a cursor anywhere on the page (should work with iframes and any zIndex and doesn't require injecting scripts): https://chromedevtools.github.io/devtools-protocol/tot/Overlay/#method-highlightQuad
```
await Main.MainImpl.sendOverProtocol('Overlay.highlightQuad', {
 quad: [1, 1, 100, 1, 1, 10, 1, 1], color: {r: 100, g: 200, b: 200}
});
```
"
4378,closed,Is there a way to show mouse pointer in puppeteer?,1018112593,dword-design,2022-01-21T02:38:57Z,"> Check it out: install-mouse-helper.js

@nathalizator You want to put the mouse helper into an npm package? Otherwise I can do it."
4378,closed,Is there a way to show mouse pointer in puppeteer?,1068769251,Mecanik,2022-03-16T06:05:12Z,"> 

Drawing is one thing, moving it is another thing...

And for the record...

```
const cdp = await page.target().createCDPSession();

await cdp.send('DOM.enable');
await cdp.send('Overlay.enable');

const data = await cdp.send('Overlay.highlightQuad', {
      quad: [1, 1, 100, 1, 1, 10, 1, 1], 
	  color: {r: 100, g: 200, b: 200},
    });
console.log(data);
```"
4378,closed,Is there a way to show mouse pointer in puppeteer?,1509496521,cenfun,2023-04-15T04:23:18Z,"> > Check it out: install-mouse-helper.js
> 
> @nathalizator You want to put the mouse helper into an npm package? Otherwise I can do it.

here is https://www.npmjs.com/package/mouse-helper"
4378,closed,Is there a way to show mouse pointer in puppeteer?,1811764153,obfuscated-loop,2023-11-15T03:46:48Z,"For those using JavaScript, the solution I have found is this:
```js
import { createCursor, getRandomPagePoint  } from 'ghost-cursor';
import installMouseHelper from 'ghost-cursor';
// the rest of your code
const page = await browser.newPage();
await installMouseHelper.installMouseHelper(page);
```"
4378,closed,Is there a way to show mouse pointer in puppeteer?,1956858174,storenth,2024-02-21T15:03:01Z,"Guys, just use simplest event listeners to track click like events @aslushnikov talking about: https://github.com/puppeteer/puppeteer/issues/4378#issuecomment-499726973
I suggest to close the issue."
4378,closed,Is there a way to show mouse pointer in puppeteer?,1957033259,jrandolf-2,2024-02-21T15:50:14Z,Showing the mouse pointer wouldn't really belong to Puppeteer/Chromium as it's an OS artifact. We recommend using the workarounds listed in this thread.
