Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
OrKoN,975,https://github.com/OrKoN,User,False,5268,30,30,30,30,557,80,False
aslushnikov,914,https://github.com/aslushnikov,User,False,5048,30,30,30,30,2002,40,False
dependabot[bot],578,https://github.com/apps/dependabot,Bot,False,2132,30,30,0,0,0,0,False
Lightning00Blade,495,https://github.com/Lightning00Blade,User,False,2630,0,0,0,13,32,1,False
jrandolf-2,430,https://github.com/jrandolf-2,User,False,1068,0,0,0,0,0,0,False
jackfranklin,254,https://github.com/jackfranklin,User,False,5494,0,0,0,30,1326,67,False
release-please[bot],203,https://github.com/apps/release-please,Bot,False,1986,0,0,0,0,0,0,False
JoelEinbinder,203,https://github.com/JoelEinbinder,User,False,4273,0,0,0,30,174,15,False
browser-automation-bot,91,https://github.com/browser-automation-bot,User,False,646,0,0,0,3,4,1,False
mathiasbynens,80,https://github.com/mathiasbynens,User,False,5764,0,0,0,30,12414,118,True
ebidel,50,https://github.com/ebidel,User,False,5429,0,0,0,30,5073,3821,False
jrandolf,47,https://github.com/jrandolf,User,False,2615,0,0,0,13,10,16,False
jschfflr,43,https://github.com/jschfflr,User,False,4237,30,30,20,21,16,2,False
kblok,41,https://github.com/kblok,User,False,4560,30,30,30,30,264,7,False
sadym-chromium,36,https://github.com/sadym-chromium,User,False,1653,30,30,30,14,15,6,False
vsemozhetbyt,36,https://github.com/vsemozhetbyt,User,False,3695,30,30,30,7,156,6,False
whimboo,35,https://github.com/whimboo,User,False,5626,30,30,30,30,182,6,False
pavelfeldman,29,https://github.com/pavelfeldman,User,False,4980,30,30,30,30,838,80,False
juliandescottes,28,https://github.com/juliandescottes,User,False,4867,30,30,30,30,188,7,False
yanivefraim,27,https://github.com/yanivefraim,User,False,4778,30,30,30,30,131,4,False
johanbay,22,https://github.com/johanbay,User,False,3802,30,30,2,6,7,6,False
tasneemkoushar,18,https://github.com/tasneemkoushar,User,False,1898,30,30,17,29,63,4,False
lutien,18,https://github.com/lutien,User,False,4196,30,30,30,17,28,46,False
mjzffr,15,https://github.com/mjzffr,User,False,4101,30,30,30,30,41,0,False
paulirish,15,https://github.com/paulirish,User,False,5913,30,30,30,30,31539,1141,False
hanselfmu,12,https://github.com/hanselfmu,User,False,4600,28,26,0,11,60,16,False
jrandolf-zz,11,https://github.com/jrandolf-zz,User,False,1330,18,12,1,1,1,6,False
christian-bromann,11,https://github.com/christian-bromann,User,False,5055,30,30,30,30,1075,1082,False
theDavidBarton,10,https://github.com/theDavidBarton,User,False,2353,30,30,30,30,38,5,False
TimvdLippe,9,https://github.com/TimvdLippe,User,False,4110,30,30,30,30,286,0,False
yury-s,9,https://github.com/yury-s,User,False,3743,30,30,30,30,158,1,False
alixaxel,8,https://github.com/alixaxel,User,False,5403,30,24,30,30,273,3721,False
Junyan,8,https://github.com/Junyan,User,False,3302,22,16,12,8,7,0,False
Androbin,7,https://github.com/Androbin,User,False,3340,30,30,30,30,60,3,False
AVGP,7,https://github.com/AVGP,User,False,5294,30,30,30,30,416,34,False
Kikobeats,7,https://github.com/Kikobeats,User,False,4578,30,30,30,30,1517,3159,False
benallfree,6,https://github.com/benallfree,User,False,4896,30,30,30,30,214,955,False
alexkozy,5,https://github.com/alexkozy,User,False,5248,30,30,30,30,434,17,False
fkorotkov,5,https://github.com/fkorotkov,User,False,4930,0,0,0,30,0,1,False
minggeorgelei,5,https://github.com/minggeorgelei,User,False,646,12,7,2,4,0,0,False
sukrosono,5,https://github.com/sukrosono,User,False,4451,30,30,30,30,48,8,False
yashLadha,4,https://github.com/yashLadha,User,False,3251,30,30,30,30,177,15,False
paullewis,4,https://github.com/paullewis,User,False,5115,30,30,30,9,2609,295,False
vitaliytv,4,https://github.com/vitaliytv,User,False,4718,30,30,23,30,22,1,False
ChristianDavis,4,https://github.com/ChristianDavis,User,False,4577,30,30,4,30,19,19,False
connorjclark,4,https://github.com/connorjclark,User,False,4334,0,0,0,30,0,34,False
guspan-tanadi,4,https://github.com/guspan-tanadi,User,False,2565,30,30,11,30,26,0,False
ergunsh,4,https://github.com/ergunsh,User,False,4220,30,30,30,24,85,7,False
ggorlen,3,https://github.com/ggorlen,User,False,3258,30,30,30,30,102,7,False
psmarshall,3,https://github.com/psmarshall,User,False,3950,30,19,19,25,84,0,False
foolip,3,https://github.com/foolip,User,False,5194,30,30,30,30,472,12,False
Kle0s,3,https://github.com/Kle0s,User,False,2261,8,7,5,3,0,0,False
nschonni,3,https://github.com/nschonni,User,False,4794,30,30,30,30,652,4,False
thorn0,3,https://github.com/thorn0,User,False,5728,30,30,30,30,84,111,False
Glennvd,3,https://github.com/Glennvd,User,False,4347,12,9,27,23,14,2,False
jimmydief,3,https://github.com/jimmydief,User,False,4289,24,20,30,21,9,0,False
jecfish,3,https://github.com/jecfish,User,False,4113,30,30,30,30,965,552,False
joelgriffith,3,https://github.com/joelgriffith,User,False,4731,30,30,30,25,193,1044,False
macbre,3,https://github.com/macbre,User,False,4608,30,30,30,30,154,977,False
matthiasrohmer,3,https://github.com/matthiasrohmer,User,False,3536,30,30,30,6,71,5,False
ithinkihaveacat,3,https://github.com/ithinkihaveacat,User,False,5857,30,30,30,30,140,44,False
SamVerschueren,2,https://github.com/SamVerschueren,User,False,4611,30,30,30,30,755,968,False
sonyarianto,2,https://github.com/sonyarianto,User,False,5329,30,30,30,30,85,104,False
sbocinec,2,https://github.com/sbocinec,User,False,4252,30,30,30,30,10,1,False
tnolet,2,https://github.com/tnolet,User,False,4363,30,30,30,30,149,89,False
tjenkinson,2,https://github.com/tjenkinson,User,False,4416,30,30,30,30,155,20,False
trentmwillis,2,https://github.com/trentmwillis,User,False,4388,30,30,30,30,204,36,False
vladikoff,2,https://github.com/vladikoff,User,False,5629,30,30,30,30,1900,89,False
VoltrexKeyva,2,https://github.com/VoltrexKeyva,User,False,1803,30,30,7,30,151,11,False
wwwillchen,2,https://github.com/wwwillchen,User,False,3956,30,30,30,30,105,2,False
xg-wang,2,https://github.com/xg-wang,User,False,3847,30,30,30,30,81,23,False
hashseed,2,https://github.com/hashseed,User,False,4545,30,30,30,18,726,59,False
yotamlaufer,2,https://github.com/yotamlaufer,User,False,4303,15,9,11,18,12,0,False
campersau,2,https://github.com/campersau,User,False,4341,30,30,30,30,24,4,False
dmitrysteblyuk,2,https://github.com/dmitrysteblyuk,User,False,3186,11,10,30,16,4,7,False
mizdra,2,https://github.com/mizdra,User,False,3751,30,30,30,30,106,413,False
robrobrobrob,2,https://github.com/robrobrobrob,User,False,2620,4,2,2,0,0,0,False
smithc,2,https://github.com/smithc,User,False,4946,30,30,14,16,4,17,False
xcatliu,2,https://github.com/xcatliu,User,False,4173,30,30,30,30,4030,1455,False
lusarz,2,https://github.com/lusarz,User,False,3727,30,30,30,5,21,57,False
gucong3000,2,https://github.com/gucong3000,User,False,4853,30,30,30,30,226,221,False
Janpot,2,https://github.com/Janpot,User,False,4575,30,30,30,30,136,6,False
harsha509,2,https://github.com/harsha509,User,False,3553,0,0,0,30,0,0,False
Rafael-Martins,2,https://github.com/Rafael-Martins,User,False,2860,15,13,6,27,19,6,False
ahmoin,2,https://github.com/ahmoin,User,False,758,30,21,3,26,9,0,False
a1ph,2,https://github.com/a1ph,User,False,4209,17,14,16,9,17,0,False
LasaleFamine,2,https://github.com/LasaleFamine,User,False,3522,30,30,30,30,90,57,False
andyearnshaw,2,https://github.com/andyearnshaw,User,False,4637,30,23,30,27,61,1746,False
benelliott,2,https://github.com/benelliott,User,False,4236,30,30,30,30,25,2,False
davidjb,2,https://github.com/davidjb,User,False,4924,30,30,30,30,69,2,False
douglasnaphas,2,https://github.com/douglasnaphas,User,False,4176,30,30,30,30,15,1,False
DangoDev,2,https://github.com/DangoDev,User,False,4020,0,0,0,0,0,0,False
elisherer,2,https://github.com/elisherer,User,False,4905,30,30,30,30,17,46,False
emilefokkema,2,https://github.com/emilefokkema,User,False,3622,30,30,18,30,13,135,False
SlootSantos,2,https://github.com/SlootSantos,User,False,3646,30,26,8,30,20,7,False
GuillaumeGomez,2,https://github.com/GuillaumeGomez,User,False,4445,30,30,30,30,1449,26,False
fringd,2,https://github.com/fringd,User,False,5395,27,21,30,30,24,15,False
g-plane,2,https://github.com/g-plane,User,False,3290,30,30,30,30,451,317,False
pomerantsev,2,https://github.com/pomerantsev,User,False,4353,30,30,30,30,30,3,False
shibanovp,2,https://github.com/shibanovp,User,False,4222,30,30,30,30,44,2,False
patrickhulce,2,https://github.com/patrickhulce,User,False,4544,30,30,30,30,488,17,False
snitin315,2,https://github.com/snitin315,User,False,2225,30,30,30,30,1145,3,False
ntzm,2,https://github.com/ntzm,User,False,4354,30,30,30,30,50,6,False
marabesi,2,https://github.com/marabesi,User,False,4572,30,30,30,30,318,29,False
kensoh,2,https://github.com/kensoh,User,False,3696,30,30,30,14,434,6,False
karlhorky,2,https://github.com/karlhorky,User,False,4606,30,30,30,30,822,820,False
jshamg,2,https://github.com/jshamg,User,False,2687,6,5,25,9,3,0,False
Garbee,2,https://github.com/Garbee,User,False,4987,30,30,30,30,176,14,False
eltociear,2,https://github.com/eltociear,User,False,3056,0,0,0,30,0,17,False
pauldraper,1,https://github.com/pauldraper,User,False,4762,30,30,30,30,47,33,False
phawxby,1,https://github.com/phawxby,User,False,4888,30,30,30,30,11,1,False
pjg,1,https://github.com/pjg,User,False,6117,30,30,30,30,46,42,False
pecampelo,1,https://github.com/pecampelo,User,False,3191,15,11,11,29,16,1,False
starrify,1,https://github.com/starrify,User,False,5277,30,30,30,30,109,5,False
petele,1,https://github.com/petele,User,False,5062,30,30,30,25,1206,403,False
spekulatius,1,https://github.com/spekulatius,User,False,3840,30,30,30,30,601,1040,False
pqvst,1,https://github.com/pqvst,User,False,4237,24,23,30,30,111,180,False
phihag,1,https://github.com/phihag,User,False,5030,30,30,30,30,463,50,False
pauladams8,1,https://github.com/pauladams8,User,False,2531,24,17,20,17,19,17,False
petuomin,1,https://github.com/petuomin,User,False,4453,30,30,6,28,7,9,False
pallavJha,1,https://github.com/pallavJha,User,False,4236,30,26,27,18,22,97,False
pablomatiasgomez,1,https://github.com/pablomatiasgomez,User,False,3822,30,30,2,30,16,16,False
