Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
10811,closed,Problem Feedback: Three-finger Downward Swipe Not Working,2662963028,rustdesk,2025-02-17T12:22:52Z,https://github.com/rustdesk/rustdesk/issues/1776#issuecomment-1287441690
1776,closed,Better way to mouse scroll than three-finger on phone,1287441690,rustdesk,2022-10-21T21:13:26Z,"Sorry, we have considered this problem, but eventually we chose current implementation."
1776,closed,Better way to mouse scroll than three-finger on phone,1287476235,Anutrix,2022-10-21T21:58:49Z,But what about atleast adding support to make this actions customisable?
1776,closed,Better way to mouse scroll than three-finger on phone,2325714000,YasharSL,2024-09-03T06:38:15Z,"Same problem here, most android devices have already configured 3-finger gesture and the inability to customize the inputs, causes a lot of hassle"
1776,closed,Better way to mouse scroll than three-finger on phone,2335351919,HuaLun666,2024-09-07T14:57:28Z,"I encountered a similar problem. My device (Redmi Pad Pro) has turned off three finger gestures, but still cannot use the mouse wheel. I would like to add custom options."
87,closed,Unsupported display server type tty when running without display manager,864337524,rustdesk,2021-06-19T01:34:17Z,noted with thanks
87,closed,Unsupported display server type tty when running without display manager,864347051,rustdesk,2021-06-19T03:11:27Z,"Wondering if you can work on it. You do not need to work on this big project. You can write standalone functions `get_display_server`, `get_env` and `get_active_userid` for non-display-manager. "
87,closed,Unsupported display server type tty when running without display manager,864348750,mtoohey31,2021-06-19T03:32:27Z,"Sure, I can try giving it a go tomorrow."
87,closed,Unsupported display server type tty when running without display manager,864438647,mtoohey31,2021-06-19T17:19:36Z,"Alright, here's a new version of `get_display_server_of_session` that works without a display-manager:

```rust
fn get_display_server_of_session(session: &str) -> String {
    if let Ok(output) = std::process::Command::new(""loginctl"")
        .args(vec![""show-session"", ""-p"", ""Type"", session])
        .output()
    // Check session type of the session
    {
        let display_server = String::from_utf8_lossy(&output.stdout)
            .replace(""Type="", """")
            .trim_end()
            .into();
        if display_server == ""tty"" {
            // If the type is tty...
            if let Ok(output) = std::process::Command::new(""loginctl"")
                .args(vec![""show-session"", ""-p"", ""TTY"", session])
                .output()
            // Get the tty number
            {
                let tty: String = String::from_utf8_lossy(&output.stdout)
                    .replace(""TTY="", """")
                    .trim_end()
                    .into();
                if let Ok(Some(xorg_results)) =
                    run_cmds(format!(""ps -e | grep \""{}.\\\\+Xorg\"""", tty))
                // And check if Xorg is running on that tty
                {
                    if xorg_results.trim_end().to_string() != """" {
                        // If it is, manually return ""x11"", otherwise return tty
                        ""x11"".to_owned()
                    } else {
                        display_server
                    }
                } else {
                    // If any of these commands fail just fall back to the display server
                    display_server
                }
            } else {
                display_server
            }
        } else {
            // If the session is not a tty, then just return the type as usual
            display_server
        }
    } else {
        """".to_owned()
    }
}
```

Basically it just adds a check for whether the session type is tty, and if it is, it checks if Xorg is running on that tty. It's a bit of a mess of nested if statements so feel free to refactor that if you have a neater way of doing things. I believe this fixes the issue, let me know if changes to those are functions are necessary though. I haven't gotten to testing it in the main application, but I've tested it on its own and it correctly identifies the display server now on my setup which is Arch and startx (x11), stock Manjaro KDE (x11), and stock Fedora 34 (wayland).

Lmk if that looks ok and if you'd like me to open a PR or if you have something else in mind. Also, random fun fact, it looks like Teamviewer has this same issue according to this comment: https://aur.archlinux.org/packages/teamviewer/?O=40&PP=10#comment-763211."
87,closed,Unsupported display server type tty when running without display manager,864439916,rustdesk,2021-06-19T17:30:21Z,"> get_display_server_of_session

Good job, but you also need to modify `get_active_userid`, and `get_env`, RustDesk uses `get_env` to get `$DISPLAY` and `$XAUTHORITY` to make xdo and screen capture work. `get_active_userid` get the user id of the active X session."
87,closed,Unsupported display server type tty when running without display manager,864441859,rustdesk,2021-06-19T17:47:14Z,Have you test if you can get correct `$DISPLAY` and `$XAUTHORITY` with old get_env and your new `get_display_server_of_session`?
87,closed,Unsupported display server type tty when running without display manager,864441990,rustdesk,2021-06-19T17:48:24Z,"Seems `get_active_userid` can work, but I am not sure if `get_env` works with your new `get_display_server_of_session`."
87,closed,Unsupported display server type tty when running without display manager,864442050,mtoohey31,2021-06-19T17:48:57Z,No I have not tried that approach cause I assumed it would encounter issues when the program is running as a systemd service. I'm currently building the full application so I can test it properly to see what works and what doesn't.
87,closed,Unsupported display server type tty when running without display manager,864442132,rustdesk,2021-06-19T17:49:38Z,"> building the full application

Thanks"
87,closed,Unsupported display server type tty when running without display manager,864447399,mtoohey31,2021-06-19T18:36:51Z,"K I've got it built and I did some testing and it works just fine without changing any other functions. I don't think the bug was anything in the actual functionality, it was just these checks here that were preventing the program from trying to connect, because `get_display_server` was returning `tty` instead of `x11`, which is now fixed:

```
src/ui.rs
450:            if dtype != ""x11"" {
451:                return format!(""Unsupported display server type {}, x11 expected!"", dtype);

src/server/connection.rs
402:            if dtype != ""x11"" {
404:                    ""Unsupported display server type {}, x11 expected"",
```

I've got the changes in this branch [here](https://github.com/mtoohey31/rustdesk/tree/display-server-fix). Let me know if there's anything else you'd like me to check before opening a PR."
87,closed,Unsupported display server type tty when running without display manager,864492723,rustdesk,2021-06-20T03:06:57Z,"Awesome work Mattherw. pr please. If you can help, please also look into  #56, much more challenge. Although now RustDesk is growng, we don't have enough cash but I can sponsor u anyway, Thanks for your time!"
87,closed,Unsupported display server type tty when running without display manager,864495911,mtoohey31,2021-06-20T03:58:12Z,":+1: PR created, I can maybe take a look tomorrow, I'd want to figure out how I'd go about it or whether it's even doable before agreeing to anything though. One other thing I was wondering is whether you'd be interested in including a Dockerfile for building the application, in case people want to use that method. I put a rough one together based on the build scripts in the README to test these changes and I figure it might be easier than trying to follow the scripts manually for a lot of people, it might also cut down on the number of build-related issues. Lmk if you're interested, if so I can clean it up and add documentation."
87,closed,Unsupported display server type tty when running without display manager,864496076,rustdesk,2021-06-20T04:01:06Z,"> Dockerfile

> clean it up and add documentation.

Please go ahead. Very interested.

"
