Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
rustdesk,4142,https://github.com/rustdesk,User,False,1610,30,30,30,9,5664,90871,False
fufesou,1354,https://github.com/fufesou,User,False,3489,30,30,30,30,86,1,False
21pages,872,https://github.com/21pages,User,False,3429,30,30,30,30,38,6,False
Kingtous,518,https://github.com/Kingtous,User,False,2454,30,30,20,30,212,12,False
Heap-Hop,429,https://github.com/Heap-Hop,User,False,1800,30,30,7,26,47,6,False
dignow,259,https://github.com/dignow,User,False,619,30,30,1,15,4,1,False
beelchester,127,https://github.com/beelchester,User,False,1581,30,30,21,30,28,23,False
Mr-Update,120,https://github.com/Mr-Update,User,False,2520,30,30,13,30,6,0,False
NicKoehler,118,https://github.com/NicKoehler,User,False,2041,30,30,28,30,32,354,False
grummbeer,100,https://github.com/grummbeer,User,False,1690,30,30,29,7,1,0,False
bovirus,93,https://github.com/bovirus,User,False,4814,0,0,0,30,89,6,False
flusheDData,91,https://github.com/flusheDData,User,False,843,0,0,0,1,1,0,False
solokot,89,https://github.com/solokot,User,False,2946,0,0,0,26,74,5,False
open-trade,81,https://github.com/open-trade,User,False,2390,0,0,0,30,45,248,False
tsarmis,78,https://github.com/tsarmis,User,False,715,0,0,0,11,2,0,False
botanicvelious,71,https://github.com/botanicvelious,User,False,4159,0,0,0,28,15,7,False
jxdv,61,https://github.com/jxdv,User,False,592,0,0,0,30,15,8,False
ClSlaid,59,https://github.com/ClSlaid,User,False,2297,0,0,0,30,129,4,False
jsoref,56,https://github.com/jsoref,User,False,4575,0,0,0,30,575,26,False
basilgello,53,https://github.com/basilgello,User,False,4352,0,30,30,29,22,22,False
BestiaPL,45,https://github.com/BestiaPL,User,False,2902,30,30,30,19,5,0,False
mehdi-song,41,https://github.com/mehdi-song,User,False,3170,30,30,14,16,1,0,False
Kleofass,41,https://github.com/Kleofass,User,False,4343,0,0,0,0,0,0,False
xalt7x,33,https://github.com/xalt7x,User,False,2300,30,30,30,30,1,0,False
xlionjuan,30,https://github.com/xlionjuan,User,False,2950,30,30,30,30,9,0,False
cacing69,28,https://github.com/cacing69,User,False,2566,30,30,30,22,24,18,False
mcfans,27,https://github.com/mcfans,User,False,3420,8,5,5,30,17,1,False
sj6219,21,https://github.com/sj6219,User,False,4386,22,8,13,30,11,1,False
jimmyGALLAND,21,https://github.com/jimmyGALLAND,User,False,1758,30,30,1,27,9,13,False
chenbaiyu0414,19,https://github.com/chenbaiyu0414,User,False,3341,17,0,0,26,22,25,False
deep-soft,16,https://github.com/deep-soft,User,False,3688,0,0,0,30,6,0,False
akhildevelops,16,https://github.com/akhildevelops,User,False,3993,0,0,0,30,36,162,False
Integral-Tech,16,https://github.com/Integral-Tech,User,False,1619,0,0,0,30,181,12,False
SoLongAndThanksForAllThePizza,15,https://github.com/SoLongAndThanksForAllThePizza,User,False,1039,0,0,0,2,0,5,False
leroyloren,14,https://github.com/leroyloren,User,False,1924,0,0,0,12,0,0,False
neogalaxy88,14,https://github.com/neogalaxy88,User,False,3100,0,0,0,1,0,0,False
SergeyMy,13,https://github.com/SergeyMy,User,False,665,0,0,0,7,1,0,False
dinger1986,11,https://github.com/dinger1986,User,False,3966,0,0,0,21,32,100,False
Agent-JY,10,https://github.com/Agent-JY,User,False,3226,0,0,0,2,0,0,False
dependabot[bot],9,https://github.com/apps/dependabot,Bot,False,2133,0,0,1,0,0,0,False
MrVinyla,9,https://github.com/MrVinyla,User,False,1979,6,4,3,1,0,0,False
crwusiz,9,https://github.com/crwusiz,User,False,2347,30,30,4,11,34,71,False
SnmzMert,8,https://github.com/SnmzMert,User,False,938,17,12,1,20,1,0,False
64kramsystem,8,https://github.com/64kramsystem,User,False,4705,30,30,30,30,90,28,False
xxrlzzz,8,https://github.com/xxrlzzz,User,False,2418,30,28,14,30,8,32,False
ViktorOn,8,https://github.com/ViktorOn,User,False,1766,30,30,10,30,25,0,False
KoxSosen,8,https://github.com/KoxSosen,User,False,1689,30,30,30,30,14,7,False
chiehw,8,https://github.com/chiehw,User,False,1096,30,30,12,11,32,10,False
twmsh,7,https://github.com/twmsh,User,False,3783,3,2,4,8,1,1,False
stamepicmorg,7,https://github.com/stamepicmorg,User,False,4791,30,30,0,1,51,4,False
LaiYueTing,7,https://github.com/LaiYueTing,User,False,2023,0,0,0,10,3,0,False
varghesejose2020,7,https://github.com/varghesejose2020,User,False,1609,0,0,0,30,13,0,False
7th-fret,7,https://github.com/7th-fret,User,False,1313,0,0,0,15,1,0,False
jboban,7,https://github.com/jboban,User,False,3606,0,0,0,4,1,1,False
hatamiarash7,7,https://github.com/hatamiarash7,User,False,3350,0,0,0,30,328,29,False
RijckAlex,7,https://github.com/RijckAlex,User,False,161,0,0,0,7,0,0,False
ivanbea,6,https://github.com/ivanbea,User,False,3549,0,0,0,0,3,0,False
jkh0kr,6,https://github.com/jkh0kr,User,False,3010,0,0,0,22,0,0,False
PeterDaveHello,6,https://github.com/PeterDaveHello,User,False,4375,0,0,0,30,1465,18,False
kirill0ermakov,6,https://github.com/kirill0ermakov,User,False,1523,0,0,0,4,9,5,False
alfadhela,6,https://github.com/alfadhela,User,False,5550,0,0,0,6,7,0,False
toriato,5,https://github.com/toriato,User,False,1420,0,0,13,20,46,1496,False
palfrey,5,https://github.com/palfrey,User,False,5918,30,30,30,30,241,39,False
morn-0,5,https://github.com/morn-0,User,False,1248,20,14,30,30,11,0,False
creeper-0910,5,https://github.com/creeper-0910,User,False,1948,30,30,30,30,42,101,False
awalon,5,https://github.com/awalon,User,False,4693,16,7,13,21,5,42,False
donald-2rm,5,https://github.com/donald-2rm,User,False,837,2,2,1,2,0,0,False
rewrite0w0,5,https://github.com/rewrite0w0,User,False,1967,30,30,2,30,26,9,False
rizlas,4,https://github.com/rizlas,User,False,3832,30,29,30,30,35,35,False
vedantmgoyal9,4,https://github.com/vedantmgoyal9,User,False,1378,30,30,30,30,155,1,False
Onyx47,4,https://github.com/Onyx47,User,False,4579,7,4,17,16,4,11,False
jernejs,4,https://github.com/jernejs,User,False,4644,9,8,0,8,2,1,False
malina-popa,4,https://github.com/malina-popa,User,False,1152,0,0,0,9,0,0,False
darkterminal,4,https://github.com/darkterminal,User,False,2700,0,0,0,30,107,1,False
victorbnl,4,https://github.com/victorbnl,User,False,2462,0,0,0,30,35,78,False
SelfRef,4,https://github.com/SelfRef,User,False,1659,0,0,0,30,2,21,False
Orholt,4,https://github.com/Orholt,User,False,2374,0,0,0,19,13,1,False
WoozyMasta,3,https://github.com/WoozyMasta,User,False,4753,0,0,0,30,32,123,False
Xerxes-2,3,https://github.com/Xerxes-2,User,False,2586,0,0,0,29,29,123,False
cppcoffee,3,https://github.com/cppcoffee,User,False,4025,0,0,0,30,93,70,False
gengteng,3,https://github.com/gengteng,User,False,3321,0,0,0,30,34,149,False
kordood,3,https://github.com/kordood,User,False,2849,0,0,0,30,29,9,False
p-bo,3,https://github.com/p-bo,User,False,3579,0,30,30,30,15,0,False
realmosn,3,https://github.com/realmosn,User,False,4390,3,2,8,6,1,0,False
sandr01d,3,https://github.com/sandr01d,User,False,1286,30,30,22,23,0,0,False
sitiom,3,https://github.com/sitiom,User,False,1962,30,30,30,30,118,175,False
shan3275,3,https://github.com/shan3275,User,False,3903,7,7,0,30,2,6,False
danielcshn,3,https://github.com/danielcshn,User,False,1702,30,23,15,30,58,58,False
5idereal,3,https://github.com/5idereal,User,False,2750,30,30,30,30,51,10,False
bwoebi,3,https://github.com/bwoebi,User,False,4431,30,30,30,30,176,5,False
besdar,3,https://github.com/besdar,User,False,2344,14,5,4,9,4,3,False
faustogut,3,https://github.com/faustogut,User,False,2834,30,30,8,30,158,30,False
madpilot78,3,https://github.com/madpilot78,User,False,3805,30,0,0,21,13,1,False
h1midi,3,https://github.com/h1midi,User,False,1754,0,0,0,18,28,6,False
agarre,3,https://github.com/agarre,User,False,3648,0,0,0,7,6,1,False
KG7x,3,https://github.com/KG7x,User,False,4255,0,0,0,10,5,1,False
Grelo4ka,3,https://github.com/Grelo4ka,User,False,1791,0,0,0,0,8,0,False
stmc,3,https://github.com/stmc,User,False,4628,0,0,0,3,1,0,False
seffs,3,https://github.com/seffs,User,False,2223,0,0,0,18,6,7,False
HorlogeSkynet,3,https://github.com/HorlogeSkynet,User,False,4190,0,0,0,11,54,496,False
jd-mateusz-prais,3,https://github.com/jd-mateusz-prais,User,False,648,0,0,0,0,0,0,False
SET19724,3,https://github.com/SET19724,User,False,4728,0,0,0,2,0,0,False
nevaran,3,https://github.com/nevaran,User,False,4968,0,0,0,5,1,5,False
SimonHanel,2,https://github.com/SimonHanel,User,False,2352,2,2,2,1,0,0,False
starccy,2,https://github.com/starccy,User,False,3276,17,16,11,27,7,73,False
tobiasdegen,2,https://github.com/tobiasdegen,User,False,2442,15,14,0,2,0,0,False
Xp96,2,https://github.com/Xp96,User,False,2482,17,17,1,3,1,0,False
borondics,2,https://github.com/borondics,User,False,4063,30,30,30,30,9,0,False
damnkrat,2,https://github.com/damnkrat,User,False,2698,16,10,30,21,1,0,False
desertstsung,2,https://github.com/desertstsung,User,False,2386,6,4,8,17,9,44,False
hashiguchi736,2,https://github.com/hashiguchi736,User,False,818,3,2,0,1,0,0,False
hms5232,2,https://github.com/hms5232,User,False,2334,30,30,30,30,41,21,False
ioridev,2,https://github.com/ioridev,User,False,2409,25,19,30,30,48,17,False
jeroenhd,2,https://github.com/jeroenhd,User,False,3583,0,0,0,5,9,113,False
jkhsjdhjs,2,https://github.com/jkhsjdhjs,User,False,4754,0,0,0,30,33,52,False
jack-5566,2,https://github.com/jack-5566,User,False,275,0,0,0,6,0,0,False
kibeb,2,https://github.com/kibeb,User,False,3452,0,0,0,11,1,5,False
mtoohey31,2,https://github.com/mtoohey31,User,False,2551,0,0,0,30,31,70,False
sirtemporary,2,https://github.com/sirtemporary,User,False,934,0,0,0,1,0,0,False
who0ps,2,https://github.com/who0ps,User,False,3283,0,0,0,6,1,2,False
yuluo-zy,2,https://github.com/yuluo-zy,User,False,2648,0,0,0,30,8,1,False
zuiyu1998,2,https://github.com/zuiyu1998,User,False,2296,0,0,0,30,1,0,False
zylthinking,2,https://github.com/zylthinking,User,False,4898,0,0,0,30,2,4,False
aeltorio,2,https://github.com/aeltorio,User,False,319,0,20,13,3,2,1,False
KagamineP,2,https://github.com/KagamineP,User,False,2739,30,30,1,22,6,2,False
Nollasko,2,https://github.com/Nollasko,User,False,1700,5,3,11,0,2,0,False
k2s,2,https://github.com/k2s,User,False,5514,30,30,30,30,18,7,False
Akkowicz,2,https://github.com/Akkowicz,User,False,3212,21,15,12,30,14,2,False
mingxingren,2,https://github.com/mingxingren,User,False,2871,18,10,25,30,14,0,False
meisenger,2,https://github.com/meisenger,User,False,2088,2,2,0,1,0,0,False
AnonymousWP,2,https://github.com/AnonymousWP,User,False,2117,30,30,30,30,79,38,False
bigretromike,2,https://github.com/bigretromike,User,False,4099,30,30,30,30,18,53,False
colin99d,2,https://github.com/colin99d,User,False,1587,30,30,30,30,153,15,False
amyipdev,2,https://github.com/amyipdev,User,False,2238,30,0,0,30,41,4,False
abajo,2,https://github.com/abajo,User,False,4462,0,0,0,11,1,0,False
danielehrhardt,2,https://github.com/danielehrhardt,User,False,3190,0,0,0,30,60,20,False
danielmarschall,2,https://github.com/danielmarschall,User,False,2845,0,0,0,30,9,14,False
dploeger,2,https://github.com/dploeger,User,False,5482,0,0,0,30,53,100,False
rex4539,2,https://github.com/rex4539,User,False,5446,0,0,0,30,114,0,False
EmPablo,2,https://github.com/EmPablo,User,False,1337,0,0,0,2,0,0,False
HeCorr,2,https://github.com/HeCorr,User,False,1542,0,0,0,20,10,10,False
ElisaMin,2,https://github.com/ElisaMin,User,False,2592,0,0,0,30,8,56,False
eltociear,2,https://github.com/eltociear,User,False,3057,0,0,0,30,0,17,False
josephjosedev,2,https://github.com/josephjosedev,User,False,1607,30,30,14,30,2,2,False
nfsec,2,https://github.com/nfsec,User,False,3411,30,30,8,6,18,32,False
bankzst,2,https://github.com/bankzst,User,False,3646,5,5,3,25,1,1,False
i2,2,https://github.com/i2,User,False,4421,30,30,30,30,36,3,False
nvksv,2,https://github.com/nvksv,User,False,2965,0,0,0,19,0,16,False
Redion,2,https://github.com/Redion,User,False,4132,2,2,1,3,0,0,False
RayJW,2,https://github.com/RayJW,User,False,2787,30,30,30,9,8,10,False
razavioo,2,https://github.com/razavioo,User,False,2815,13,8,2,12,61,29,False
MaySoMusician,2,https://github.com/MaySoMusician,User,False,2621,30,30,30,30,42,40,False
Ekennn,2,https://github.com/Ekennn,User,False,2590,9,4,0,14,10,0,False
KrystianGraba,2,https://github.com/KrystianGraba,User,False,2934,0,0,0,30,2,1,False
selfisekai,2,https://github.com/selfisekai,User,False,3607,0,0,0,30,92,5,False
LeszekBober,2,https://github.com/LeszekBober,User,False,1623,0,0,0,1,0,0,False
mateusauler,2,https://github.com/mateusauler,User,False,2975,0,0,0,20,21,9,False
Lumiphare,2,https://github.com/Lumiphare,User,False,1898,0,0,0,7,0,0,False
enoch85,1,https://github.com/enoch85,User,False,4287,0,0,0,30,137,2,False
add-uos,1,https://github.com/add-uos,User,False,328,0,0,0,30,2,0,False
alewicki95,1,https://github.com/alewicki95,User,False,364,0,0,0,6,0,0,False
bdntv,1,https://github.com/bdntv,User,False,3424,0,0,0,2,0,0,False
behrooz3500,1,https://github.com/behrooz3500,User,False,980,0,0,0,14,7,0,False
bjoernp116,1,https://github.com/bjoernp116,User,False,2003,0,0,0,29,0,4,False
ckesc,1,https://github.com/ckesc,User,False,4510,0,0,0,30,14,87,False
cooperbang,1,https://github.com/cooperbang,User,False,1538,0,0,0,0,1,0,False
crazeteam,1,https://github.com/crazeteam,User,False,331,0,0,0,30,0,0,False
dcharbonnier,1,https://github.com/dcharbonnier,User,False,4078,30,30,30,30,21,7,False
ddsardella,1,https://github.com/ddsardella,User,False,3423,1,1,0,2,0,1,False
djex,1,https://github.com/djex,User,False,4945,1,1,12,4,0,0,False
djordans,1,https://github.com/djordans,User,False,4192,0,0,0,8,0,1,False
codesmith-emmy,1,https://github.com/codesmith-emmy,User,False,421,30,30,3,30,34,8,False
emporiobviver,1,https://github.com/emporiobviver,User,False,990,0,0,0,2,0,0,False
natfrp-bot,1,https://github.com/natfrp-bot,User,False,1285,4,1,2,0,3,0,False
SantiagoValdez,1,https://github.com/SantiagoValdez,User,False,5798,4,4,1,30,34,15,False
Sergo1217,1,https://github.com/Sergo1217,User,False,3340,11,5,27,10,3,3,False
ShadoWarrior59,1,https://github.com/ShadoWarrior59,User,False,2176,1,1,1,1,0,0,False
SoftwareMagicIT,1,https://github.com/SoftwareMagicIT,User,False,3328,0,0,0,30,3,2,False
StephanStS,1,https://github.com/StephanStS,User,False,1923,0,0,0,6,10,0,False
Thadah,1,https://github.com/Thadah,User,False,4308,0,0,0,12,21,16,False
TBG-FR,1,https://github.com/TBG-FR,User,False,3247,0,0,0,30,21,9,False
Vasilis553,1,https://github.com/Vasilis553,User,False,969,0,0,0,9,0,0,False
VenusGirl,1,https://github.com/VenusGirl,User,False,2038,0,0,0,30,80,13,False
becker,1,https://github.com/becker,User,False,5289,0,0,0,20,13,28,False
Kristories,1,https://github.com/Kristories,User,False,5034,0,0,0,30,399,10008,False
WofWca,1,https://github.com/WofWca,User,False,2465,0,0,0,30,37,0,False
XieJiSS,1,https://github.com/XieJiSS,User,False,2981,0,0,0,30,118,2,False
Y-PLONI,1,https://github.com/Y-PLONI,User,False,846,0,0,0,10,4,11,False
yosephkudo,1,https://github.com/yosephkudo,User,False,3158,0,0,0,25,0,2,False
TheLumbee,1,https://github.com/TheLumbee,User,False,1981,0,0,0,18,3,3,False
wangzexi,1,https://github.com/wangzexi,User,False,3511,0,0,17,30,38,258,False
SeriousBusiness100,1,https://github.com/SeriousBusiness100,User,False,1225,0,0,0,0,0,0,False
miller45,1,https://github.com/miller45,User,False,4039,30,30,8,30,6,29,False
sakiodre,1,https://github.com/sakiodre,User,False,614,11,5,8,11,7,173,False
shleyZ,1,https://github.com/shleyZ,User,False,3606,2,2,3,29,3,1,False
shuangcui,1,https://github.com/shuangcui,User,False,3344,0,0,0,26,0,0,False
skycommand,1,https://github.com/skycommand,User,False,3299,30,30,30,8,13,52,False
songwei163,1,https://github.com/songwei163,User,False,2156,4,1,4,30,7,11,False
st0nie,1,https://github.com/st0nie,User,False,2362,30,30,30,30,15,5,False
summoner001,1,https://github.com/summoner001,User,False,3644,30,30,30,15,6,1,False
tschettervictor,1,https://github.com/tschettervictor,User,False,1351,30,30,0,7,12,30,False
tsic404,1,https://github.com/tsic404,User,False,2161,0,0,0,30,21,0,False
unglazed,1,https://github.com/unglazed,User,False,674,0,0,0,0,0,0,False
wxpppp,1,https://github.com/wxpppp,User,False,2077,0,0,0,30,0,0,False
wesley800,1,https://github.com/wesley800,User,False,949,0,0,0,7,0,0,False
whosehang,1,https://github.com/whosehang,User,False,302,0,0,0,16,0,0,False
yaseresmaeelpour,1,https://github.com/yaseresmaeelpour,User,False,2771,0,0,0,4,0,0,False
youhers,1,https://github.com/youhers,User,False,1002,0,0,0,1,0,0,False
