pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
6730,501,49,1,0,0.0,open,False,False
6729,1183,405,1,3,0.1111111111111111,open,False,False
6728,3,3,1,0,0.0,open,False,False
6727,17,0,0,0,0.0,open,False,False
6726,74,6,2,0,0.0,open,False,False
6725,62,83,1,0,0.0,closed,True,True
6724,6,6,1,0,0.0,closed,True,True
6723,162,231,1,0,0.0,closed,True,True
6722,201,197,0,0,0.0,closed,True,True
6721,83,47,1,0,0.0,closed,True,True
6720,24,4,3,0,0.0,closed,True,True
6719,28,50,1,0,0.0,closed,True,True
6716,1,3,1,0,0.0,closed,True,True
6715,1731,424,1,0,0.0,open,False,False
6714,17,1,5,5,1.6666666666666667,closed,True,True
6713,194,137,7,3,0.5,closed,True,True
6712,444,519,1,0,0.0,closed,True,True
6711,720,797,1,0,0.0,closed,True,True
6710,513,570,1,0,0.0,closed,True,True
6709,730,928,1,0,0.0,closed,True,True
6706,532,3,3,5,0.7142857142857143,open,False,False
6704,0,750,1,0,0.0,closed,True,True
6703,3,0,1,0,0.0,closed,True,True
6702,531,587,2,0,0.0,closed,True,True
6701,7,28,1,0,0.0,closed,True,True
6700,638,720,1,0,0.0,closed,True,True
6699,797,866,1,0,0.0,closed,True,True
6698,31,6,1,0,0.0,open,False,False
6697,4,1,2,0,0.0,open,False,False
6696,233,15,1,3,1.5,closed,True,True
6695,835,1022,1,0,0.0,closed,True,True
6694,29,10,1,0,0.0,closed,True,True
6693,98,84,3,5,1.6666666666666667,open,False,False
6688,44,8,1,0,0.0,closed,True,True
6684,11,2,1,0,0.0,closed,True,True
6683,244,269,1,0,0.0,open,False,False
6682,2,2,1,1,0.5,closed,False,False
6680,482,394,1,14,2.3333333333333335,closed,True,True
6678,285,286,1,0,0.0,closed,True,True
6675,31,47,0,0,0.0,closed,False,False
6673,4,0,0,0,0.0,closed,False,False
6672,2,0,0,0,0.0,closed,False,False
6671,23,2,1,1,0.5,closed,True,True
6670,10,86,0,0,0.0,closed,False,False
6669,20,79,0,0,0.0,closed,False,False
6668,43,85,0,0,0.0,closed,False,False
6667,68,116,0,0,0.0,closed,False,False
6664,38,26,1,2,1.0,closed,True,True
6661,24,1,2,0,0.0,closed,False,False
6657,1,1,2,5,1.25,closed,True,True
6656,20,56,1,0,0.0,closed,True,True
6655,0,9,1,0,0.0,closed,True,True
6653,51,1,5,0,0.0,closed,True,True
6651,26,45,1,1,0.3333333333333333,closed,True,True
6650,2,6,1,2,2.0,closed,True,True
6648,151,122,1,0,0.0,closed,True,True
6647,149,140,1,0,0.0,closed,True,True
6646,46,44,1,0,0.0,closed,True,True
6635,38,123,1,0,0.0,closed,True,True
6634,202,82,1,0,0.0,closed,True,True
6633,2,1,3,0,0.0,closed,True,True
6631,151,172,1,0,0.0,closed,True,True
6629,63,3,4,1,0.16666666666666666,open,False,False
6628,38,2,3,2,0.4,closed,True,True
6626,11,5,2,0,0.0,closed,True,True
6625,2,0,2,0,0.0,closed,False,False
6624,71,61,2,3,3.0,closed,True,True
6623,65,270,2,1,0.25,closed,True,True
6622,1,1,2,0,0.0,closed,True,True
6621,3,10,2,0,0.0,closed,True,True
6618,108,8,5,10,1.4285714285714286,closed,True,True
6614,779,13,2,9,0.6,closed,True,True
6613,28,6,3,5,1.0,closed,True,True
6612,330,173,1,1,0.041666666666666664,open,False,False
6611,1,0,5,5,5.0,open,False,False
6610,14,12,1,0,0.0,closed,True,True
6609,5,2,2,0,0.0,closed,True,True
6608,105,1,13,27,2.7,closed,True,True
6607,1,1,0,0,0.0,closed,True,True
6606,30,5,4,0,0.0,closed,True,True
6605,8,6,1,0,0.0,closed,True,True
6604,24,11,4,0,0.0,open,False,False
6602,0,88,1,0,0.0,closed,True,True
6601,302,297,1,1,0.14285714285714285,closed,True,True
6599,16,4,2,0,0.0,closed,True,True
6598,0,0,0,0,0,closed,False,False
6595,40,38,0,1,0.3333333333333333,closed,True,True
6591,597,2,0,0,0.0,closed,False,False
6589,40,1,1,5,1.6666666666666667,open,False,False
6588,61,1,1,0,0.0,open,False,False
6587,2,0,0,0,0.0,closed,True,True
6586,50,25,1,0,0.0,closed,True,True
6584,41,57,0,2,1.0,closed,True,True
6582,103,31,2,8,0.6153846153846154,closed,True,True
6581,112,172,0,6,0.8571428571428571,closed,True,True
6579,52,10,1,0,0.0,closed,True,True
6577,103,89,0,0,0.0,closed,True,True
6576,111,138,1,0,0.0,closed,True,True
6575,79,8,1,2,0.6666666666666666,closed,True,True
6573,48,0,1,0,0.0,closed,False,False
6572,5,0,0,0,0.0,closed,False,False
6571,8,0,0,0,0.0,closed,False,False
6570,54,0,0,1,1.0,open,False,False
6568,171,61,8,24,2.0,closed,True,True
6567,3,1,3,0,0.0,closed,True,True
6566,4,0,0,0,0.0,closed,False,False
6565,29,4,0,0,0.0,closed,True,True
6564,29,37,1,1,1.0,closed,False,False
6560,59,12,0,0,0.0,closed,True,True
6547,243,237,9,6,1.5,closed,True,True
6546,105,14,1,0,0.0,open,False,False
6545,14,0,0,0,0.0,closed,True,True
6543,8,4,0,0,0.0,closed,True,True
6542,65,15,13,0,0.0,closed,True,True
6541,488,56,4,1,0.14285714285714285,closed,False,False
6540,565,273,3,3,0.3,closed,True,True
6539,112,178,1,0,0.0,closed,False,False
6538,1,0,3,0,0.0,closed,False,False
6537,7,1,0,0,0.0,closed,False,False
6536,3,5,1,0,0.0,closed,False,False
6533,14,1,1,0,0.0,closed,False,False
6532,0,0,5,0,0,closed,False,False
6531,91,99,1,0,0.0,closed,True,True
6530,38,0,1,0,0.0,closed,False,False
6527,61,46,0,3,0.6,closed,True,True
6526,175,177,2,3,0.3333333333333333,closed,True,True
6524,79,101,0,1,1.0,closed,True,True
6522,27,1,3,8,1.6,closed,True,True
6521,4,5,0,0,0.0,closed,False,False
6520,105,99,0,0,0.0,closed,False,False
6519,45,3,10,11,1.2222222222222223,closed,True,True
6518,0,56,1,0,0.0,closed,False,False
6516,4,4,0,0,0.0,closed,True,True
6515,47,0,5,0,0.0,closed,False,False
6512,30,4,8,10,0.9090909090909091,closed,True,True
6511,4,2,1,0,0.0,closed,True,True
6510,2,13,0,0,0.0,closed,True,True
6508,0,0,1,8,0,closed,False,False
6507,3,1,0,0,0.0,closed,True,True
6506,1,1,3,7,0.7,closed,True,True
6503,90,1,7,0,0.0,closed,False,False
6502,20,4,0,0,0.0,closed,False,False
6501,22,22,1,1,0.3333333333333333,closed,True,True
6500,103,587,2,6,0.75,closed,True,True
6499,8,100,0,0,0.0,closed,True,True
6498,947,981,2,0,0.0,closed,True,True
6497,3,3,1,0,0.0,closed,True,True
6495,15,1,13,0,0.0,closed,False,False
6494,46,39,1,0,0.0,closed,True,True
6492,8,1,1,0,0.0,closed,False,False
6491,1,1,0,0,0.0,closed,False,False
6489,1,1,0,0,0.0,closed,True,True
6488,81,57,1,0,0.0,closed,False,False
6487,0,2,2,0,0.0,closed,True,True
6486,4,4,6,0,0.0,closed,False,False
6485,184,109,3,0,0.0,closed,False,False
6484,36,2,3,1,0.5,closed,True,True
6480,215,117,15,4,0.5714285714285714,closed,False,False
6477,3,1,2,0,0.0,closed,False,False
6475,0,6,1,0,0.0,closed,True,True
6474,47,20,4,0,0.0,closed,False,False
6473,26,34,0,0,0.0,open,False,False
6472,1011,1307,4,13,0.5909090909090909,closed,True,True
