Issue ID,Issue State,Issue Title,Comment ID,Author,Created At,Comment Body
6421,closed,Could we have support for WSL2 ubuntu,2509985608,davidkna,2024-12-01T16:43:27Z,`exit code 56` indicates a networking error. Does your WSL system have working access to the internet?
6421,closed,Could we have support for WSL2 ubuntu,2599754070,davidkna,2025-01-18T15:09:11Z,Closing as stale.
6421,closed,Could we have support for WSL2 ubuntu,2660821480,Suryansh-Dey,2025-02-15T08:46:36Z,"Yes, I did install zsh pure prompt just after it"
1631,closed,Switch the package version loading order of package.json/composer.json,695186839,andytom,2020-09-19T08:57:17Z,I think your suggestion makes sense to me but I'm neither a PHP or JS developer so maybe there are contradicting arguments that I'm not aware of.
1631,closed,Switch the package version loading order of package.json/composer.json,698816225,micc83,2020-09-25T09:06:37Z,"Moreover, when `package.json` is used (in a mixed language project) by the bundler the package is usually marked as private (I see that at the moment Starship doesn't show the version for a private `package.json` file). My first idea was indeed to simply skip it when marked as private but  I guess adding the check only for  `package.json`  would probably lead to some inconsistencies."
1631,closed,Switch the package version loading order of package.json/composer.json,892986126,andytom,2021-08-04T21:26:32Z,"I think this might be fixed by #2959, at least in the case of a private version in a `package.json` in a mixed language projects."
1631,closed,Switch the package version loading order of package.json/composer.json,893416033,micc83,2021-08-05T12:23:08Z,"> I think this might be fixed by #2959, at least in the case of a private version in a `package.json` in a mixed language projects.

I guess so. I'll check it out as soon as it'll be released."
1631,closed,Switch the package version loading order of package.json/composer.json,1287853513,Kissaki,2022-10-22T16:52:30Z,"[@andytom comment](https://github.com/starship/starship/issues/1631#issuecomment-892986126) suggests this has been resolved. Is that the case, or is this still open?

@micc83 did you have a chance to look into that?"
1631,closed,Switch the package version loading order of package.json/composer.json,1295955494,micc83,2022-10-29T19:57:13Z,@Kissaki I confirm that now when `package.json` is set to private `composer.json` version is picked instead. Thank you and @andytom for the PR.
1631,closed,Switch the package version loading order of package.json/composer.json,2655937429,niklasschaeffer,2025-02-13T08:59:18Z,"Well Just now i stumble upon this issue when i was searching why my package.json version number would not show up at all in starship. Now that im reading this conversion im very surprised. In my eyes it literally makes zero sense to hide a version because it has been defined as private for the npm registry. Like why would you do that ? I want as much information out of my console as possible and this is just very hindering. Also i don't see sense in the argumentation. 

1. JS Projects: Never seen a JS project with a composer.json file in the root (There might be some edge cases I might not be aware of);

- Wrong! I know of a lot of projects which have a composer.json as well.

2. PHP Projects: Many of the most prominent PHP frameworks ([Laravel](https://github.com/laravel/laravel)/[Symfony](https://github.com/symfony/symfony)), but also packages that provides a Web UI, have a package.json file in their root to handle assets bundling.

- Yes! That is true.

3. So the point here is that while the first case is unlikely in the second one you'd probably be more interested in the PHP package version that the one of the JS bundler (which, by the way, is usually set to private).

- WRONG! It does not mean you are not interested in the Js Version. Im a Frontend-Developer working in PHP Focused Project. 

Please revert this offending and by the way very stupid line of code.

https://github.com/starship/starship/blob/567ea8d2be63475841d2fe74985dbdc15d286846/src/modules/package.rs#L169"
6095,closed,custom format hide part completely if empty,2654393353,lachieh,2025-02-12T17:25:50Z,"This is already possible with [conditional format strings](https://starship.rs/config/#conditional-format-strings) since they work across multiple lines:

```toml
format = """"""
$directory\
(\
[ > ](fg:color_aqua)\
$git_branch\
$git_status\
)\
$line_break$character""""""
```

In this case, if all of the variables inside the section are empty, the rest of the content inside the open/close parentheses will not show:

```
~/projects/somegitrepo > main [!]
$ cd ..
~/projects
$ 
```"
6095,closed,custom format hide part completely if empty,2654542019,mirsella,2025-02-12T18:33:47Z,honestly i dont even remember for what case i wanted to do this. thanks for the answer
6559,closed,build(deps): update rust crate clap to 4.5.29,2652558979,renovate[bot],2025-02-12T03:12:20Z,"### Branch automerge failure

This PR was configured for branch automerge. However, this is not possible, so it has been raised as a PR instead."
6557,closed,build(deps): update rust crate notify-rust to 4.11.5,2648644054,renovate[bot],2025-02-10T16:47:34Z,"### Branch automerge failure

This PR was configured for branch automerge. However, this is not possible, so it has been raised as a PR instead."
6552,closed,Fix: Issue #6549,2646494685,davidkna,2025-02-09T18:57:02Z,closing in favor of #6453
6387,closed,perf(ancestor-scan): preallocate and reuse a single `PathBuf`,2646623745,andytom,2025-02-09T22:12:54Z,Thank you for your contribution @poliorcetics and thank you for reviewing @davidkna 
6544,closed,fix(fossil_metrics): Add -i flag to the fossil_metrics module's command,2644743541,davidkna,2025-02-08T09:23:47Z,Please also update the mocked command invocations e.g. in https://github.com/starship/starship/blob/master/src/utils.rs#L260
6544,closed,fix(fossil_metrics): Add -i flag to the fossil_metrics module's command,2645735539,Ayyanaruto,2025-02-08T14:22:31Z,"> Please also update the mocked command invocations e.g. in https://github.com/starship/starship/blob/master/src/utils.rs#L260

Sure"
6544,closed,fix(fossil_metrics): Add -i flag to the fossil_metrics module's command,2646622994,andytom,2025-02-09T22:10:31Z,Thank you for your contribution @Ayyanaruto and thank you for reviewing @davidkna 
6550,closed,Starship crashing,2646040449,Packjackisback,2025-02-09T02:54:23Z,"Feb 08 20:38:49 jackbox kernel: R10: 0000000000000fff R11: 0000000000000206 R12: 000072f0c800c56f
Feb 08 20:38:49 jackbox kernel: R13: 000072f0c800c590 R14: 0000000000000015 R15: 000072f0d68a5bc0
Feb 08 20:38:49 jackbox kernel:  </TASK>
Feb 08 20:38:49 jackbox kernel: INFO: task starship:125740 blocked for more than 122 seconds.
Feb 08 20:38:49 jackbox kernel:       Tainted: G        W          6.12.8-arch1-1 #1
Feb 08 20:38:49 jackbox kernel: ""echo 0 > /proc/sys/kernel/hung_task_timeout_secs"" disables this message."
6550,closed,Starship crashing,2646044423,Packjackisback,2025-02-09T03:07:53Z,"It took 2 reboots, and then it was magically working again. Must have messed something up at some point, but not starship's fault"
6538,closed,unable to find '/tmp/.psub.yer5XsVh3Ysource',2627703975,davidkna,2025-01-31T16:07:39Z,Something about this set-up appears to break `psub` which is used by starship during fish init. `starship init fish --print-full-init | source` should work.
