Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
renovate[bot],902,https://github.com/apps/renovate,Bot,False,2816,30,0,0,0,0,0,False
matchai,616,https://github.com/matchai,User,False,4269,0,0,0,30,1075,2229,True
dependabot[bot],322,https://github.com/apps/dependabot,Bot,False,2133,0,0,0,0,0,0,False
davidkna,287,https://github.com/davidkna,User,False,5003,0,0,0,30,47,13,True
dependabot-preview[bot],283,https://github.com/apps/dependabot-preview,Bot,False,2858,0,30,30,0,0,0,False
andytom,127,https://github.com/andytom,User,False,5684,30,30,30,29,41,4,True
allcontributors[bot],82,https://github.com/apps/allcontributors,Bot,False,2232,30,30,0,0,0,0,False
chipbuster,60,https://github.com/chipbuster,User,False,4276,30,30,30,30,32,0,False
vladimyr,44,https://github.com/vladimyr,User,False,4854,0,0,0,30,150,14,True
github-actions[bot],35,https://github.com/apps/github-actions,Bot,False,2393,0,0,0,0,0,0,False
heyrict,26,https://github.com/heyrict,User,False,2928,0,0,0,30,36,54,True
kidonng,15,https://github.com/kidonng,User,False,2320,0,0,0,30,344,109,False
Isokaeder,14,https://github.com/Isokaeder,User,False,3306,0,0,0,6,9,0,False
wyze,9,https://github.com/wyze,User,False,5505,0,0,0,30,214,155,True
cymruu,9,https://github.com/cymruu,User,False,4455,30,30,9,30,30,32,False
jletey,8,https://github.com/jletey,User,False,2768,30,30,30,19,83,5,True
Byron,8,https://github.com/Byron,User,False,5817,30,30,30,30,1254,60,False
rashil2000,8,https://github.com/rashil2000,User,False,2220,30,30,30,30,100,34,False
bbigras,8,https://github.com/bbigras,User,False,6003,0,0,0,30,77,5,False
alexmaco,8,https://github.com/alexmaco,User,False,2987,0,0,0,30,11,11,False
Scotsguy,7,https://github.com/Scotsguy,User,False,3143,0,0,0,30,17,16,False
jankatins,7,https://github.com/jankatins,User,False,4978,0,0,0,30,104,9,False
segevfiner,7,https://github.com/segevfiner,User,False,2977,0,0,0,30,27,32,False
nickwb,6,https://github.com/nickwb,User,False,5129,16,16,30,19,29,33,False
cappyzawa,6,https://github.com/cappyzawa,User,False,3565,30,30,30,30,44,3,True
tiffafoo,6,https://github.com/tiffafoo,User,False,3645,0,0,0,30,0,21,True
offbyone,5,https://github.com/offbyone,User,True,5513,30,30,30,30,73,1,False
matiaskotlik,5,https://github.com/matiaskotlik,User,False,3145,0,0,0,30,13,8,False
akinomyoga,5,https://github.com/akinomyoga,User,False,3791,0,0,0,30,198,3017,False
injust,5,https://github.com/injust,User,False,4404,0,0,0,12,28,1,False
jonstodle,5,https://github.com/jonstodle,User,False,4667,0,0,0,30,35,37,False
eltociear,5,https://github.com/eltociear,User,False,3056,0,0,0,30,0,17,False
syphar,5,https://github.com/syphar,User,False,5163,30,30,30,30,121,14,False
