Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
vinta,977,https://github.com/vinta,User,False,5098,30,30,30,20,8154,240425,False
dhamaniasad,11,https://github.com/dhamaniasad,User,False,4281,30,30,30,30,1073,10321,False
ellisonleao,8,https://github.com/ellisonleao,User,False,5518,30,30,30,30,1235,1878,False
ihebu,8,https://github.com/ihebu,User,False,2210,28,20,6,11,59,75,False
Alir3z4,7,https://github.com/Alir3z4,User,False,5131,30,30,30,30,162,221,False
nicoe,7,https://github.com/nicoe,User,False,5884,30,30,0,30,55,4,False
agroszer,6,https://github.com/agroszer,User,False,5313,0,0,0,30,32,29,False
makrusak,6,https://github.com/makrusak,User,False,5009,0,0,0,9,34,0,False
quobit,6,https://github.com/quobit,User,False,4134,0,0,0,12,150,867,False
jhermann,5,https://github.com/jhermann,User,False,4897,0,0,0,30,200,571,False
sdispater,5,https://github.com/sdispater,User,False,5151,30,30,30,30,2228,2213,False
probar,5,https://github.com/probar,User,False,3991,9,8,17,13,7,1,False
HBUHSD,5,https://github.com/HBUHSD,User,False,4622,0,0,0,2,7,0,False
kmonsoor,5,https://github.com/kmonsoor,User,False,4833,30,30,30,30,123,103,False
andrej2704,5,https://github.com/andrej2704,User,False,4694,12,9,1,17,9,1,False
checkcheckzz,5,https://github.com/checkcheckzz,User,False,4129,0,0,0,6,818,23382,False
Xuefeng-Zhu,5,https://github.com/Xuefeng-Zhu,User,False,4120,0,0,0,30,102,11,False
westurner,4,https://github.com/westurner,User,False,5859,0,0,0,30,158,5,False
houjunchen,4,https://github.com/houjunchen,User,False,4183,0,0,0,30,47,19,False
tsunammis,4,https://github.com/tsunammis,User,False,5561,0,0,0,26,84,18,False
ReadmeCritic,4,https://github.com/ReadmeCritic,User,False,3399,30,30,30,8,182,9,False
spekulatius,4,https://github.com/spekulatius,User,False,3841,30,30,30,30,601,1040,False
lee-kagiso,4,https://github.com/lee-kagiso,User,False,3604,30,30,30,3,6,0,False
jcupitt,4,https://github.com/jcupitt,User,False,5137,30,30,30,30,410,137,False
JarnoRFB,3,https://github.com/JarnoRFB,User,False,3828,30,30,30,30,63,16,False
joshuarli,3,https://github.com/joshuarli,User,False,3448,0,0,0,30,208,50,False
sangeeths,3,https://github.com/sangeeths,User,False,4929,0,0,0,24,25,98,False
preactive,3,https://github.com/preactive,User,False,3672,0,0,0,14,10,19,False
lk-geimfari,3,https://github.com/lk-geimfari,User,False,3385,0,0,0,30,370,9881,False
aspyatkin,3,https://github.com/aspyatkin,User,False,4313,0,0,30,30,68,11,False
molivier,3,https://github.com/molivier,User,False,4574,9,9,12,12,43,124,False
zhulongcheng,3,https://github.com/zhulongcheng,User,False,3604,30,30,30,18,44,20,False
vovanz,3,https://github.com/vovanz,User,False,4650,19,17,20,30,18,2,False
petrushev,3,https://github.com/petrushev,User,False,5311,25,20,21,30,71,27,False
